Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.08.2023,Ç. Rizespor,Ev Sahibi,2,1,1,0,Galip,%58,50,13,4,1,4,421,333,"%79,1",7,3,12,6,4,2,0,"0,97",25,4,21,15,6,0,0
21.08.2023,Ankaragücü,Deplasman,1,1,1,1,Berabere,%57,40,6,17,3,4,482,410,"%85,1",20,6,12,6,3,3,0,"1,35",22,17,6,10,1,0,0
3.09.2023,Hatayspor,Deplasman,3,1,3,0,Berabere,%66,57,9,7,5,7,519,459,"%88,4",19,4,11,6,5,0,0,"1,75",26,7,6,10,2,0,0
16.09.2023,Pendikspor,Ev Sahibi,3,2,0,0,Galip,%40,48,4,9,6,5,376,321,"%85,4",13,3,18,8,8,2,0,"2,53",25,9,14,8,0,0,0
24.09.2023,Kasımpaşa,Deplasman,1,0,2,1,Mağlup,%55,49,14,11,1,11,376,298,"%79,3",25,4,18,5,8,5,0,"1,45",21,11,6,6,2,1,2
27.09.2023,Beşiktaş,Ev Sahibi,4,2,2,0,Galip,%39,59,13,10,0,1,268,179,"%66,8",4,1,14,7,6,1,1,"2,02",17,10,29,16,2,0,0
1.10.2023,Alanyaspor,Ev Sahibi,4,1,0,0,Galip,%49,44,6,9,2,7,391,320,"%81,8",18,4,15,7,5,3,0,"3,15",25,9,9,11,2,0,0
6.10.2023,Trabzonspor,Ev Sahibi,1,1,0,0,Galip,%45,40,8,9,1,3,374,291,"%77,8",15,4,14,8,5,1,1,"0,74",29,9,16,17,5,0,0
23.10.2023,F. Karagümrük,Deplasman,0,0,2,0,Mağlup,%56,42,5,9,4,4,495,408,"%82,4",12,5,12,6,5,1,0,"0,78",20,9,8,8,1,0,0
28.10.2023,Konyaspor,Ev Sahibi,3,0,0,0,Galip,%63,41,6,9,4,4,485,422,"%87,0",19,4,15,4,6,5,0,"2,66",22,9,8,12,1,0,0
5.11.2023,Sivasspor,Deplasman,1,0,1,1,Berabere,%62,40,4,3,0,6,527,458,"%86,9",17,5,15,4,5,6,1,"0,63",28,3,15,15,3,0,0
12.11.2023,Fenerbahçe,Ev Sahibi,0,0,0,0,Berabere,%57,48,7,8,2,3,484,400,"%82,6",11,2,4,0,4,0,1,"0,22",8,8,20,12,3,0,0
26.11.2023,Kayserispor,Deplasman,1,1,1,0,Berabere,%47,59,8,6,1,4,379,310,"%81,8",16,4,11,3,3,5,1,"0,58",12,6,20,8,3,0,0
2.12.2023,Samsunspor,Ev Sahibi,2,1,3,2,Mağlup,%65,48,6,10,3,7,460,360,"%78,3",25,2,11,4,3,4,0,"1,13",26,10,12,9,2,0,0
8.12.2023,Galatasaray,Deplasman,1,1,3,2,Mağlup,%39,49,7,15,2,4,346,270,"%78,0",15,3,12,4,4,4,0,"1,16",21,15,17,9,0,0,0
19.12.2023,Gaziantep FK,Deplasman,2,0,2,1,Berabere,%67,48,9,9,1,5,608,537,"%88,3",21,5,15,7,4,4,0,"1,60",21,9,17,9,1,0,0
24.12.2023,Antalyaspor,Ev Sahibi,2,2,1,0,Galip,%39,52,18,14,0,1,315,252,"%80,0",12,1,6,2,3,1,0,"1,56",11,14,23,16,5,0,0
6.01.2024,Başakşehir,Deplasman,0,0,0,0,Berabere,%44,41,14,8,0,6,383,313,"%81,7",15,4,12,5,5,2,0,"0,97",14,8,25,12,0,0,0
10.01.2024,İstanbulspor,Ev Sahibi,2,1,2,0,Berabere,%60,57,13,13,4,7,518,419,"%80,9",20,3,20,7,3,10,0,"1,36",22,13,7,6,0,0,0
13.01.2024,Ç. Rizespor,Deplasman,0,0,1,0,Mağlup,%50,76,28,8,1,4,310,158,"%51,0",23,7,16,3,7,6,0,"0,59",31,8,33,11,0,0,0
20.01.2024,Ankaragücü,Ev Sahibi,1,0,1,0,Berabere,%48,40,13,4,4,6,347,272,"%78,4",15,3,14,5,6,3,0,"1,97",18,4,16,12,1,0,0
23.01.2024,Beşiktaş,Deplasman,0,0,0,0,Berabere,%43,55,17,10,0,2,319,241,"%75,5",14,1,6,0,3,3,0,"0,20",7,10,22,10,3,1,0
27.01.2024,Hatayspor,Ev Sahibi,0,0,1,1,Mağlup,%62,64,15,9,4,5,428,343,"%80,1",26,8,13,0,11,2,0,"1,03",20,9,10,12,4,1,0
4.02.2024,Pendikspor,Deplasman,1,0,2,2,Mağlup,%55,64,10,7,3,6,420,343,"%81,7",23,4,16,6,3,7,0,"1,24",26,7,13,7,1,0,0
9.02.2024,Kasımpaşa,Ev Sahibi,1,0,3,2,Mağlup,%58,41,11,5,4,7,435,343,"%78,9",20,6,23,4,10,9,0,"1,73",26,5,9,15,5,0,0
18.02.2024,Alanyaspor,Deplasman,3,0,3,2,Berabere,%53,41,9,7,2,6,402,340,"%84,6",22,5,20,9,7,4,0,"1,86",16,7,7,15,1,0,0
25.02.2024,Trabzonspor,Deplasman,0,0,1,1,Mağlup,%52,44,8,8,1,5,393,303,"%77,1",19,2,14,3,6,5,0,"0,85",10,8,13,15,3,0,1
