Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
19.08.2016,Bursaspor,Ev Sahibi,1,1,2,0,Mağlup,%43,48,14,18,2,7,330,264,"%80,0",18,4,10,4,3,3,0,0,17,18,15,16,1,0,0
27.08.2016,Kasımpaşa,Deplasman,1,0,1,1,Berabere,%44,59,20,17,3,5,311,219,"%70,4",14,3,11,4,5,2,0,0,11,17,21,13,3,0,0
10.09.2016,Gaziantepspor,Ev Sahibi,0,0,0,0,Berabere,%66,50,12,5,1,2,582,498,"%85,6",14,4,15,6,8,1,2,0,19,5,20,11,2,0,0
18.09.2016,Sincan Bld Ankaraspor,Deplasman,0,0,1,0,Mağlup,%39,59,19,25,1,2,297,193,"%65,0",10,2,9,1,5,3,0,0,11,25,18,17,4,0,0
26.09.2016,Alanyaspor,Ev Sahibi,3,2,2,1,Galip,%48,51,15,25,4,1,432,336,"%77,8",11,3,14,7,5,2,0,0,16,25,12,12,2,0,0
2.10.2016,Konyaspor,Deplasman,0,0,1,0,Mağlup,%44,64,13,18,1,5,352,267,"%75,9",22,5,14,3,7,4,0,0,30,18,10,15,3,0,0
15.10.2016,Karabükspor,Ev Sahibi,1,0,2,2,Mağlup,%53,55,14,25,2,3,418,312,"%74,6",11,2,9,2,5,2,0,0,14,25,13,16,5,1,0
22.10.2016,Akhisarspor,Deplasman,0,0,1,1,Mağlup,%62,64,17,24,4,3,508,408,"%80,3",17,8,17,3,11,3,0,0,25,24,10,24,4,0,0
29.10.2016,Galatasaray,Ev Sahibi,0,0,1,0,Mağlup,%35,56,10,19,2,1,377,294,"%78,0",6,1,12,3,7,2,0,0,16,19,28,10,3,0,0
6.11.2016,Ç. Rizespor,Deplasman,2,1,2,1,Berabere,%51,51,11,13,1,3,421,327,"%77,7",14,6,13,7,5,1,0,0,23,13,29,20,1,0,0
19.11.2016,Beşiktaş,Ev Sahibi,1,0,2,2,Mağlup,%34,32,6,20,3,3,364,298,"%81,9",16,3,9,4,4,1,0,0,14,20,15,14,0,0,1
26.11.2016,Antalyaspor,Deplasman,0,0,1,1,Mağlup,%49,56,21,19,2,4,342,252,"%73,7",18,4,14,5,7,2,0,0,4,19,20,21,1,0,0
4.12.2016,Gençlerbirliği,Ev Sahibi,0,0,2,1,Mağlup,%55,68,19,22,3,9,435,328,"%75,4",27,7,12,4,7,1,0,0,20,22,11,17,4,0,0
9.12.2016,Trabzonspor,Deplasman,1,1,4,1,Mağlup,%41,44,13,16,0,5,333,248,"%74,5",17,4,8,3,2,3,0,0,17,16,18,13,2,0,1
18.12.2016,Kayserispor,Ev Sahibi,2,0,1,1,Galip,%49,54,14,16,3,6,397,303,"%76,3",27,9,18,7,6,5,2,0,28,16,17,11,3,0,0
24.12.2016,Başakşehir,Ev Sahibi,1,0,1,1,Berabere,%38,39,6,11,1,11,321,253,"%78,8",27,6,14,6,3,5,0,0,16,11,38,15,2,0,0
15.01.2017,Fenerbahçe,Deplasman,2,2,2,1,Berabere,%40,53,13,17,2,1,355,237,"%66,8",7,0,8,4,2,2,0,0,12,17,32,21,7,0,0
21.01.2017,Bursaspor,Deplasman,1,0,0,0,Galip,%41,54,12,21,0,1,348,231,"%66,4",7,1,8,3,2,3,1,0,10,21,30,30,3,0,0
13.02.2017,Gaziantepspor,Deplasman,0,0,1,0,Mağlup,%66,56,21,19,0,2,552,429,"%77,7",6,0,14,3,6,5,0,0,10,19,14,19,2,0,0
19.02.2017,Sincan Bld Ankaraspor,Ev Sahibi,1,0,5,2,Mağlup,%60,56,8,19,1,5,491,408,"%83,1",16,7,10,2,3,5,0,0,21,19,7,21,4,0,0
25.02.2017,Alanyaspor,Deplasman,1,0,4,2,Mağlup,%54,52,7,18,4,1,455,358,"%78,7",6,2,7,3,4,0,0,0,11,18,21,17,4,0,0
5.03.2017,Konyaspor,Ev Sahibi,0,0,1,1,Mağlup,%60,66,25,25,2,2,606,469,"%77,4",19,3,15,4,6,5,0,0,22,25,13,16,2,0,0
11.03.2017,Karabükspor,Deplasman,0,0,2,1,Mağlup,%44,62,17,22,6,4,375,255,"%68,0",12,2,8,2,4,2,1,0,15,22,9,16,4,0,0
18.03.2017,Akhisarspor,Ev Sahibi,2,1,1,1,Galip,%48,65,26,17,2,1,415,287,"%69,2",13,1,15,7,5,3,0,0,25,17,20,15,2,0,0
3.04.2017,Galatasaray,Deplasman,0,0,4,1,Mağlup,%35,63,12,16,6,1,323,246,"%76,2",10,0,5,3,1,1,0,0,8,16,21,20,3,0,0
9.04.2017,Ç. Rizespor,Ev Sahibi,1,0,3,1,Mağlup,%64,58,14,16,3,4,559,452,"%80,9",14,1,7,2,3,2,0,0,20,16,14,14,3,0,0
24.04.2017,Beşiktaş,Deplasman,2,1,3,1,Mağlup,%40,47,17,15,4,7,336,226,"%67,3",13,1,8,2,2,4,0,0,6,15,35,13,3,0,0
30.04.2017,Antalyaspor,Ev Sahibi,2,0,5,3,Mağlup,%43,49,11,19,0,6,353,261,"%73,9",18,6,16,5,8,3,0,0,24,19,7,12,3,0,0
6.05.2017,Gençlerbirliği,Deplasman,1,1,0,0,Galip,%38,81,18,14,2,4,313,197,"%62,9",11,1,4,1,2,1,0,0,10,14,55,17,1,0,0
13.05.2017,Trabzonspor,Ev Sahibi,1,1,1,1,Berabere,%41,39,9,23,1,2,420,305,"%72,6",8,4,5,3,2,0,0,0,8,23,24,9,2,1,0
20.05.2017,Kayserispor,Deplasman,1,0,1,1,Berabere,%39,66,23,24,2,5,316,236,"%74,7",18,4,15,5,10,0,1,0,10,24,21,13,0,0,0
27.05.2017,Başakşehir,Deplasman,1,1,2,1,Mağlup,%52,46,10,13,6,3,561,485,"%86,5",9,3,11,3,8,0,1,0,13,13,17,14,2,0,0
3.06.2017,Fenerbahçe,Ev Sahibi,1,1,3,2,Mağlup,%47,43,6,16,1,2,504,428,"%84,9",8,1,13,4,5,4,0,0,10,16,16,9,1,0,0
