Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2018,Beşiktaş,Deplasman,1,0,2,2,Mağlup,%37,70,26,14,0,3,278,180,"%64,7",22,4,9,3,5,1,0,"1,08",11,14,33,15,6,0,0
19.08.2018,Ç. Rizespor,Ev Sahibi,1,0,1,1,Berabere,%52,60,18,8,2,4,446,369,"%82,7",22,0,8,3,5,0,3,"2,58",17,8,8,18,0,0,1
27.08.2018,Başakşehir,Deplasman,1,1,3,1,Mağlup,%38,36,11,12,0,2,371,290,"%78,2",15,3,8,2,4,2,0,"0,39",6,12,16,14,4,0,0
1.09.2018,Sivasspor,Ev Sahibi,1,0,1,0,Berabere,%55,51,15,14,4,5,452,359,"%79,4",22,8,22,6,9,7,2,"2,72",28,14,13,19,1,0,0
15.09.2018,Ankaragücü,Deplasman,0,0,1,1,Mağlup,%60,56,25,16,4,12,505,417,"%82,6",32,5,12,4,8,0,0,"1,70",17,16,21,11,3,0,0
23.09.2018,Galatasaray,Ev Sahibi,3,0,0,0,Galip,%35,46,22,9,2,1,311,218,"%70,1",9,2,10,5,4,1,0,"1,81",18,9,31,16,4,0,0
29.09.2018,Alanyaspor,Deplasman,1,0,2,1,Mağlup,%61,61,20,9,4,8,481,376,"%78,2",27,3,6,1,4,1,0,"0,77",11,9,14,9,2,0,0
7.10.2018,Trabzonspor,Ev Sahibi,1,0,3,2,Mağlup,%49,50,15,11,6,5,398,323,"%81,2",21,2,11,4,4,3,0,"1,21",12,11,19,16,1,0,0
20.10.2018,Kasımpaşa,Deplasman,0,0,5,0,Mağlup,%48,46,8,17,3,7,411,323,"%78,6",26,6,17,5,5,7,0,"1,16",18,17,16,15,3,0,0
29.10.2018,Göztepe,Ev Sahibi,1,1,0,0,Galip,%35,54,11,8,1,3,274,184,"%67,2",17,4,12,4,7,1,0,"1,79",13,8,22,18,3,0,0
3.11.2018,Erzurumspor FK,Ev Sahibi,1,1,1,1,Berabere,%51,58,14,11,2,3,471,378,"%80,3",28,8,10,5,3,2,0,"2,42",19,11,19,13,2,0,0
11.11.2018,Antalyaspor,Deplasman,2,0,1,0,Galip,%42,50,10,11,0,7,377,295,"%78,2",13,3,5,3,1,1,0,"1,22",12,11,24,17,1,0,0
25.11.2018,Bursaspor,Ev Sahibi,2,2,4,1,Mağlup,%36,47,13,9,0,3,328,244,"%74,4",16,5,6,3,3,0,0,"1,12",14,9,27,13,0,0,0
3.12.2018,Yeni Malatyaspor,Deplasman,1,0,1,1,Berabere,%47,72,24,17,2,4,434,336,"%77,4",21,4,7,2,2,3,0,"0,37",16,17,17,13,3,0,0
9.12.2018,Fenerbahçe,Ev Sahibi,3,1,0,0,Galip,%40,53,13,14,2,2,368,293,"%79,6",14,3,12,4,8,0,1,"1,83",10,14,28,13,2,0,0
16.12.2018,Kayserispor,Deplasman,0,0,1,0,Mağlup,%48,54,18,6,4,6,408,319,"%78,2",19,2,6,2,3,1,0,"0,26",12,6,23,8,1,0,0
24.12.2018,Konyaspor,Ev Sahibi,0,0,0,0,Berabere,%49,62,26,18,4,0,405,312,"%77,0",17,2,8,3,5,0,0,"0,74",15,18,21,14,3,0,0
18.01.2019,Beşiktaş,Ev Sahibi,0,0,3,1,Mağlup,%53,51,10,13,6,8,454,377,"%83,0",28,6,14,4,6,4,0,"0,70",27,13,9,12,3,0,0
27.01.2019,Ç. Rizespor,Deplasman,1,1,3,0,Mağlup,%31,53,20,11,3,1,283,203,"%71,7",8,2,9,5,3,1,0,"1,06",11,11,19,13,1,0,1
3.02.2019,Başakşehir,Ev Sahibi,0,0,3,2,Mağlup,%60,49,12,15,5,5,491,412,"%83,9",32,7,22,6,8,8,0,"1,35",27,15,9,14,4,0,0
11.02.2019,Sivasspor,Deplasman,1,0,2,1,Mağlup,%56,52,19,7,4,8,537,459,"%85,5",25,7,12,3,8,1,0,"1,88",23,7,13,13,2,0,0
16.02.2019,Ankaragücü,Ev Sahibi,0,0,0,0,Berabere,%67,63,16,8,5,9,481,387,"%80,5",33,6,17,8,3,6,0,"1,06",26,8,6,11,4,0,0
24.02.2019,Galatasaray,Deplasman,0,0,1,0,Mağlup,%28,50,17,12,4,2,237,158,"%66,7",11,1,3,1,1,1,0,"0,09",7,12,45,24,6,0,0
4.03.2019,Alanyaspor,Ev Sahibi,3,0,1,0,Galip,%48,56,18,21,2,5,428,306,"%71,5",23,5,9,4,3,2,0,"0,40",12,21,19,20,1,0,0
9.03.2019,Trabzonspor,Deplasman,1,0,2,0,Mağlup,%41,58,13,17,0,0,347,274,"%79,0",10,2,10,4,5,1,0,"1,06",15,17,25,21,3,0,0
16.03.2019,Kasımpaşa,Ev Sahibi,2,1,3,1,Mağlup,%44,58,16,10,2,7,413,308,"%74,6",22,6,15,7,5,3,0,"2,93",31,10,25,11,1,0,0
07.04.2019,Göztepe,Deplasman,1,0,0,0,Galip,%43,55,23,15,3,7,374,275,"%73,5",19,2,11,3,5,3,0,"1,41",12,15,41,15,3,0,0
15.04.2019,Erzurumspor FK,Deplasman,1,0,2,0,Mağlup,%52,42,8,10,5,3,462,364,"%78,8",12,2,9,5,2,2,0,"0,49",8,10,14,9,2,0,0
20.04.2019,Antalyaspor,Ev Sahibi,1,0,2,2,Mağlup,%66,44,13,7,3,17,543,460,"%84,7",46,14,21,9,11,1,0,"3,10",45,7,7,15,2,0,0
28.04.2019,Bursaspor,Deplasman,0,0,0,0,Berabere,%44,67,29,6,2,4,359,225,"%62,7",8,3,11,2,7,2,1,"1,81",10,6,29,14,3,0,0
5.05.2019,Yeni Malatyaspor,Ev Sahibi,0,0,2,0,Mağlup,%56,52,13,7,4,5,452,387,"%85,6",29,5,19,5,8,6,1,"0,92",18,7,10,13,2,0,0
11.05.2019,Fenerbahçe,Deplasman,1,1,2,2,Mağlup,%42,56,18,15,1,1,407,326,"%80,1",8,2,5,1,3,1,0,"0,70",13,15,27,26,3,0,0
19.05.2019,Kayserispor,Ev Sahibi,2,1,2,0,Berabere,%41,39,6,14,4,5,361,296,"%82,0",15,7,16,4,9,3,2,"3,41",25,14,19,15,3,0,0
