Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
14.08.2023,Başakşehir,Ev Sahibi,2,1,0,0,Galip,%52,51,12,11,1,4,437,376,"%86,0",15,5,14,5,7,2,0,"1,05",27,11,10,15,5,0,0
19.08.2023,Ç. Rizespor,Deplasman,0,0,0,0,Berabere,%50,50,13,9,1,3,390,312,"%80,0",14,1,9,2,3,4,0,"0,30",8,9,16,13,3,0,1
27.08.2023,Hatayspor,Ev Sahibi,0,0,0,0,Berabere,%61,54,20,10,7,9,474,396,"%83,5",30,10,19,8,10,1,2,"1,62",30,10,11,10,4,0,0
2.09.2023,Pendikspor,Deplasman,1,0,1,0,Berabere,%41,33,11,8,2,4,395,309,"%78,2",7,3,8,4,3,1,0,"1,38",17,8,26,14,2,0,0
17.09.2023,Kasımpaşa,Ev Sahibi,3,2,3,1,Berabere,%54,54,15,15,2,5,498,411,"%82,5",19,4,14,6,3,5,0,"1,55",26,15,22,9,0,0,0
24.09.2023,Fenerbahçe,Ev Sahibi,0,0,1,1,Mağlup,%43,52,8,7,3,4,354,263,"%74,3",14,2,2,1,0,1,0,"0,10",14,7,19,15,2,0,0
1.10.2023,Adana Demirspor,Deplasman,0,0,4,1,Mağlup,%51,53,14,5,0,3,414,340,"%82,1",15,6,10,1,9,0,0,"0,49",19,5,19,15,3,0,0
6.10.2023,F. Karagümrük,Ev Sahibi,2,1,1,0,Galip,%43,50,13,10,2,3,399,321,"%80,5",10,2,6,3,2,1,0,"0,82",23,10,35,16,4,0,0
23.10.2023,Trabzonspor,Deplasman,0,0,1,0,Mağlup,%56,52,11,9,5,5,502,411,"%81,9",11,5,16,3,7,6,1,"1,08",18,9,14,4,2,0,0
28.10.2023,Sivasspor,Ev Sahibi,1,0,2,0,Mağlup,%51,46,11,6,1,7,422,351,"%83,2",20,5,13,5,5,3,1,"1,95",21,6,11,13,3,0,0
6.11.2023,Kayserispor,Deplasman,0,0,1,0,Mağlup,%43,42,11,1,3,5,370,288,"%77,8",17,6,8,5,1,2,0,"1,22",14,1,29,9,3,0,0
11.11.2023,Gaziantep FK,Ev Sahibi,0,0,3,2,Mağlup,%73,55,11,9,1,8,713,650,"%91,2",32,7,12,2,5,5,0,"0,56",20,9,12,11,3,0,0
25.11.2023,Galatasaray,Deplasman,0,0,4,2,Mağlup,%37,51,8,6,3,3,322,243,"%75,5",12,2,5,1,2,2,0,"0,22",14,6,34,8,1,0,0
2.12.2023,Konyaspor,Ev Sahibi,2,2,2,1,Berabere,%59,57,12,6,2,4,476,409,"%85,9",16,4,21,6,12,3,0,"1,92",27,6,15,11,2,0,0
10.12.2023,İstanbulspor,Deplasman,1,0,0,0,Galip,%51,66,17,9,1,9,475,383,"%80,6",24,7,18,6,12,0,1,"2,96",30,9,18,10,2,0,0
