Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
14.08.2021,Kayserispor,Ev Sahibi,3,2,0,0,Galip,%38,54,12,12,2,2,356,261,"%73,3",11,5,16,7,6,3,2,"2,92",40,12,21,15,0,0,0
21.08.2021,Alanyaspor,Deplasman,4,2,1,0,Galip,%53,48,13,15,0,5,479,388,"%81,0",18,2,23,7,9,7,0,"2,96",48,15,9,11,0,0,0
29.08.2021,Fenerbahçe,Ev Sahibi,0,0,2,0,Mağlup,%41,67,19,15,4,3,293,175,"%59,7",13,5,9,0,7,2,1,"0,63",7,15,12,15,0,0,0
11.09.2021,Konyaspor,Deplasman,1,0,3,2,Mağlup,%50,50,12,15,2,0,376,291,"%77,4",29,6,15,7,5,3,1,"1,80",26,15,17,13,2,0,0
17.09.2021,Göztepe,Ev Sahibi,2,0,1,1,Galip,%58,83,24,13,1,5,359,250,"%69,6",30,11,19,8,9,2,0,"2,60",34,13,11,12,2,0,0
21.09.2021,Ç. Rizespor,Deplasman,2,1,1,0,Galip,%35,48,13,12,0,4,267,176,"%65,9",13,3,11,3,5,3,1,"1,32",25,12,17,22,3,1,0
24.09.2021,Beşiktaş,Ev Sahibi,2,0,1,0,Galip,%47,52,12,11,2,2,417,315,"%75,5",18,4,10,3,4,3,0,"1,82",23,11,15,12,0,0,0
3.10.2021,Gaziantep FK,Deplasman,1,0,4,0,Mağlup,%49,55,17,6,5,5,331,226,"%68,3",24,6,13,3,6,4,1,"1,40",19,6,24,13,1,0,0
17.10.2021,F. Karagümrük,Ev Sahibi,0,0,1,1,Mağlup,%50,57,12,7,1,6,420,319,"%76,0",22,6,18,2,7,9,0,"1,40",44,7,9,24,3,0,0
22.10.2021,Yeni Malatyaspor,Deplasman,1,0,2,0,Mağlup,%46,55,7,12,3,3,355,265,"%74,6",21,0,10,3,4,3,0,"1,22",23,12,13,14,3,0,0
