Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2023,Kasımpaşa,Deplasman,2,0,3,1,Mağlup,%52,44,12,11,0,5,401,317,"%79,1",22,6,13,4,7,2,1,"0,92",21,11,12,15,0,0,0
21.08.2023,Adana Demirspor,Ev Sahibi,1,1,1,1,Berabere,%43,49,7,7,2,3,373,307,"%82,3",12,3,18,4,9,5,0,"1,78",23,7,9,9,1,0,0
27.08.2023,F. Karagümrük,Deplasman,1,0,1,1,Berabere,%53,39,2,3,2,5,559,495,"%88,6",15,2,8,5,3,0,0,"0,62",21,3,14,12,1,0,0
3.09.2023,Fenerbahçe,Ev Sahibi,0,0,1,0,Mağlup,%51,49,9,7,0,4,409,324,"%79,2",18,7,15,2,5,8,0,"0,85",26,7,15,15,2,0,0
18.09.2023,Sivasspor,Deplasman,3,1,1,1,Galip,%49,51,10,11,0,3,399,339,"%85,0",13,3,15,5,8,2,0,"1,53",15,11,24,12,2,0,0
24.09.2023,Konyaspor,Ev Sahibi,1,1,1,1,Berabere,%55,45,14,13,0,4,457,378,"%82,7",17,2,15,1,6,8,0,"1,18",18,13,12,15,1,0,0
30.09.2023,Galatasaray,Deplasman,1,0,2,0,Mağlup,%32,56,16,7,1,3,261,171,"%65,5",9,1,6,1,4,1,0,"0,74",11,7,32,9,3,0,0
7.10.2023,Kayserispor,Ev Sahibi,3,0,0,0,Galip,%47,49,11,9,3,1,487,403,"%82,8",8,2,13,8,3,2,0,"0,94",14,9,25,1,0,0,0
22.10.2023,İstanbulspor,Deplasman,1,1,2,1,Mağlup,%53,52,11,3,1,5,491,416,"%84,7",24,6,10,1,5,4,0,"1,38",29,3,14,14,3,0,0
29.10.2023,Samsunspor,Ev Sahibi,2,0,0,0,Galip,%58,53,14,10,0,4,502,418,"%83,3",15,2,12,5,6,1,0,"1,56",16,10,17,8,0,0,0
5.11.2023,Başakşehir,Deplasman,3,2,3,2,Berabere,%52,32,8,10,3,3,522,438,"%83,9",9,2,10,5,3,2,1,"0,52",25,10,15,11,0,0,0
10.11.2023,Antalyaspor,Ev Sahibi,0,0,4,2,Mağlup,%55,50,11,6,1,2,522,430,"%82,4",15,3,10,2,3,5,0,"0,66",18,6,16,8,3,0,0
25.11.2023,Gaziantep FK,Deplasman,1,1,0,0,Galip,%46,49,12,15,0,4,385,294,"%76,4",14,0,12,5,5,2,0,"0,56",16,15,12,18,5,0,0
3.12.2023,Beşiktaş,Ev Sahibi,1,1,1,0,Berabere,%40,38,10,14,1,1,331,243,"%73,4",13,1,11,4,4,3,0,"0,49",27,14,17,19,1,0,0
11.12.2023,Ç. Rizespor,Ev Sahibi,1,1,1,0,Berabere,%32,60,18,6,0,2,251,178,"%70,9",10,2,15,7,5,3,0,"0,83",7,6,23,11,3,1,0
21.12.2023,Hatayspor,Ev Sahibi,0,0,0,0,Berabere,%46,52,21,9,2,6,380,303,"%79,7",15,3,12,3,4,5,0,"1,38",13,9,27,9,0,0,0
25.12.2023,Pendikspor,Deplasman,1,1,1,0,Berabere,%46,39,8,10,1,3,384,296,"%77,1",6,2,9,1,5,3,1,"0,42",12,10,19,12,3,0,0
6.01.2024,Trabzonspor,Ev Sahibi,0,0,1,1,Mağlup,%56,36,7,7,2,4,542,475,"%87,6",15,5,16,2,11,3,1,"0,77",19,7,12,18,1,0,0
9.01.2024,Alanyaspor,Deplasman,1,0,1,0,Berabere,%38,39,16,14,2,3,376,276,"%73,4",10,2,11,3,5,3,0,"0,39",8,14,29,10,2,0,1
13.01.2024,Kasımpaşa,Ev Sahibi,3,1,1,1,Galip,%36,56,19,10,3,2,302,204,"%67,5",12,5,12,8,4,0,0,"2,33",21,10,17,14,1,0,0
20.01.2024,Adana Demirspor,Deplasman,1,0,1,0,Berabere,%52,43,15,9,2,5,379,304,"%80,2",17,4,11,4,4,3,0,"1,21",17,9,25,14,1,0,0
24.01.2024,F. Karagümrük,Ev Sahibi,2,1,0,0,Galip,%39,30,9,9,0,2,363,268,"%73,8",9,1,8,5,3,0,0,"1,68",10,9,27,14,1,0,0
