Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
11.08.2023,Trabzonspor,Deplasman,0,0,1,1,Mağlup,%52,52,8,9,1,9,414,344,"%83,1",28,6,12,2,5,5,0,"0,94",19,9,12,11,1,0,0
18.08.2023,Konyaspor,Ev Sahibi,1,0,1,0,Berabere,%64,44,11,14,0,5,532,465,"%87,4",37,13,18,4,6,8,0,"1,13",29,14,15,14,2,0,0
26.08.2023,Sivasspor,Deplasman,1,1,1,1,Berabere,%46,39,9,5,2,4,392,332,"%84,7",13,4,9,4,3,2,0,"0,62",13,5,10,15,3,0,0
2.09.2023,Kayserispor,Ev Sahibi,1,1,1,1,Berabere,%55,39,14,4,1,9,446,379,"%85,0",29,7,20,7,7,6,0,"1,07",29,4,5,15,2,0,0
17.09.2023,Fenerbahçe,Deplasman,2,1,3,1,Mağlup,%40,42,8,11,1,5,310,221,"%71,3",18,5,15,6,5,4,0,"1,59",16,11,16,12,4,0,0
23.09.2023,Samsunspor,Ev Sahibi,2,2,0,0,Galip,%42,49,14,14,0,1,348,268,"%77,0",14,2,7,3,3,1,1,"0,68",17,14,18,22,2,0,0
30.09.2023,İstanbulspor,Deplasman,2,0,1,1,Galip,%53,45,15,19,0,8,486,414,"%85,2",28,11,18,4,9,5,1,"1,30",31,19,13,17,3,0,0
7.10.2023,Galatasaray,Ev Sahibi,0,0,2,0,Mağlup,%42,68,16,10,2,3,335,249,"%74,3",18,3,11,4,6,1,0,"0,97",22,10,21,15,1,0,0
21.10.2023,Gaziantep FK,Deplasman,0,0,1,0,Mağlup,%61,59,8,7,0,4,451,392,"%86,9",19,3,8,2,3,3,0,"0,37",14,7,14,14,2,0,0
29.10.2023,Başakşehir,Ev Sahibi,1,1,0,0,Galip,%42,61,18,10,0,7,318,228,"%71,7",22,6,11,1,5,5,0,"0,84",22,10,22,20,3,0,0
5.11.2023,Beşiktaş,Ev Sahibi,3,0,2,1,Galip,%36,49,9,9,1,3,254,159,"%62,6",10,1,5,3,2,0,1,"0,72",3,9,26,13,1,0,0
10.11.2023,Ankaragücü,Deplasman,4,2,0,0,Galip,%45,52,7,13,0,5,421,337,"%80,0",15,5,23,10,7,6,1,"1,69",27,13,13,12,0,0,0
26.11.2023,Ç. Rizespor,Ev Sahibi,0,0,0,0,Berabere,%52,50,12,12,0,6,426,347,"%81,5",20,8,18,10,5,3,0,"1,82",23,12,14,12,1,0,0
1.12.2023,Hatayspor,Deplasman,3,1,3,1,Berabere,%49,43,17,11,1,5,388,312,"%80,4",12,7,13,7,2,4,0,"1,86",16,11,33,5,2,0,0
9.12.2023,F. Karagümrük,Ev Sahibi,2,2,1,1,Galip,%33,59,16,7,1,2,280,198,"%70,7",9,0,2,2,0,0,0,"0,14",4,7,34,14,4,0,1
20.12.2023,Kasımpaşa,Ev Sahibi,0,0,0,0,Berabere,%52,56,17,9,1,5,384,284,"%74,0",22,3,9,1,5,3,0,"0,36",15,9,15,10,2,0,0
24.12.2023,Adana Demirspor,Deplasman,1,0,2,2,Mağlup,%61,50,8,14,1,10,492,417,"%84,8",29,7,22,3,10,9,1,"1,91",28,14,4,10,2,0,0
5.01.2024,Alanyaspor,Ev Sahibi,0,0,0,0,Berabere,%46,38,8,11,1,9,395,318,"%80,5",22,2,11,2,7,2,1,"0,96",13,11,16,15,2,0,0
9.01.2024,Pendikspor,Deplasman,1,1,0,0,Galip,%44,67,17,12,0,7,357,258,"%72,3",15,5,12,2,6,4,0,"1,38",15,12,33,16,4,0,0
14.01.2024,Trabzonspor,Ev Sahibi,1,0,1,1,Berabere,%65,55,13,10,1,6,541,460,"%85,0",28,3,20,4,12,4,2,"1,55",25,10,10,17,1,0,0
21.01.2024,Konyaspor,Deplasman,1,0,1,1,Berabere,%60,36,13,7,0,4,490,411,"%83,9",21,5,14,1,10,3,0,"1,32",20,7,20,12,3,0,0
24.01.2024,Sivasspor,Ev Sahibi,2,2,1,1,Galip,%66,53,16,7,2,8,554,482,"%87,0",27,6,25,12,9,4,0,"2,18",37,7,23,10,2,0,0
29.01.2024,Kayserispor,Deplasman,1,1,1,0,Berabere,%51,58,24,9,0,7,398,291,"%73,1",21,3,13,3,3,7,0,"1,82",19,9,26,12,1,0,0
3.02.2024,Fenerbahçe,Ev Sahibi,0,0,2,1,Mağlup,%54,49,15,18,0,6,437,341,"%78,0",22,3,17,4,9,4,0,"0,59",18,18,24,13,1,0,0
12.02.2024,Samsunspor,Deplasman,0,0,2,0,Mağlup,%61,62,22,9,2,2,504,412,"%81,7",16,1,11,2,6,3,0,"0,52",10,9,18,8,2,0,0
17.02.2024,İstanbulspor,Ev Sahibi,2,2,2,0,Berabere,%52,56,19,7,1,6,460,371,"%80,7",27,12,14,5,6,3,0,"1,49",27,7,20,11,2,0,0
26.02.2024,Galatasaray,Deplasman,1,1,2,2,Mağlup,%47,64,17,13,1,6,321,243,"%75,7",17,6,15,4,5,6,1,"1,01",22,13,17,14,4,0,0
4.03.2024,Gaziantep FK,Ev Sahibi,1,1,0,0,Galip,%47,48,14,8,1,11,405,320,"%79,0",22,10,21,9,8,4,1,"1,84",27,8,24,12,1,0,0
9.03.2024,Başakşehir,Deplasman,0,0,1,0,Mağlup,%41,52,14,9,0,3,321,254,"%79,1",19,4,9,0,5,4,2,"0,39",16,9,20,10,1,0,0
16.03.2024,Beşiktaş,Deplasman,2,2,1,0,Galip,%49,59,23,12,1,5,386,302,"%78,2",15,3,11,2,5,4,0,"1,53",14,12,34,14,3,0,0
