Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
14.08.2023,Alanyaspor,Deplasman,0,0,2,1,Mağlup,%48,54,21,7,0,5,412,341,"%82,8",12,7,11,3,5,3,1,"0,84",14,7,19,14,3,1,0
20.08.2023,F. Karagümrük,Ev Sahibi,0,0,2,2,Mağlup,%62,61,24,10,2,5,573,492,"%85,9",25,10,13,5,6,2,0,"1,04",24,10,8,12,3,0,0
2.09.2023,Konyaspor,Ev Sahibi,0,0,1,0,Mağlup,%50,46,10,12,1,2,496,438,"%88,3",16,1,12,2,6,4,1,"0,54",13,12,13,13,4,0,1
17.09.2023,İstanbulspor,Deplasman,2,0,0,0,Galip,%58,53,8,13,3,7,573,499,"%87,1",22,10,20,8,7,5,0,"3,14",40,13,11,9,0,0,0
23.09.2023,Galatasaray,Ev Sahibi,1,0,2,1,Mağlup,%41,60,20,10,3,2,355,258,"%72,7",6,3,7,1,3,3,1,"0,36",14,10,13,17,3,0,0
28.09.2023,Fenerbahçe,Deplasman,0,0,4,3,Mağlup,%42,51,18,9,2,2,375,291,"%77,6",3,1,7,0,6,1,0,"0,19",8,9,32,9,1,0,0
2.10.2023,Kayserispor,Deplasman,0,0,0,0,Berabere,%48,50,20,10,1,5,387,306,"%79,1",14,2,7,3,2,2,0,"0,33",20,10,29,15,2,0,0
7.10.2023,Gaziantep FK,Ev Sahibi,2,2,0,0,Galip,%52,35,5,13,3,5,493,422,"%85,6",12,4,9,3,3,3,0,"0,74",14,13,24,12,0,0,0
22.10.2023,Samsunspor,Deplasman,0,0,0,0,Berabere,%60,73,33,7,3,0,500,428,"%85,6",3,0,7,0,5,2,1,"0,51",14,7,25,8,2,0,0
29.10.2023,Antalyaspor,Deplasman,0,0,1,1,Mağlup,%58,54,13,13,1,5,456,377,"%82,7",15,3,8,3,2,3,0,"0,54",16,13,14,19,5,0,0
5.11.2023,Ankaragücü,Ev Sahibi,3,2,3,2,Berabere,%48,39,10,9,1,1,464,385,"%83,0",20,3,10,4,3,3,1,"1,14",22,9,11,7,2,0,0
12.11.2023,Beşiktaş,Deplasman,0,0,1,0,Mağlup,%51,64,16,9,1,6,407,310,"%76,2",19,0,7,2,4,1,0,"0,58",19,9,20,17,3,0,0
27.11.2023,Pendikspor,Ev Sahibi,4,1,1,1,Galip,%56,49,10,10,4,7,514,442,"%86,0",12,3,13,6,5,2,0,"2,94",18,10,17,13,1,0,0
2.12.2023,Ç. Rizespor,Deplasman,2,2,3,2,Mağlup,%51,59,20,8,1,5,394,318,"%80,7",24,8,17,9,5,3,0,"1,55",26,8,18,13,3,0,0
10.12.2023,Hatayspor,Ev Sahibi,1,1,0,0,Galip,%40,51,18,6,1,1,333,258,"%77,5",5,1,8,3,4,1,0,"1,07",15,6,27,18,2,1,0
19.12.2023,Sivasspor,Ev Sahibi,3,1,1,1,Galip,%64,41,11,4,2,3,607,540,"%89,0",18,4,15,6,5,4,0,"3,16",27,4,12,22,1,0,0
23.12.2023,Trabzonspor,Deplasman,1,1,1,1,Berabere,%44,42,13,7,3,6,376,304,"%80,9",13,5,6,1,2,3,0,"0,88",9,7,15,18,2,0,0
6.01.2024,Adana Demirspor,Ev Sahibi,0,0,0,0,Berabere,%56,48,15,10,4,6,477,416,"%87,2",23,8,11,1,9,1,0,"0,77",21,10,14,10,3,0,0
9.01.2024,Kasımpaşa,Deplasman,3,1,0,0,Galip,%45,47,14,5,5,3,385,300,"%77,9",8,5,9,5,2,2,0,"1,98",22,5,22,12,1,0,0
13.01.2024,Alanyaspor,Ev Sahibi,3,2,2,1,Galip,%52,39,15,10,5,4,486,418,"%86,0",15,3,11,6,3,2,1,"0,70",15,10,15,19,1,0,0
20.01.2024,F. Karagümrük,Deplasman,1,1,1,0,Berabere,%56,53,16,5,3,3,453,384,"%84,8",18,3,19,7,10,2,0,"1,61",27,5,20,13,2,0,0
24.01.2024,Fenerbahçe,Ev Sahibi,0,0,1,0,Mağlup,%34,38,10,13,4,1,301,197,"%65,4",9,3,4,1,3,0,0,"0,57",4,13,37,16,7,2,0
28.01.2024,Konyaspor,Deplasman,3,0,2,2,Galip,%66,60,24,8,2,6,528,441,"%83,5",20,9,15,5,6,4,0,"2,06",28,8,11,12,2,0,0
3.02.2024,İstanbulspor,Ev Sahibi,2,1,0,0,Galip,%61,48,18,17,1,8,564,485,"%86,0",29,6,24,9,5,10,0,"3,06",34,17,16,8,1,0,0
10.02.2024,Galatasaray,Deplasman,0,0,2,2,Mağlup,%47,49,11,9,6,3,362,280,"%77,3",13,5,10,2,4,4,0,"0,64",19,9,17,11,2,0,0
19.02.2024,Kayserispor,Ev Sahibi,2,0,3,2,Mağlup,%57,55,14,10,4,7,424,336,"%79,2",23,7,19,7,7,5,1,"2,54",28,10,13,7,2,0,0
24.02.2024,Gaziantep FK,Deplasman,2,0,0,0,Galip,%48,51,20,4,2,0,392,297,"%75,8",6,2,4,4,0,0,0,"0,43",7,4,18,12,3,0,0
3.03.2024,Samsunspor,Ev Sahibi,1,0,0,0,Galip,%67,52,16,8,4,5,585,511,"%87,4",24,7,12,6,3,3,0,"0,90",20,8,16,6,0,0,0
9.03.2024,Antalyaspor,Ev Sahibi,1,0,0,0,Galip,%59,46,14,5,2,10,460,402,"%87,4",30,10,12,4,7,1,2,"1,38",27,5,11,11,1,0,0
16.03.2024,Ankaragücü,Deplasman,1,0,2,0,Mağlup,%62,54,19,8,0,2,522,423,"%81,0",19,8,12,3,7,2,0,"1,66",20,8,19,10,2,0,0
4.04.2024,Beşiktaş,Ev Sahibi,1,0,1,1,Berabere,%70,57,18,10,1,9,558,496,"%88,9",27,9,19,4,8,7,1,"0,99",21,10,5,14,3,0,0
14.04.2024,Pendikspor,Deplasman,3,1,2,1,Galip,%50,38,17,7,4,4,377,304,"%80,6",8,2,16,7,5,4,0,"1,89",28,7,23,12,1,0,0
21.04.2024,Ç. Rizespor,Ev Sahibi,2,1,0,0,Galip,%50,45,10,5,0,1,439,361,"%82,2",6,1,12,4,7,1,1,"1,93",18,5,17,10,1,0,0
27.04.2024,Hatayspor,Deplasman,2,1,1,0,Galip,%44,53,23,11,1,0,358,282,"%78,8",2,0,7,4,2,1,0,"0,61",12,11,23,20,3,0,0
5.05.2024,Kasımpaşa,Ev Sahibi,4,2,1,0,Galip,%48,47,13,7,3,5,365,279,"%76,4",14,7,16,7,6,3,0,"2,62",24,7,19,15,2,0,0
12.05.2024,Sivasspor,Deplasman,1,1,0,0,Galip,%62,39,13,6,4,3,489,437,"%89,4",17,6,11,6,4,1,0,"1,80",16,6,19,15,2,0,0
18.05.2024,Trabzonspor,Ev Sahibi,0,0,1,1,Mağlup,%55,51,16,10,0,6,395,332,"%84,1",17,4,12,3,6,3,1,"0,97",10,10,15,16,3,0,0
26.05.2024,Adana Demirspor,Deplasman,6,4,2,1,Galip,%51,30,5,8,4,1,451,413,"%91,6",9,1,12,7,5,0,0,"2,73",21,8,9,14,2,0,0
8.08.2022,Kasımpaşa,Ev Sahibi,4,2,0,0,Galip,%57,34,9,14,3,6,503,429,"%85,3",15,7,15,7,7,1,1,"3,17",32,14,14,14,2,0,0
15.08.2022,Konyaspor,Deplasman,0,0,0,0,Berabere,%60,33,11,9,3,5,559,496,"%88,7",26,3,9,3,3,3,0,"0,57",20,9,11,8,3,0,0
21.08.2022,Kayserispor,Ev Sahibi,2,1,0,0,Galip,%53,36,10,8,0,4,499,427,"%85,6",8,5,12,8,3,1,0,"1,01",23,8,19,16,5,0,0
3.09.2022,Alanyaspor,Ev Sahibi,2,1,0,0,Galip,%41,44,6,9,5,3,439,386,"%87,9",9,3,10,3,6,1,0,"1,41",12,9,20,8,1,0,0
12.09.2022,Beşiktaş,Deplasman,1,0,0,0,Galip,%51,51,21,11,1,4,436,353,"%81,0",10,3,7,1,5,1,0,"0,51",11,11,33,11,5,0,0
18.09.2022,F. Karagümrük,Ev Sahibi,0,0,0,0,Berabere,%68,55,18,9,3,6,633,551,"%87,0",19,4,9,1,4,4,2,"0,51",31,9,11,8,0,0,1
