Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
14.08.2023,F. Karagümrük,Deplasman,1,0,0,0,Galip,%65,48,14,5,1,4,585,529,"%90,4",19,3,13,5,2,6,2,"1,93",29,5,6,13,1,0,0
20.08.2023,Pendikspor,Ev Sahibi,1,1,1,0,Berabere,%61,45,11,5,2,6,527,453,"%86,0",19,8,14,6,4,4,1,"1,38",19,5,15,11,4,0,0
3.09.2023,Sivasspor,Ev Sahibi,2,2,0,0,Galip,%65,73,15,10,1,7,520,443,"%85,2",25,7,18,8,7,3,0,"1,79",27,10,7,17,2,0,0
17.09.2023,Trabzonspor,Deplasman,0,0,3,2,Mağlup,%71,46,12,9,3,7,478,396,"%82,8",25,3,8,1,3,4,0,"0,42",12,9,12,11,1,0,0
24.09.2023,Kayserispor,Ev Sahibi,2,0,1,0,Galip,%63,43,11,11,0,7,560,483,"%86,3",33,12,21,8,10,3,0,"2,46",31,11,6,13,1,0,0
27.09.2023,Adana Demirspor,Deplasman,2,0,4,2,Mağlup,%61,48,14,7,1,5,405,327,"%80,7",25,8,16,6,6,4,0,"1,51",36,7,6,15,1,0,0
1.10.2023,Konyaspor,Deplasman,2,1,0,0,Galip,%61,43,11,6,2,6,582,519,"%89,2",21,3,6,1,4,1,0,"0,68",14,6,16,20,3,0,0
8.10.2023,İstanbulspor,Ev Sahibi,2,1,0,0,Galip,%65,59,11,13,6,4,641,569,"%88,8",18,3,18,5,6,7,0,"2,13",35,13,11,11,2,0,0
21.10.2023,Galatasaray,Deplasman,1,0,2,1,Mağlup,%48,58,18,7,1,2,387,293,"%75,7",15,2,2,2,0,0,1,"0,44",8,7,20,18,6,0,1
30.10.2023,Gaziantep FK,Ev Sahibi,2,0,0,0,Galip,%64,64,22,17,1,7,496,421,"%84,9",31,5,14,6,5,3,1,"1,03",22,17,13,15,1,1,0
5.11.2023,Antalyaspor,Deplasman,2,1,3,0,Mağlup,%64,53,15,11,3,6,445,357,"%80,2",27,8,16,4,6,6,1,"1,55",29,11,8,13,3,0,0
12.11.2023,Başakşehir,Ev Sahibi,1,0,0,0,Galip,%49,64,19,7,2,5,401,304,"%75,8",15,2,15,4,8,3,0,"1,68",28,7,31,18,2,0,0
26.11.2023,Samsunspor,Deplasman,2,1,1,1,Galip,%62,57,24,9,1,5,472,373,"%79,0",12,5,17,6,6,5,0,"2,23",21,9,20,9,1,0,0
3.12.2023,Ankaragücü,Deplasman,1,0,1,1,Berabere,%60,73,28,10,1,5,488,390,"%79,9",24,5,8,4,2,2,0,"0,43",22,10,12,10,2,0,0
9.12.2023,Fenerbahçe,Ev Sahibi,1,1,3,1,Mağlup,%46,55,18,10,0,1,374,276,"%73,8",10,2,4,1,1,2,0,"1,16",9,10,15,18,5,0,0
21.12.2023,Alanyaspor,Ev Sahibi,1,1,3,1,Mağlup,%59,37,11,5,0,10,518,434,"%83,8",31,6,15,3,2,10,0,"1,65",28,5,13,16,3,0,0
25.12.2023,Hatayspor,Deplasman,2,1,1,0,Galip,%46,54,20,15,1,8,360,282,"%78,3",20,4,16,7,2,7,0,"1,16",30,15,15,9,1,0,0
5.01.2024,Kasımpaşa,Ev Sahibi,1,1,3,1,Mağlup,%56,48,14,7,4,4,384,299,"%77,9",17,3,9,3,3,3,0,"0,81",20,7,19,20,2,0,0
9.01.2024,Ç. Rizespor,Deplasman,4,2,0,0,Galip,%46,46,6,11,1,5,355,279,"%78,6",12,0,15,7,2,6,0,"2,01",25,11,22,15,1,0,0
13.01.2024,F. Karagümrük,Ev Sahibi,3,0,0,0,Galip,%44,52,16,6,0,6,359,291,"%81,1",18,6,17,6,9,2,1,"2,08",27,6,29,17,3,0,0
20.01.2024,Pendikspor,Deplasman,0,0,4,1,Mağlup,%65,42,14,6,3,6,529,438,"%82,8",21,8,15,4,8,3,0,"1,90",30,6,9,11,2,0,0
23.01.2024,Adana Demirspor,Ev Sahibi,0,0,0,0,Berabere,%57,60,17,11,1,8,419,345,"%82,3",22,7,19,6,7,6,1,"1,40",24,11,21,15,4,0,0
28.01.2024,Sivasspor,Deplasman,0,0,1,1,Mağlup,%71,66,27,9,2,10,560,473,"%84,5",26,9,16,4,7,5,1,"1,20",22,9,12,9,4,0,0
04.02.2024,Trabzonspor,Ev Sahibi,2,1,0,0,Galip,%45,38,13,13,1,6,351,270,"%76,9",14,2,9,3,3,3,0,"0,53",10,13,18,21,3,0,0
12.02.2024,Kayserispor,Deplasman,0,0,0,0,Berabere,%46,79,24,10,3,3,356,268,"%75,3",9,1,6,1,2,3,0,"0,22",13,10,22,9,0,0,0
19.02.2024,Konyaspor,Ev Sahibi,2,0,0,0,Galip,%47,50,13,11,1,6,450,375,"%83,3",22,4,19,7,9,3,1,"1,47",18,11,25,8,2,0,0
25.02.2024,İstanbulspor,Deplasman,2,1,0,0,Galip,%51,46,9,10,1,7,458,378,"%82,5",20,4,16,6,8,2,0,"0,87",28,10,14,16,3,0,0
3.03.2024,Galatasaray,Ev Sahibi,0,0,1,1,Mağlup,%48,59,21,14,0,4,359,277,"%77,2",16,1,11,3,3,5,1,"0,32",16,14,26,7,2,0,1
11.03.2024,Gaziantep FK,Deplasman,0,0,2,1,Mağlup,%59,56,19,8,2,3,435,356,"%81,8",21,4,13,5,6,2,0,"1,34",22,8,10,12,3,0,0
16.03.2024,Antalyaspor,Ev Sahibi,1,0,2,2,Mağlup,%51,62,19,16,2,8,389,305,"%78,4",28,6,19,8,7,4,0,"2,25",44,16,12,12,2,0,0
4.04.2024,Başakşehir,Deplasman,1,1,1,0,Berabere,%30,43,21,9,1,4,235,170,"%72,3",12,4,7,2,4,1,2,"1,16",14,9,25,25,3,0,0
13.04.2024,Samsunspor,Ev Sahibi,1,1,1,0,Berabere,%52,74,34,10,1,0,387,285,"%73,6",13,5,17,4,8,5,1,"1,04",28,10,15,13,1,0,0
19.04.2024,Ankaragücü,Ev Sahibi,2,1,0,0,Galip,%44,49,13,11,0,8,372,315,"%84,7",16,1,18,6,6,6,2,"0,94",27,11,21,12,2,0,0
27.04.2024,Fenerbahçe,Deplasman,1,0,2,1,Mağlup,%35,55,9,3,1,2,266,199,"%74,8",8,1,8,4,1,3,0,"0,51",12,3,15,18,3,0,1
03.05.2024,Ç. Rizespor,Ev Sahibi,3,1,2,1,Galip,%60,48,13,5,1,7,504,427,"%84,7",23,8,25,8,8,9,1,"2,07",40,5,8,16,2,0,0
12.05.2024,Alanyaspor,Deplasman,1,0,1,0,Berabere,%45,50,11,11,0,1,391,316,"%80,8",12,4,9,2,5,2,1,"0,45",21,11,10,11,3,0,0
18.05.2024,Hatayspor,Ev Sahibi,2,0,2,1,Berabere,%69,60,16,7,3,7,543,485,"%89,3",31,4,20,7,6,7,0,"2,55",32,7,3,6,6,0,0
26.05.2024,Kasımpaşa,Deplasman,1,0,2,1,Mağlup,%55,45,14,13,0,3,435,357,"%82,1",11,1,6,4,2,0,0,"1,48",15,13,12,9,2,0,0
6.08.2022,Kayserispor,Ev Sahibi,1,0,0,0,Galip,%55,58,16,8,2,9,422,354,"%83,9",35,9,20,6,7,7,0,"1,52",45,8,15,22,4,1,0
14.08.2022,Alanyaspor,Deplasman,3,3,3,1,Berabere,%23,61,11,12,3,1,179,122,"%68,2",6,2,6,4,1,1,0,"1,32",19,12,22,16,3,1,0
21.08.2022,F. Karagümrük,Ev Sahibi,4,2,1,0,Galip,%47,46,12,4,2,6,376,316,"%84,0",20,7,19,8,8,3,3,"2,59",32,4,17,19,3,0,0
29.08.2022,Sivasspor,Ev Sahibi,3,3,1,0,Galip,%59,43,7,12,2,5,496,422,"%85,1",9,5,18,10,5,3,1,"2,05",31,12,7,13,0,0,0
4.09.2022,Ankaragücü,Deplasman,3,2,2,1,Galip,%46,48,13,8,3,1,301,224,"%74,4",24,8,12,6,2,4,0,"2,64",26,8,12,19,1,0,1
12.09.2022,Başakşehir,Ev Sahibi,0,0,1,0,Mağlup,%49,58,23,11,0,5,397,318,"%80,1",35,10,21,2,15,4,0,"1,85",39,11,11,9,3,0,0
17.09.2022,İstanbulspor,Deplasman,2,2,2,1,Berabere,%50,58,23,11,4,5,398,317,"%79,6",15,2,8,5,2,1,0,"0,95",14,11,17,18,3,0,0
02.10.2022,Fenerbahçe,Ev Sahibi,0,0,0,0,Berabere,%48,60,14,7,7,3,372,271,"%72,8",12,7,9,1,7,1,1,"1,02",12,7,21,19,2,0,0
8.10.2022,Giresunspor,Deplasman,1,1,0,0,Galip,%48,54,17,6,0,8,327,251,"%76,8",22,6,14,5,4,5,0,"1,94",26,6,16,12,3,0,0
16.10.2022,Trabzonspor,Ev Sahibi,2,1,2,2,Berabere,%58,47,13,10,2,4,481,394,"%81,9",32,10,17,7,7,3,1,"1,84",32,10,6,11,3,0,0
24.10.2022,Hatayspor,Deplasman,1,1,2,0,Mağlup,%58,42,13,10,2,11,479,410,"%85,6",39,7,18,4,8,6,0,"1,22",33,10,11,10,1,0,0
30.10.2022,Ümraniyespor,Ev Sahibi,5,2,2,1,Galip,%48,46,14,11,2,9,392,319,"%81,4",19,3,16,10,4,2,0,"2,42",26,11,23,16,2,0,0
5.11.2022,Galatasaray,Deplasman,1,1,2,1,Mağlup,%46,56,18,12,4,7,284,203,"%71,5",26,5,12,4,6,2,0,"0,70",18,12,29,13,4,0,0
25.12.2022,Gaziantep FK,Deplasman,1,0,1,0,Berabere,%65,64,22,13,0,4,562,470,"%83,6",32,7,20,1,13,6,0,"3,13",31,13,17,9,2,0,0
29.12.2022,Adana Demirspor,Ev Sahibi,1,1,0,0,Galip,%56,56,12,11,2,7,503,403,"%80,1",30,5,16,5,8,3,0,"1,78",29,11,17,18,5,0,0
7.01.2023,Kasımpaşa,Ev Sahibi,2,2,1,0,Galip,%55,50,14,8,0,6,496,407,"%82,1",26,8,14,8,3,3,0,"1,73",30,8,19,18,2,0,0
14.01.2023,Konyaspor,Deplasman,2,0,1,1,Galip,%59,56,23,9,1,5,505,398,"%78,8",24,5,20,4,9,7,1,"1,68",30,9,16,18,1,0,0
22.01.2023,Kayserispor,Deplasman,2,2,0,0,Galip,%37,60,21,15,2,3,329,213,"%64,7",11,3,7,4,2,1,1,"0,97",15,15,23,20,2,0,1
27.01.2023,Alanyaspor,Ev Sahibi,3,1,0,0,Galip,%56,62,17,12,3,3,610,520,"%85,2",17,6,21,8,9,4,1,"3,03",31,12,16,14,0,0,0
