Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2024,Gaziantep FK,Ev Sahibi,0,0,1,0,Mağlup,%62,43,17,16,2,4,444,353,"%79,5",25,6,16,3,12,1,0,"0,77",27,16,2,13,2,0,0
19.08.2024,Eyüpspor,Deplasman,1,1,4,0,Mağlup,%36,57,17,9,2,4,262,192,"%73,3",11,5,18,5,7,6,1,"1,71",24,9,17,11,1,0,0
24.08.2024,Konyaspor,Ev Sahibi,3,2,1,1,Galip,%37,52,16,18,0,5,283,195,"%68,9",10,4,11,4,3,4,0,"1,67",17,18,28,11,2,0,0
31.08.2024,Göztepe,Deplasman,0,0,2,2,Mağlup,%51,64,23,7,2,2,346,226,"%65,3",17,3,14,3,7,4,0,"1,97",14,7,20,4,1,0,0
14.09.2024,Başakşehir,Ev Sahibi,0,0,1,0,Mağlup,%36,38,9,10,0,5,226,145,"%64,2",13,1,10,3,5,2,0,"0,46",15,10,15,22,0,0,1
20.09.2024,Hatayspor,Deplasman,1,1,0,0,Galip,%34,57,18,11,1,7,243,162,"%66,7",18,5,8,1,5,2,0,"0,78",16,11,34,13,6,0,0
29.09.2024,Adana Demirspor,Ev Sahibi,3,1,1,0,Galip,%47,54,13,7,4,7,303,235,"%77,6",14,7,18,7,4,7,1,"1,58",40,7,14,14,2,0,0
5.10.2024,Kasımpaşa,Deplasman,0,0,0,0,Berabere,%26,45,21,12,1,0,189,97,"%51,3",6,2,4,1,2,1,0,"0,07",4,12,41,16,3,1,0
21.10.2024,Ç. Rizespor,Ev Sahibi,0,0,1,0,Mağlup,%40,65,18,9,0,5,311,235,"%75,6",17,8,13,2,8,3,0,"0,72",32,9,14,13,2,0,0
27.10.2024,Fenerbahçe,Deplasman,0,0,2,1,Mağlup,%34,48,9,5,2,1,305,226,"%74,1",6,1,8,1,4,3,0,"0,43",11,5,27,8,1,0,0
3.11.2024,Alanyaspor,Ev Sahibi,0,0,0,0,Berabere,%33,50,10,9,3,2,292,215,"%73,6",10,3,9,0,5,4,1,"0,68",17,9,26,13,3,0,1
9.11.2024,Antalyaspor,Deplasman,2,1,3,3,Mağlup,%41,48,9,10,3,5,337,258,"%76,6",14,5,11,5,6,0,0,"1,35",13,10,18,10,1,0,0
23.11.2024,Galatasaray,Ev Sahibi,0,0,1,0,Mağlup,%33,63,11,7,3,7,235,145,"%61,7",17,3,9,2,3,4,1,"0,25",18,7,32,10,2,1,0
30.11.2024,Samsunspor,Deplasman,0,0,4,1,Mağlup,%52,37,6,4,3,4,447,365,"%81,7",15,2,7,0,5,2,0,"0,46",13,4,16,9,0,0,0
13.12.2024,Sivasspor,Ev Sahibi,2,0,0,0,Galip,%44,52,17,5,2,4,353,278,"%78,8",17,4,10,5,3,2,1,"1,50",23,5,35,17,3,0,0
22.12.2024,Trabzonspor,Deplasman,0,0,1,0,Mağlup,%26,47,12,8,2,4,199,124,"%62,3",12,4,12,6,3,3,0,"2,30",17,8,42,12,2,0,0
5.01.2025,Kayserispor,Ev Sahibi,1,0,1,0,Berabere,%50,62,18,2,2,6,335,245,"%73,1",22,4,14,4,6,4,0,"0,75",25,2,27,10,2,0,0
