Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
11.08.2018,Fenerbahçe,Deplasman,1,1,2,2,Mağlup,%42,51,15,11,5,4,382,295,"%77,2",17,3,10,3,5,2,0,"1,05",14,11,15,16,3,0,0
18.08.2018,Kayserispor,Ev Sahibi,0,0,0,0,Berabere,%51,70,29,9,1,6,457,358,"%78,3",27,5,9,2,4,3,0,"0,80",18,9,27,11,2,0,0
26.08.2018,Konyaspor,Deplasman,1,1,1,1,Berabere,%51,56,20,7,0,6,303,224,"%73,9",18,3,13,5,4,4,0,"2,71",15,7,29,14,3,0,0
2.09.2018,Beşiktaş,Ev Sahibi,1,0,1,0,Berabere,%50,52,17,15,1,4,384,306,"%79,7",20,4,9,3,5,1,0,"1,37",14,15,23,14,2,0,0
16.09.2018,Ç. Rizespor,Deplasman,1,1,1,0,Berabere,%49,71,24,7,1,3,377,293,"%77,7",23,5,9,4,3,2,1,"0,67",13,7,25,19,2,0,0
21.09.2018,Başakşehir,Ev Sahibi,0,0,0,0,Berabere,%42,58,18,16,1,1,423,339,"%80,1",16,4,13,4,3,6,0,"1,07",11,16,14,10,1,0,0
30.09.2018,Sivasspor,Deplasman,0,0,2,1,Mağlup,%53,64,18,15,5,6,449,357,"%79,5",19,3,7,3,4,0,0,"0,27",8,15,14,13,4,0,0
6.10.2018,Ankaragücü,Ev Sahibi,1,1,0,0,Galip,%46,69,37,12,1,10,356,254,"%71,3",18,2,13,5,5,3,0,"1,40",11,12,25,19,1,0,0
19.10.2018,Galatasaray,Deplasman,1,0,1,0,Berabere,%35,40,13,22,1,6,289,202,"%69,9",16,5,13,3,7,3,0,"1,43",18,22,18,18,5,0,0
26.10.2018,Alanyaspor,Ev Sahibi,2,2,0,0,Galip,%51,68,20,15,2,2,435,314,"%72,2",14,8,12,7,4,1,0,"2,50",21,15,27,17,1,0,0
4.11.2018,Trabzonspor,Deplasman,1,0,1,1,Berabere,%51,59,22,19,0,6,469,373,"%79,5",24,2,14,6,5,3,0,"1,22",18,19,17,16,2,0,0
11.11.2018,Kasımpaşa,Ev Sahibi,1,1,2,1,Mağlup,%61,75,33,7,1,6,452,365,"%80,8",39,11,24,4,15,5,0,"2,23",31,7,14,17,3,0,0
25.11.2018,Akhisarspor,Deplasman,4,1,2,2,Galip,%64,60,18,11,0,7,584,514,"%88,0",32,8,19,7,7,5,1,"2,95",32,11,16,11,2,0,0
2.12.2018,Erzurumspor FK,Ev Sahibi,2,1,1,1,Galip,%54,63,23,28,1,2,515,417,"%81,0",13,6,13,4,4,5,0,"0,88",13,28,16,19,2,0,0
9.12.2018,Antalyaspor,Ev Sahibi,0,0,2,2,Mağlup,%69,61,29,7,0,9,680,600,"%88,2",41,12,14,4,6,4,0,"1,19",32,7,9,20,4,0,0
14.12.2018,Göztepe,Deplasman,0,0,0,0,Berabere,%56,64,29,19,2,6,512,394,"%77,0",17,2,6,3,3,0,0,"0,48",10,19,26,13,3,0,0
23.12.2018,Yeni Malatyaspor,Ev Sahibi,1,1,1,0,Berabere,%61,58,22,13,1,5,534,446,"%83,5",33,5,9,2,5,2,1,"1,39",21,13,9,13,1,0,0
21.01.2019,Fenerbahçe,Ev Sahibi,1,0,1,1,Berabere,%57,75,37,19,1,3,438,309,"%70,5",33,10,16,5,10,1,0,"2,24",33,19,13,17,4,0,0
26.01.2019,Kayserispor,Deplasman,1,1,1,0,Berabere,%51,57,26,3,1,7,399,310,"%77,7",27,8,13,4,6,3,1,"1,44",22,3,20,9,2,0,0
4.02.2019,Konyaspor,Ev Sahibi,0,0,0,0,Berabere,%59,61,32,10,3,4,508,388,"%76,4",34,11,16,3,6,7,2,"1,86",25,10,10,11,0,0,0
9.02.2019,Beşiktaş,Deplasman,0,0,2,1,Mağlup,%45,60,19,14,2,3,405,304,"%75,1",15,4,7,3,4,0,0,"0,51",14,14,16,14,1,0,0
16.02.2019,Ç. Rizespor,Ev Sahibi,0,0,2,1,Mağlup,%57,64,25,16,2,8,441,335,"%76,0",41,9,17,2,7,8,0,"0,79",35,16,11,14,3,0,0
24.02.2019,Başakşehir,Deplasman,0,0,3,2,Mağlup,%53,50,24,14,3,5,467,322,"%69,0",35,9,14,3,8,3,0,"1,75",21,14,15,13,2,0,0
2.03.2019,Sivasspor,Ev Sahibi,3,1,2,1,Galip,%53,69,34,8,1,7,455,356,"%78,2",26,8,12,5,5,2,0,"1,92",36,8,14,21,3,0,0
9.03.2019,Ankaragücü,Deplasman,0,0,0,0,Berabere,%46,64,31,8,2,4,403,297,"%73,7",17,3,14,2,8,4,1,"0,68",23,8,16,7,1,0,0
17.03.2019,Galatasaray,Ev Sahibi,2,2,3,1,Mağlup,%44,51,19,8,1,5,373,273,"%73,2",25,4,13,5,6,2,0,"1,62",22,8,22,14,2,0,0
6.04.2019,Alanyaspor,Deplasman,0,0,1,0,Mağlup,%44,61,20,13,0,2,325,196,"%60,3",8,1,10,3,3,4,0,"1,21",11,13,22,13,2,0,0
12.04.2019,Trabzonspor,Ev Sahibi,0,0,1,0,Mağlup,%53,82,29,8,2,10,371,272,"%73,3",30,7,18,3,9,6,0,"1,86",36,8,9,18,3,0,0
19.04.2019,Kasımpaşa,Deplasman,1,0,1,0,Berabere,%50,62,21,13,1,4,375,268,"%71,5",33,4,17,5,9,3,0,"3,28",29,13,12,15,1,0,0
28.04.2019,Akhisarspor,Ev Sahibi,0,0,0,0,Berabere,%56,67,31,13,0,7,427,317,"%74,2",36,14,20,2,15,3,0,"1,21",26,13,12,17,1,0,0
04.05.2019,Erzurumspor FK,Deplasman,0,0,2,0,Mağlup,%43,60,22,11,2,7,333,216,"%64,9",16,9,15,2,8,5,0,"1,09",19,11,11,11,2,0,0
10.05.2019,Antalyaspor,Deplasman,1,1,0,0,Galip,%43,52,28,12,1,8,356,258,"%72,5",21,6,16,5,10,1,0,"1,55",23,12,14,20,3,0,0
19.05.2019,Göztepe,Ev Sahibi,0,0,0,0,Berabere,%64,65,36,5,2,5,415,309,"%74,5",35,7,14,3,7,4,0,"0,69",26,5,17,19,3,0,0
26.05.2019,Yeni Malatyaspor,Deplasman,2,2,1,0,Galip,%55,41,13,13,2,2,474,413,"%87,1",14,2,10,6,2,2,0,"1,59",13,13,21,22,3,0,1
11.08.2017,Başakşehir,Deplasman,0,0,1,1,Mağlup,%46,43,12,15,1,3,494,408,"%82,6",17,3,7,2,3,2,0,0,11,15,4,9,1,0,0
19.08.2017,Alanyaspor,Ev Sahibi,3,2,2,0,Galip,%54,57,17,10,1,1,413,333,"%80,6",13,3,11,4,5,2,0,0,11,10,17,16,2,0,0
26.08.2017,Beşiktaş,Deplasman,1,1,2,1,Mağlup,%36,40,7,8,1,4,297,205,"%69,0",12,2,4,2,2,0,0,0,5,8,29,13,3,0,0
10.09.2017,Akhisarspor,Ev Sahibi,3,0,0,0,Galip,%42,53,13,5,1,4,372,309,"%83,1",16,5,15,5,6,4,1,0,24,5,33,6,2,0,0
16.09.2017,Yeni Malatyaspor,Deplasman,4,2,2,0,Galip,%42,40,9,8,1,3,316,234,"%74,1",12,1,12,5,4,3,0,"1,86",17,8,17,19,3,0,0
24.09.2017,Galatasaray,Ev Sahibi,1,1,2,0,Mağlup,%33,48,10,12,2,6,303,195,"%64,4",14,1,6,5,1,0,0,"1,06",15,12,42,12,0,0,0
30.09.2017,Kayserispor,Deplasman,1,1,3,1,Mağlup,%31,49,12,13,2,7,267,174,"%65,2",14,4,8,2,6,0,0,0,12,13,25,11,2,0,0
16.10.2017,Sincan Bld Ankaraspor,Ev Sahibi,3,2,1,1,Galip,%39,49,7,13,1,5,327,253,"%77,4",15,2,12,5,5,2,1,0,17,13,20,14,2,0,1
22.10.2017,Sivasspor,Deplasman,0,0,0,0,Berabere,%44,54,12,11,3,5,404,326,"%80,7",22,3,13,3,6,4,0,0,18,11,30,13,2,0,0
29.10.2017,Antalyaspor,Ev Sahibi,4,1,0,0,Galip,%48,45,13,12,1,4,489,411,"%84,0",13,4,11,6,2,3,0,"1,87",13,12,28,9,0,0,0
4.11.2017,Kasımpaşa,Deplasman,2,0,2,2,Berabere,%54,40,5,14,1,4,492,407,"%82,7",34,11,16,5,8,3,0,"2,30",31,14,9,13,3,0,0
18.11.2017,Göztepe,Ev Sahibi,0,0,0,0,Berabere,%50,75,22,8,2,11,445,369,"%82,9",27,6,15,2,10,3,1,"1,43",25,8,28,5,0,0,0
26.11.2017,Karabükspor,Ev Sahibi,2,2,1,0,Galip,%40,58,10,11,2,6,332,245,"%73,8",15,2,12,5,4,3,0,"0,92",22,11,17,15,3,0,0
