Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.09.2020,Göztepe,Deplasman,1,0,5,3,Mağlup,%58,41,7,11,3,6,465,397,"%85,4",22,5,8,1,4,3,0,"1,35",16,11,10,13,3,0,0
28.09.2020,Antalyaspor,Deplasman,0,0,1,0,Mağlup,%52,57,20,16,2,3,472,392,"%83,1",7,3,5,2,1,2,0,"0,20",8,16,18,11,2,0,0
4.10.2020,Konyaspor,Ev Sahibi,0,0,0,0,Berabere,%54,43,17,10,4,6,499,420,"%84,2",20,6,7,2,3,2,0,"0,35",14,10,21,13,1,0,0
19.10.2020,Gençlerbirliği,Deplasman,2,2,1,0,Galip,%36,67,17,26,2,4,332,247,"%74,4",11,3,14,6,5,3,1,"1,03",13,26,27,13,0,0,0
26.10.2020,Beşiktaş,Ev Sahibi,2,0,3,2,Mağlup,%50,57,14,15,1,1,433,331,"%76,4",10,0,9,5,2,2,0,"0,41",7,15,21,15,2,0,0
8.11.2020,Yeni Malatyaspor,Deplasman,0,0,2,2,Mağlup,%70,60,16,10,1,6,545,470,"%86,2",27,6,22,3,9,10,1,"1,61",27,10,6,13,2,0,0
21.11.2020,Gaziantep FK,Ev Sahibi,0,0,1,1,Mağlup,%65,66,29,8,3,3,593,501,"%84,5",27,8,13,4,8,1,0,"0,95",16,8,10,9,2,0,0
28.11.2020,Başakşehir,Deplasman,3,0,3,2,Berabere,%48,63,14,9,1,2,454,365,"%80,4",14,1,12,7,1,4,0,"2,38",17,9,18,12,1,0,0
6.12.2020,Fenerbahçe,Ev Sahibi,0,0,2,2,Mağlup,%57,46,17,9,1,11,427,327,"%76,6",31,7,18,7,7,4,1,"2,27",24,9,10,17,3,0,0
11.12.2020,Kasımpaşa,Deplasman,2,1,3,2,Mağlup,%49,61,19,15,1,7,376,269,"%71,5",25,5,13,4,7,2,1,"2,30",21,15,21,12,2,0,0
20.12.2020,Alanyaspor,Ev Sahibi,1,1,0,0,Galip,%20,40,10,14,1,3,155,82,"%52,9",12,0,5,2,3,0,1,"0,69",10,14,32,25,7,1,0
23.12.2020,Erzurumspor FK,Deplasman,2,1,1,0,Galip,%32,38,9,8,2,4,226,166,"%73,5",12,2,11,5,5,1,0,"1,94",16,8,40,14,2,0,0
27.12.2020,Ankaragücü,Ev Sahibi,1,0,2,2,Mağlup,%67,49,13,7,3,7,522,446,"%85,4",38,6,12,2,7,3,0,"1,05",19,7,11,17,2,0,0
2.01.2021,Sivasspor,Deplasman,2,1,2,2,Berabere,%65,43,11,10,1,6,503,439,"%87,3",19,5,14,5,6,3,0,"0,69",15,10,17,12,3,0,0
6.01.2021,Kayserispor,Ev Sahibi,0,0,1,1,Mağlup,%62,45,11,7,1,7,540,463,"%85,7",34,6,16,7,6,3,0,"1,21",18,7,16,13,2,0,0
10.01.2021,Ç. Rizespor,Deplasman,1,1,1,0,Berabere,%41,53,10,10,3,5,315,235,"%74,6",14,3,11,5,3,3,0,"0,49",15,10,42,24,5,0,0
17.01.2021,Hatayspor,Ev Sahibi,0,0,2,0,Mağlup,%53,34,7,16,3,6,418,338,"%80,9",17,3,12,2,7,3,0,"1,18",12,16,9,19,2,0,0
20.01.2021,Galatasaray,Deplasman,1,0,6,3,Mağlup,%47,36,6,17,1,11,418,340,"%81,3",18,6,14,6,5,3,0,"1,98",16,17,11,15,1,0,0
24.01.2021,F. Karagümrük,Ev Sahibi,1,0,2,1,Mağlup,%60,59,25,11,0,4,479,378,"%78,9",37,6,17,5,8,4,0,"1,68",24,11,8,17,3,0,0
31.01.2021,Göztepe,Ev Sahibi,2,1,1,0,Galip,%35,57,22,12,1,2,281,177,"%63,0",8,3,9,4,4,1,0,"1,17",7,12,22,18,2,0,0
4.02.2021,Trabzonspor,Deplasman,0,0,1,0,Mağlup,%39,50,11,15,0,5,361,275,"%76,2",10,2,4,3,1,0,0,"0,18",9,15,22,18,3,0,0
7.02.2021,Antalyaspor,Ev Sahibi,1,1,1,0,Berabere,%39,31,7,23,1,2,386,323,"%83,7",10,1,9,3,6,0,0,"0,86",12,23,14,20,2,0,0
