Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.09.2020,Ankaragücü,Deplasman,2,0,1,0,Galip,%51,46,19,6,0,3,330,235,"%71,2",13,6,12,5,6,1,1,"1,03",20,6,20,12,0,0,0
20.09.2020,Sivasspor,Ev Sahibi,1,0,2,0,Mağlup,%47,38,18,12,0,2,338,258,"%76,3",17,4,7,3,3,1,0,"0,54",7,12,21,14,0,0,0
26.09.2020,Kayserispor,Deplasman,3,2,1,0,Galip,%43,51,18,8,2,5,314,244,"%77,7",11,2,13,8,4,1,0,"1,41",26,8,20,21,3,0,0
3.10.2020,Ç. Rizespor,Ev Sahibi,0,0,0,0,Berabere,%52,30,9,4,2,9,444,382,"%86,0",23,4,11,5,4,2,0,"0,45",14,4,9,14,1,0,0
24.10.2020,Galatasaray,Ev Sahibi,1,1,2,1,Mağlup,%45,40,12,9,2,2,362,284,"%78,5",13,2,4,2,2,0,0,"0,93",15,9,14,14,1,0,0
30.10.2020,F. Karagümrük,Deplasman,1,0,5,3,Mağlup,%50,40,15,12,0,3,437,387,"%88,6",24,6,14,6,7,1,0,"1,45",22,12,19,13,1,0,0
7.11.2020,Göztepe,Ev Sahibi,1,0,1,1,Berabere,%54,30,9,8,0,5,447,376,"%84,1",22,6,13,3,6,4,0,"1,75",29,8,20,10,1,1,0
22.11.2020,Trabzonspor,Deplasman,0,0,1,1,Mağlup,%53,50,6,10,5,6,425,353,"%83,1",37,5,21,7,7,7,1,"1,88",34,10,11,13,3,0,0
29.11.2020,Antalyaspor,Ev Sahibi,2,1,2,0,Berabere,%49,47,14,16,3,1,408,325,"%79,7",11,2,11,4,6,1,0,"1,65",16,16,16,13,3,0,0
5.12.2020,Konyaspor,Deplasman,0,0,2,1,Mağlup,%35,34,7,14,1,9,321,249,"%77,6",21,3,10,3,5,2,0,"0,50",8,14,18,15,1,0,1
9.12.2020,Hatayspor,Deplasman,0,0,3,1,Mağlup,%54,54,16,11,2,6,378,285,"%75,4",29,10,14,4,8,2,0,"1,27",21,11,10,16,3,0,0
13.12.2020,Gençlerbirliği,Ev Sahibi,0,0,1,0,Mağlup,%52,52,17,14,1,6,343,274,"%79,9",33,6,14,4,9,1,0,"0,88",14,14,15,16,2,0,0
20.12.2020,Beşiktaş,Deplasman,0,0,4,0,Mağlup,%39,42,9,20,1,6,323,236,"%73,1",13,0,8,4,1,3,0,"0,62",9,20,22,18,2,0,0
23.12.2020,Denizlispor,Ev Sahibi,1,0,2,1,Mağlup,%68,45,10,7,1,12,472,406,"%86,0",44,8,13,6,5,2,2,"1,28",18,7,9,8,4,0,1
27.12.2020,Yeni Malatyaspor,Deplasman,3,1,1,0,Galip,%37,60,28,12,2,3,267,173,"%64,8",7,3,10,6,3,1,0,"1,41",19,12,43,24,6,0,0
2.01.2021,Gaziantep FK,Ev Sahibi,1,0,1,0,Berabere,%52,43,12,5,6,2,355,266,"%74,9",19,4,5,1,4,0,1,"1,29",12,5,18,14,4,0,0
6.01.2021,Başakşehir,Deplasman,0,0,1,1,Mağlup,%49,50,13,17,1,2,427,353,"%82,7",26,4,7,2,1,4,0,"0,30",15,17,12,14,1,0,0
11.01.2021,Fenerbahçe,Ev Sahibi,0,0,3,1,Mağlup,%47,49,19,19,0,6,334,250,"%74,9",22,6,13,2,8,3,1,"0,62",17,19,22,10,1,0,0
18.01.2021,Kasımpaşa,Deplasman,2,1,1,0,Galip,%45,60,22,13,4,2,346,263,"%76,0",24,9,13,6,4,3,0,"1,93",23,13,21,21,4,0,0
21.01.2021,Alanyaspor,Ev Sahibi,1,1,1,0,Berabere,%35,46,9,14,0,1,309,232,"%75,1",10,0,3,2,1,0,0,"0,50",4,14,24,16,4,0,0
31.01.2021,Ankaragücü,Ev Sahibi,1,0,0,0,Galip,%43,58,16,13,4,3,261,192,"%73,6",18,7,11,5,4,2,0,"1,43",13,13,31,26,6,1,0
3.02.2021,Sivasspor,Deplasman,0,0,0,0,Berabere,%45,61,19,21,2,5,305,229,"%75,1",17,9,9,3,5,1,1,"0,81",13,21,20,19,1,0,0
7.02.2021,Kayserispor,Ev Sahibi,1,1,1,0,Berabere,%40,61,27,4,0,1,321,234,"%72,9",13,2,7,2,4,1,0,"1,09",8,4,17,12,2,1,0
12.02.2021,Ç. Rizespor,Deplasman,2,0,0,0,Galip,%39,68,15,18,0,1,343,245,"%71,4",9,0,17,8,5,4,0,"2,25",12,18,23,15,3,0,0
21.02.2021,Hatayspor,Ev Sahibi,1,0,3,2,Mağlup,%46,42,7,15,1,3,339,289,"%85,3",25,5,15,5,2,8,0,"2,20",27,15,15,15,3,0,1
27.02.2021,Galatasaray,Deplasman,0,0,2,2,Mağlup,%34,43,12,15,3,3,279,210,"%75,3",13,4,8,3,4,1,0,"0,44",14,15,17,14,3,0,0
3.03.2021,F. Karagümrük,Ev Sahibi,2,1,2,1,Berabere,%45,57,11,17,2,3,308,234,"%76,0",21,3,14,4,8,2,1,"1,99",30,17,14,15,4,0,0
8.03.2021,Göztepe,Deplasman,1,0,3,1,Mağlup,%53,59,16,12,3,2,383,305,"%79,6",24,3,11,4,7,0,0,"1,40",11,12,14,14,3,0,1
14.03.2021,Trabzonspor,Ev Sahibi,0,0,0,0,Berabere,%49,41,13,18,0,11,365,285,"%78,1",32,3,11,3,5,3,0,"0,98",27,18,14,15,2,0,0
21.03.2021,Antalyaspor,Deplasman,1,1,3,0,Mağlup,%39,45,9,13,3,3,362,295,"%81,5",8,4,8,4,2,2,0,"1,37",14,13,18,15,3,0,0
4.04.2021,Konyaspor,Ev Sahibi,1,1,2,2,Mağlup,%57,62,13,17,1,4,450,386,"%85,8",23,5,14,2,8,4,0,"1,01",22,17,9,15,2,0,0
7.04.2021,Gençlerbirliği,Deplasman,1,0,1,1,Berabere,%73,73,20,13,0,8,578,507,"%87,7",37,7,23,5,11,7,0,"2,81",37,13,8,8,3,0,0
11.04.2021,Beşiktaş,Ev Sahibi,2,2,4,2,Mağlup,%46,64,11,12,1,3,340,255,"%75,0",21,8,12,4,6,2,0,"1,24",16,12,12,16,1,0,0
17.04.2021,Denizlispor,Deplasman,3,1,2,0,Galip,%49,40,12,11,2,4,398,323,"%81,2",16,5,13,5,5,3,0,"1,81",18,11,15,14,3,0,0
21.04.2021,Yeni Malatyaspor,Ev Sahibi,1,0,0,0,Galip,%52,51,16,6,1,2,402,340,"%84,6",23,7,15,4,8,3,1,"0,95",14,6,15,16,1,0,0
25.04.2021,Gaziantep FK,Deplasman,3,0,2,0,Galip,%36,45,22,14,0,5,310,229,"%73,9",17,6,13,6,2,5,0,"1,93",16,14,36,14,3,0,0
29.04.2021,Başakşehir,Ev Sahibi,1,1,2,0,Mağlup,%44,33,13,7,2,5,379,320,"%84,4",22,7,21,5,9,7,1,"1,41",18,7,5,11,2,0,0
3.05.2021,Fenerbahçe,Deplasman,1,0,3,3,Mağlup,%40,44,12,14,1,5,413,364,"%88,1",30,10,11,2,6,3,0,"0,57",25,14,12,12,3,0,0
8.05.2021,Kasımpaşa,Ev Sahibi,0,0,1,0,Mağlup,%58,50,23,11,3,3,428,339,"%79,2",22,6,12,2,9,1,0,"1,72",18,11,20,8,0,0,1
11.05.2021,Alanyaspor,Deplasman,3,1,2,2,Galip,%37,44,8,17,3,2,322,266,"%82,6",20,5,10,6,1,3,0,"0,99",8,17,22,11,1,0,0
12.08.2018,Konyaspor,Deplasman,2,1,3,2,Mağlup,%48,49,17,10,1,7,331,219,"%66,2",24,7,11,4,2,5,0,"1,47",16,10,26,16,2,0,0
19.08.2018,Beşiktaş,Ev Sahibi,1,1,3,0,Mağlup,%41,40,14,18,2,10,275,185,"%67,3",25,1,11,3,5,3,1,"0,58",21,18,22,13,0,0,0
24.08.2018,Ç. Rizespor,Deplasman,0,0,0,0,Berabere,%38,46,17,6,2,7,289,204,"%70,6",27,8,11,3,3,5,0,"0,75",20,6,24,20,1,0,0
2.09.2018,Başakşehir,Ev Sahibi,0,0,1,1,Mağlup,%50,42,14,6,0,8,442,360,"%81,4",28,6,16,3,9,4,0,"0,75",19,6,5,13,3,0,0
16.09.2018,Sivasspor,Deplasman,2,1,2,1,Berabere,%41,62,18,15,1,2,362,273,"%75,4",13,4,11,5,4,2,0,"1,98",19,15,16,11,2,0,0
21.09.2018,Ankaragücü,Ev Sahibi,0,0,1,0,Mağlup,%68,58,21,12,1,12,516,437,"%84,7",50,10,27,8,11,8,0,"1,76",32,12,4,14,3,0,0
28.09.2018,Galatasaray,Deplasman,0,0,1,0,Mağlup,%40,41,9,7,4,6,348,259,"%74,4",13,5,10,1,5,4,0,"0,59",13,7,21,12,2,0,0
6.10.2018,Alanyaspor,Ev Sahibi,1,0,0,0,Galip,%58,56,17,21,3,6,439,331,"%75,4",20,3,14,4,9,1,2,"0,92",17,21,14,10,2,0,0
22.10.2018,Trabzonspor,Deplasman,0,0,0,0,Berabere,%45,59,20,10,3,5,361,268,"%74,2",13,3,10,4,3,3,0,"0,63",25,10,27,14,3,0,0
27.10.2018,Kasımpaşa,Ev Sahibi,1,1,1,0,Berabere,%47,59,22,13,0,6,294,199,"%67,7",17,3,14,5,7,2,0,"1,11",16,13,28,18,3,1,0
3.11.2018,Akhisarspor,Deplasman,1,1,1,1,Berabere,%49,48,12,13,1,2,473,382,"%80,8",11,0,5,1,1,3,0,"0,17",4,13,20,17,1,0,0
10.11.2018,Göztepe,Ev Sahibi,2,1,1,0,Galip,%39,46,10,19,0,2,330,246,"%74,5",6,3,7,4,3,0,0,"0,82",11,19,23,14,2,0,0
24.11.2018,Antalyaspor,Ev Sahibi,1,0,0,0,Galip,%62,41,11,7,2,7,524,443,"%84,5",19,5,13,1,8,4,2,"1,19",17,7,14,12,3,0,0
2.12.2018,Bursaspor,Deplasman,1,1,2,1,Mağlup,%46,67,22,8,2,3,440,327,"%74,3",13,6,8,1,5,2,0,"0,36",12,8,11,13,1,0,0
9.12.2018,Yeni Malatyaspor,Ev Sahibi,1,1,3,0,Mağlup,%53,65,16,11,2,9,403,320,"%79,4",17,4,15,5,7,3,0,"2,36",19,11,23,10,0,0,0
17.12.2018,Fenerbahçe,Deplasman,2,0,2,2,Berabere,%44,48,15,9,1,1,459,367,"%80,0",11,0,6,3,2,1,0,"0,29",8,9,24,17,3,0,0
23.12.2018,Kayserispor,Ev Sahibi,1,1,1,1,Berabere,%60,45,18,6,0,5,500,420,"%84,0",27,9,20,5,10,5,0,"1,47",14,6,10,14,2,0,0
19.01.2019,Konyaspor,Ev Sahibi,1,0,2,1,Mağlup,%66,52,23,5,2,8,526,413,"%78,5",28,5,15,3,8,4,1,"0,72",24,5,7,12,3,0,0
25.01.2019,Beşiktaş,Deplasman,1,0,1,0,Berabere,%37,60,17,9,0,2,306,209,"%68,3",14,3,9,3,3,3,0,"0,43",10,9,41,14,4,0,0
3.02.2019,Ç. Rizespor,Ev Sahibi,0,0,1,0,Mağlup,%52,52,20,16,1,17,362,285,"%78,7",38,6,10,2,2,6,0,"0,40",23,16,8,15,1,0,0
9.02.2019,Başakşehir,Deplasman,1,0,1,1,Berabere,%46,59,18,14,2,6,392,302,"%77,0",19,4,15,2,12,1,0,"0,89",23,14,16,12,1,0,0
17.02.2019,Sivasspor,Ev Sahibi,4,2,2,1,Galip,%45,59,18,19,1,2,330,246,"%74,5",13,2,12,6,3,3,0,"2,51",19,19,12,16,2,0,0
24.02.2019,Ankaragücü,Deplasman,1,0,2,1,Mağlup,%46,63,23,15,2,6,357,261,"%73,1",17,5,14,6,3,5,0,"0,80",15,15,13,12,1,1,0
3.03.2019,Galatasaray,Ev Sahibi,1,1,1,0,Berabere,%47,37,10,12,4,6,330,250,"%75,8",22,4,18,6,7,5,0,"1,37",22,12,25,11,0,0,0
10.03.2019,Alanyaspor,Deplasman,1,0,2,1,Mağlup,%47,52,19,8,0,2,377,278,"%73,7",10,2,6,3,2,1,0,"1,30",14,8,22,21,2,0,0
