Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
14.08.2015,Fenerbahçe,Deplasman,0,0,2,2,Mağlup,%44,47,10,14,5,2,400,299,"%74,8",7,0,8,2,4,2,0,0,9,14,17,13,3,1,0
23.08.2015,Sivasspor,Ev Sahibi,4,2,2,0,Galip,%40,48,6,17,3,2,331,253,"%76,4",7,1,11,6,4,1,0,0,12,17,14,20,2,0,0
30.08.2015,Ç. Rizespor,Ev Sahibi,1,0,1,0,Berabere,%59,53,11,14,4,5,447,363,"%81,2",22,5,23,6,8,9,0,0,18,14,9,10,3,0,0
12.09.2015,Antalyaspor,Deplasman,0,0,2,0,Mağlup,%52,49,11,13,0,4,317,230,"%72,6",25,4,10,4,4,2,0,0,10,13,25,21,2,0,0
19.09.2015,Kasımpaşa,Ev Sahibi,0,0,3,1,Mağlup,%53,54,11,10,2,9,386,296,"%76,7",26,4,15,2,8,5,0,0,14,10,18,10,3,0,0
28.09.2015,Bursaspor,Deplasman,0,0,2,0,Mağlup,%34,47,10,14,3,5,238,141,"%59,2",14,2,8,3,4,1,0,0,14,14,12,18,2,0,0
4.10.2015,Beşiktaş,Ev Sahibi,1,0,2,1,Mağlup,%43,65,13,23,1,2,379,291,"%76,8",10,2,10,4,6,0,1,0,12,23,14,18,3,0,0
18.10.2015,Akhisarspor,Deplasman,0,0,1,0,Mağlup,%50,54,18,29,2,3,463,353,"%76,2",19,2,11,0,6,5,0,0,13,29,16,13,1,0,0
23.10.2015,Kayserispor,Ev Sahibi,1,1,3,2,Mağlup,%62,60,13,10,4,8,468,387,"%82,7",43,12,14,4,8,2,1,0,17,10,1,18,3,0,0
29.10.2015,Galatasaray,Deplasman,0,0,4,3,Mağlup,%46,30,8,20,4,5,418,353,"%84,4",18,3,10,0,8,2,2,0,12,20,8,19,4,0,0
6.11.2015,Sincan Bld Ankaraspor,Ev Sahibi,0,0,2,2,Mağlup,%61,59,18,20,2,3,503,396,"%78,7",24,4,12,1,6,5,1,0,14,20,12,21,2,0,0
22.11.2015,Konyaspor,Deplasman,2,1,3,0,Mağlup,%39,54,5,26,0,4,331,221,"%66,8",14,4,10,6,3,1,0,0,10,26,14,18,3,0,0
28.11.2015,Mersin İ.Y.,Ev Sahibi,3,2,2,0,Galip,%45,44,13,24,3,5,369,281,"%76,2",25,7,13,6,6,1,1,0,19,24,24,15,3,0,0
7.12.2015,Trabzonspor,Deplasman,1,0,3,1,Mağlup,%53,43,6,21,4,2,492,403,"%81,9",17,1,7,3,2,2,0,0,6,21,24,12,5,1,0
12.12.2015,Gaziantepspor,Ev Sahibi,1,0,2,1,Mağlup,%57,68,25,7,4,8,429,328,"%76,5",28,5,16,5,7,4,0,0,27,7,10,15,1,0,0
20.12.2015,Başakşehir,Deplasman,1,1,2,0,Mağlup,%32,47,8,26,1,2,288,199,"%69,1",5,0,9,4,4,1,0,0,8,26,30,16,4,0,0
28.12.2015,Gençlerbirliği,Ev Sahibi,2,2,0,0,Galip,%30,51,16,30,2,3,226,133,"%58,8",10,2,6,2,2,2,0,0,3,30,46,14,4,0,1
18.01.2016,Fenerbahçe,Ev Sahibi,0,0,3,1,Mağlup,%42,48,7,16,1,3,336,250,"%74,4",21,2,6,2,3,1,0,0,11,16,21,14,4,1,0
24.01.2016,Sivasspor,Deplasman,2,1,1,0,Galip,%31,45,15,30,0,4,240,158,"%65,8",12,1,13,6,4,3,0,0,9,30,36,13,5,0,0
7.02.2016,Ç. Rizespor,Deplasman,1,1,1,0,Berabere,%41,48,12,27,1,2,388,282,"%72,7",7,0,5,3,1,1,0,0,6,27,19,8,4,0,0
