Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
11.08.2024,Alanyaspor,Deplasman,1,0,1,0,Berabere,%38,36,9,10,4,1,344,293,"%85,2",8,2,6,2,3,1,1,"0,41",9,10,25,12,1,0,0
19.08.2024,Bodrum FK,Ev Sahibi,4,0,1,1,Galip,%64,54,16,4,3,3,501,420,"%83,8",13,4,15,8,2,5,0,"2,28",18,4,20,8,1,0,0
24.08.2024,Sivasspor,Deplasman,1,1,0,0,Galip,%54,55,12,10,4,4,434,363,"%83,6",12,2,12,3,8,1,1,"1,13",17,10,13,15,3,0,0
1.09.2024,Trabzonspor,Ev Sahibi,0,0,0,0,Berabere,%48,51,6,11,2,3,417,355,"%85,1",11,4,12,6,3,3,0,"0,91",21,11,20,10,3,0,0
15.09.2024,Kayserispor,Deplasman,2,2,2,0,Berabere,%40,42,13,8,1,8,325,264,"%81,2",19,6,15,8,4,3,1,"2,74",21,8,22,10,2,0,0
22.09.2024,Beşiktaş,Deplasman,1,0,2,1,Mağlup,%38,51,13,13,1,4,302,214,"%70,9",11,7,11,4,4,3,0,"2,02",29,13,27,14,4,0,0
29.09.2024,Gaziantep FK,Ev Sahibi,3,1,2,1,Galip,%63,49,20,9,3,5,493,404,"%81,9",20,6,11,5,5,1,1,"1,89",23,9,16,16,1,0,0
6.10.2024,Konyaspor,Deplasman,1,0,2,0,Mağlup,%71,39,8,5,2,2,576,509,"%88,4",16,2,9,5,1,3,0,"0,66",17,5,17,10,2,0,0
19.10.2024,Göztepe,Ev Sahibi,1,1,0,0,Galip,%53,70,18,6,3,4,394,290,"%73,6",16,4,10,6,4,0,0,"1,23",22,6,24,13,0,0,0
28.10.2024,Başakşehir,Deplasman,1,1,1,0,Berabere,%36,53,18,10,0,5,294,229,"%77,9",9,3,9,3,3,3,0,"0,53",12,10,36,11,1,0,0
3.11.2024,Hatayspor,Ev Sahibi,2,1,0,0,Galip,%53,64,16,16,2,3,442,366,"%82,8",4,3,9,4,1,4,0,"1,60",18,16,22,16,3,0,0
9.11.2024,Adana Demirspor,Deplasman,1,1,0,0,Galip,%56,60,17,5,3,2,463,389,"%84,0",6,2,6,1,2,3,1,"0,75",14,5,36,20,3,0,0
23.11.2024,Ç. Rizespor,Ev Sahibi,1,1,2,0,Mağlup,%47,63,11,6,1,5,348,275,"%79,0",17,2,15,6,6,3,0,"1,04",17,6,15,10,5,0,0
1.12.2024,Galatasaray,Deplasman,2,1,2,1,Berabere,%34,48,12,14,2,1,238,154,"%64,7",8,3,5,4,1,0,0,"1,51",15,14,40,22,4,0,0
8.12.2024,Samsunspor,Ev Sahibi,3,0,0,0,Galip,%58,39,5,7,3,5,394,330,"%83,8",22,6,15,5,8,2,2,"1,79",15,7,8,14,2,0,0
13.12.2024,Kasımpaşa,Deplasman,0,0,2,0,Mağlup,%54,48,17,11,2,6,418,339,"%81,1",13,2,9,3,3,3,0,"0,84",12,11,18,12,2,0,0
20.12.2024,Fenerbahçe,Ev Sahibi,1,1,1,1,Berabere,%42,56,17,7,3,3,322,232,"%72,0",14,2,13,3,5,5,0,"1,34",17,7,42,12,6,0,0
4.01.2025,Antalyaspor,Deplasman,4,3,1,0,Galip,%48,53,11,11,3,4,421,348,"%82,7",10,4,15,6,6,3,1,"3,25",26,11,29,5,3,0,0
