Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
14.08.2023,Beşiktaş,Ev Sahibi,0,0,1,0,Mağlup,%35,38,8,2,3,4,311,239,"%76,8",7,2,4,0,3,1,0,"0,18",6,2,14,14,4,0,0
20.08.2023,Başakşehir,Deplasman,2,2,0,0,Galip,%38,42,11,11,0,4,355,287,"%80,8",11,5,12,3,5,4,1,"0,65",16,11,20,14,4,0,0
27.08.2023,Ankaragücü,Ev Sahibi,1,1,1,0,Berabere,%47,27,5,10,0,3,486,430,"%88,5",19,5,6,2,3,1,0,"0,57",13,10,18,15,1,0,0
1.09.2023,Ç. Rizespor,Deplasman,0,0,1,1,Mağlup,%55,59,19,8,0,6,413,297,"%71,9",28,10,20,3,6,11,0,"0,97",22,8,9,17,2,0,0
18.09.2023,Hatayspor,Ev Sahibi,0,0,0,0,Berabere,%45,38,11,5,3,3,412,334,"%81,1",22,3,5,2,3,0,0,"0,17",15,5,15,15,3,0,0
23.09.2023,Pendikspor,Deplasman,1,0,1,1,Berabere,%54,45,7,9,3,4,520,436,"%83,8",18,5,12,4,6,2,1,"2,09",34,9,12,11,1,0,0
1.10.2023,Kasımpaşa,Ev Sahibi,2,1,3,3,Mağlup,%73,39,11,11,2,8,651,575,"%88,3",43,9,15,5,8,2,1,"1,23",33,11,2,9,3,0,0
6.10.2023,Alanyaspor,Deplasman,1,0,2,1,Mağlup,%57,46,5,18,1,6,505,420,"%83,2",28,7,13,4,6,3,0,"1,18",20,18,7,15,1,0,0
23.10.2023,Adana Demirspor,Ev Sahibi,2,0,0,0,Galip,%44,38,9,19,1,5,392,303,"%77,3",9,1,11,6,4,1,0,"1,58",22,19,10,19,0,0,0
29.10.2023,Trabzonspor,Ev Sahibi,0,0,0,0,Berabere,%45,44,13,8,4,6,364,265,"%72,8",18,5,8,4,3,1,0,"0,43",12,8,19,7,2,0,0
5.11.2023,Konyaspor,Deplasman,1,0,1,0,Berabere,%46,40,14,8,1,8,374,286,"%76,5",19,5,10,2,6,2,0,"1,20",22,8,19,20,5,0,0
11.11.2023,Sivasspor,Ev Sahibi,3,1,0,0,Galip,%48,32,7,3,1,5,446,353,"%79,1",11,4,13,7,2,4,1,"1,91",26,3,16,16,2,0,0
26.11.2023,Fenerbahçe,Deplasman,1,1,2,0,Mağlup,%46,62,9,10,1,2,413,324,"%78,5",8,1,9,2,5,2,0,"0,66",9,10,11,16,4,0,0
1.12.2023,İstanbulspor,Ev Sahibi,3,1,0,0,Galip,%53,41,6,5,6,3,481,391,"%81,3",10,3,17,5,9,3,2,"1,88",28,5,17,12,3,0,0
9.12.2023,Antalyaspor,Deplasman,1,1,2,2,Mağlup,%67,53,13,8,3,4,567,480,"%84,7",31,8,15,2,7,6,0,"0,91",25,8,12,17,7,0,0
20.12.2023,Galatasaray,Deplasman,0,0,1,1,Mağlup,%46,56,19,13,2,4,393,290,"%73,8",18,4,7,2,2,3,0,"0,37",21,13,33,11,3,0,0
23.12.2023,Gaziantep FK,Ev Sahibi,0,0,3,1,Mağlup,%68,38,16,6,3,2,625,542,"%86,7",30,10,8,3,5,0,0,"1,19",17,6,12,15,3,0,0
6.01.2024,Samsunspor,Deplasman,0,0,1,0,Mağlup,%55,50,12,12,2,5,435,328,"%75,4",19,1,7,1,4,2,0,"0,28",14,12,19,14,3,0,0
10.01.2024,Kayserispor,Ev Sahibi,4,3,1,1,Galip,%40,48,9,13,2,5,360,278,"%77,2",16,2,15,10,2,3,1,"1,27",25,13,12,10,0,0,0
13.01.2024,Beşiktaş,Deplasman,0,0,3,0,Mağlup,%56,50,10,5,0,4,453,364,"%80,4",24,4,9,3,2,4,0,"0,38",17,5,19,9,0,0,0
20.01.2024,Başakşehir,Ev Sahibi,1,0,1,1,Berabere,%44,42,13,6,0,4,357,273,"%76,5",18,4,15,6,5,4,0,"0,95",14,6,17,16,2,1,0
24.01.2024,Ankaragücü,Deplasman,0,0,2,1,Mağlup,%61,39,9,7,0,9,545,446,"%81,8",30,6,11,4,5,2,0,"0,41",18,7,16,9,3,0,0
28.01.2024,Ç. Rizespor,Ev Sahibi,4,1,0,0,Galip,%55,49,8,10,1,5,455,380,"%83,5",15,2,17,5,7,5,0,"1,65",20,10,21,13,2,0,0
2.02.2024,Hatayspor,Deplasman,1,0,3,1,Mağlup,%61,40,11,7,0,5,459,400,"%87,1",25,7,17,4,6,7,0,"1,92",30,7,18,7,2,0,0
10.02.2024,Pendikspor,Ev Sahibi,2,1,0,0,Galip,%56,58,18,11,5,6,454,334,"%73,6",6,1,12,6,1,5,0,"1,59",13,11,34,11,1,0,0
16.02.2024,Kasımpaşa,Deplasman,1,1,1,1,Berabere,%59,57,7,10,0,11,452,364,"%80,5",29,10,18,4,8,6,0,"1,48",31,10,11,13,2,0,0
25.02.2024,Alanyaspor,Ev Sahibi,1,1,1,0,Berabere,%32,39,8,15,1,1,319,241,"%75,5",4,1,6,1,4,1,0,"1,01",7,15,41,10,3,0,1
4.03.2024,Adana Demirspor,Deplasman,0,0,1,1,Mağlup,%53,55,10,9,1,7,369,301,"%81,6",17,4,12,1,7,4,1,"0,84",19,9,21,12,4,0,1
9.03.2024,Trabzonspor,Deplasman,1,1,5,1,Mağlup,%33,28,7,10,0,2,303,243,"%80,2",9,3,6,2,3,1,1,"0,29",11,10,25,13,3,0,0
15.03.2024,Konyaspor,Ev Sahibi,1,0,1,1,Berabere,%58,44,23,9,1,9,515,414,"%80,4",32,5,14,6,5,3,0,"0,88",19,9,18,12,2,0,0
3.04.2024,Sivasspor,Deplasman,0,0,1,0,Mağlup,%50,48,6,4,0,7,389,318,"%81,7",21,2,18,5,7,6,1,"1,66",31,4,16,13,4,0,0
14.04.2024,Fenerbahçe,Ev Sahibi,1,1,2,0,Mağlup,%45,42,13,10,3,3,379,291,"%76,8",6,1,11,7,3,1,0,"0,92",12,10,15,11,4,1,1
20.04.2024,İstanbulspor,Deplasman,2,0,1,0,Galip,%58,56,17,12,2,7,468,402,"%85,9",34,11,24,7,9,8,0,"3,56",43,12,22,15,3,0,0
29.04.2024,Antalyaspor,Ev Sahibi,4,1,1,0,Galip,%33,41,11,6,3,1,322,255,"%79,2",7,3,16,8,6,2,0,"1,72",22,6,12,14,1,0,0
4.05.2024,Kayserispor,Deplasman,2,0,2,1,Berabere,%50,48,9,6,3,3,406,326,"%80,3",18,7,13,5,8,0,0,"1,79",19,6,16,7,3,0,1
12.05.2024,Galatasaray,Ev Sahibi,2,1,3,1,Mağlup,%35,39,16,8,2,5,293,215,"%73,4",18,4,15,5,10,0,0,"1,08",21,8,37,11,0,0,0
18.05.2024,Gaziantep FK,Deplasman,1,0,3,0,Mağlup,%55,49,18,10,0,12,384,300,"%78,1",30,4,6,2,3,1,0,"0,30",18,10,27,8,2,0,1
25.05.2024,Samsunspor,Ev Sahibi,3,1,1,0,Galip,%39,43,6,7,3,2,339,265,"%78,2",9,2,14,7,7,0,0,"2,09",24,7,20,12,2,0,0
