Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.08.2023,Gaziantep FK,Ev Sahibi,2,2,1,1,Galip,%70,56,14,4,2,3,587,513,"%87,4",18,6,20,5,11,4,1,"3,96",42,4,11,13,0,0,0
21.08.2023,Samsunspor,Deplasman,2,0,0,0,Galip,%60,56,22,10,4,5,469,395,"%84,2",18,7,14,6,5,3,0,"1,70",21,10,13,10,1,0,0
3.09.2023,Ankaragücü,Deplasman,1,0,0,0,Galip,%49,52,11,4,0,2,398,326,"%81,9",14,7,14,2,8,4,0,"1,48",30,4,28,14,2,1,0
17.09.2023,Antalyaspor,Ev Sahibi,3,1,2,1,Galip,%60,53,20,6,1,7,467,397,"%85,0",24,10,17,10,3,4,1,"2,12",36,6,18,12,3,0,0
24.09.2023,Alanyaspor,Deplasman,1,1,0,0,Galip,%57,52,15,15,0,5,482,392,"%81,3",17,5,15,7,5,3,0,"1,42",31,15,17,14,6,0,0
28.09.2023,Başakşehir,Ev Sahibi,4,3,0,0,Galip,%58,43,6,13,2,14,504,422,"%83,7",25,6,16,8,4,4,0,"2,44",40,13,8,22,4,0,0
1.10.2023,Ç. Rizespor,Ev Sahibi,5,1,0,0,Galip,%66,59,8,12,1,8,621,546,"%87,9",23,4,23,11,8,4,1,"4,37",64,12,4,10,1,0,0
8.10.2023,Kasımpaşa,Deplasman,2,2,0,0,Galip,%62,46,13,15,2,8,577,477,"%82,7",36,10,22,7,12,3,0,"4,08",47,15,15,12,0,0,0
22.10.2023,Hatayspor,Ev Sahibi,4,3,2,0,Galip,%55,52,6,10,1,7,387,309,"%79,8",11,4,16,6,8,2,0,"1,88",36,10,13,10,1,0,0
29.10.2023,Pendikspor,Deplasman,5,2,0,0,Galip,%62,38,9,12,2,7,563,497,"%88,3",16,5,21,12,5,4,0,"3,41",47,12,4,11,2,0,0
4.11.2023,Trabzonspor,Ev Sahibi,2,0,3,1,Mağlup,%65,64,13,2,0,10,494,415,"%84,0",28,9,15,4,5,6,0,"2,53",45,2,7,14,5,1,0
12.11.2023,Adana Demirspor,Deplasman,0,0,0,0,Berabere,%43,50,18,18,2,5,365,283,"%77,5",17,2,18,8,6,4,0,"1,05",28,18,12,16,3,0,0
26.11.2023,F. Karagümrük,Ev Sahibi,2,0,1,1,Galip,%54,67,14,11,2,1,490,399,"%81,4",7,2,9,3,5,1,1,"2,32",23,11,15,20,5,0,0
4.12.2023,Sivasspor,Ev Sahibi,4,2,1,0,Galip,%49,38,7,10,2,4,428,340,"%79,4",11,3,9,5,2,2,0,"1,27",28,10,19,18,1,0,0
9.12.2023,Beşiktaş,Deplasman,3,1,1,1,Galip,%54,54,9,14,3,6,439,350,"%79,7",16,4,21,9,10,2,1,"3,98",42,14,10,14,4,0,0
20.12.2023,Kayserispor,Deplasman,4,2,3,1,Galip,%49,58,17,14,1,3,364,269,"%73,9",12,2,13,6,4,3,0,"1,81",12,14,18,11,4,1,1
24.12.2023,Galatasaray,Ev Sahibi,0,0,0,0,Berabere,%46,69,20,15,1,2,282,192,"%68,1",17,5,5,0,5,0,0,"0,39",18,15,23,19,3,0,0
7.01.2024,İstanbulspor,Deplasman,5,4,1,1,Galip,%53,50,10,11,2,8,475,393,"%82,7",14,4,25,14,7,4,1,"3,02",35,11,15,13,1,0,0
10.01.2024,Konyaspor,Ev Sahibi,7,5,1,0,Galip,%67,46,12,13,3,7,575,500,"%87,0",13,2,17,11,6,0,0,"5,16",26,13,6,14,1,0,0
14.01.2024,Gaziantep FK,Deplasman,1,0,0,0,Galip,%64,51,17,9,2,10,499,410,"%82,2",32,10,20,6,9,5,1,"2,62",44,9,15,8,2,0,0
21.01.2024,Samsunspor,Ev Sahibi,1,1,1,0,Berabere,%66,53,15,10,3,8,549,450,"%82,0",32,12,24,7,12,5,0,"2,54",41,10,10,7,1,0,0
24.01.2024,Başakşehir,Deplasman,1,0,0,0,Galip,%66,55,21,9,0,7,596,505,"%84,7",32,7,28,7,13,8,1,"3,03",72,9,10,14,4,0,0
28.01.2024,Ankaragücü,Ev Sahibi,2,2,1,1,Galip,%62,53,14,8,2,9,557,473,"%84,9",30,5,22,10,8,4,0,"1,88",39,8,6,17,0,0,0
3.02.2024,Antalyaspor,Deplasman,2,1,0,0,Galip,%46,55,16,12,4,7,368,280,"%76,1",21,4,15,7,6,2,0,"1,48",29,12,24,17,0,0,0
11.02.2024,Alanyaspor,Ev Sahibi,2,0,2,1,Berabere,%64,51,17,11,4,9,576,477,"%82,8",30,8,23,8,5,10,1,"1,91",53,11,3,11,3,0,0
17.02.2024,Ç. Rizespor,Deplasman,3,0,1,1,Galip,%45,63,21,6,1,6,315,198,"%62,9",16,5,13,5,6,2,0,"1,64",19,6,37,18,2,0,0
24.02.2024,Kasımpaşa,Ev Sahibi,2,0,1,0,Galip,%64,80,28,8,2,4,471,352,"%74,7",26,6,17,5,11,1,0,"3,44",32,8,15,10,2,0,0
2.03.2024,Hatayspor,Deplasman,2,2,0,0,Galip,%51,45,16,0,2,4,392,307,"%78,3",13,2,14,6,4,4,0,"2,11",25,0,18,14,5,0,0
10.03.2024,Pendikspor,Ev Sahibi,4,0,1,1,Galip,%67,65,14,10,3,8,500,413,"%82,6",36,14,22,6,9,7,1,"2,71",45,10,7,17,6,0,0
17.03.2024,Trabzonspor,Deplasman,3,2,2,0,Galip,%42,48,14,10,1,2,327,257,"%78,6",11,3,7,5,2,0,0,"0,91",14,10,25,18,4,0,0
3.04.2024,Adana Demirspor,Ev Sahibi,4,1,2,1,Galip,%58,51,16,6,3,4,441,355,"%80,5",20,9,22,4,14,4,2,"3,11",37,6,13,17,2,0,0
14.04.2024,F. Karagümrük,Deplasman,2,0,1,1,Galip,%55,50,17,5,4,6,452,352,"%77,9",13,8,16,7,8,1,0,"2,38",39,5,14,14,3,0,0
22.04.2024,Sivasspor,Deplasman,2,1,2,0,Berabere,%64,43,11,6,4,2,653,568,"%87,0",14,5,15,6,4,5,0,"1,15",40,6,12,11,1,0,0
27.04.2024,Beşiktaş,Ev Sahibi,2,1,1,0,Galip,%65,63,15,10,4,4,506,448,"%88,5",14,4,16,7,6,3,0,"0,98",39,10,15,14,1,0,0
6.05.2024,Konyaspor,Deplasman,0,0,0,0,Berabere,%70,62,19,9,1,11,578,484,"%83,7",42,11,21,7,8,6,0,"2,38",40,9,9,8,1,0,0
12.05.2024,Kayserispor,Ev Sahibi,3,2,0,0,Galip,%50,52,12,9,3,7,410,301,"%73,4",17,4,25,15,6,4,0,"2,12",44,9,11,12,1,0,0
19.05.2024,Galatasaray,Deplasman,1,0,0,0,Galip,%31,43,9,6,3,5,207,134,"%64,7",15,2,11,1,8,2,0,"1,41",10,6,18,10,6,1,0
26.05.2024,İstanbulspor,Ev Sahibi,6,3,0,0,Galip,%54,50,13,10,2,4,468,397,"%84,8",16,6,26,15,8,3,1,"5,04",45,10,13,12,2,0,0
8.08.2022,Ümraniyespor,Ev Sahibi,3,2,3,1,Berabere,%53,63,17,11,2,5,318,239,"%75,2",21,5,17,6,5,6,1,"2,41",27,11,19,14,7,0,0
15.08.2022,Kasımpaşa,Deplasman,6,3,0,0,Galip,%72,66,19,10,1,8,556,476,"%85,6",15,6,24,9,13,2,1,"3,83",39,10,4,10,1,0,0
22.08.2022,Adana Demirspor,Ev Sahibi,4,2,2,0,Galip,%49,39,7,14,1,2,359,299,"%83,3",14,4,11,7,3,1,0,"1,93",18,14,16,15,3,0,0
29.08.2022,Konyaspor,Deplasman,0,0,1,0,Mağlup,%46,30,5,6,1,2,422,361,"%85,5",11,4,8,2,5,1,0,"0,57",8,6,8,4,0,0,1
3.09.2022,Kayserispor,Ev Sahibi,2,1,0,0,Galip,%54,52,13,13,1,3,445,375,"%84,3",21,3,17,4,9,4,1,"1,55",28,13,4,19,2,0,0
18.09.2022,Alanyaspor,Ev Sahibi,5,3,0,0,Galip,%60,55,10,11,0,12,518,445,"%85,9",18,5,17,11,3,3,0,"3,65",43,11,7,14,0,0,0
02.10.2022,Beşiktaş,Deplasman,0,0,0,0,Berabere,%52,60,21,3,4,4,417,311,"%74,6",9,2,8,2,2,4,0,"0,64",14,3,11,16,2,0,0
9.10.2022,F. Karagümrük,Ev Sahibi,5,2,4,2,Galip,%54,51,17,8,1,3,399,311,"%77,9",16,2,16,9,2,5,1,"2,85",26,8,11,17,1,0,0
17.10.2022,Ankaragücü,Deplasman,3,2,0,0,Galip,%46,49,13,10,0,2,401,324,"%80,8",10,2,10,5,4,1,0,"2,12",19,10,20,15,1,0,0
22.10.2022,Başakşehir,Ev Sahibi,1,0,0,0,Galip,%57,65,20,9,3,6,445,349,"%78,4",18,6,14,3,6,5,0,"0,65",29,9,8,19,1,0,0
30.10.2022,İstanbulspor,Deplasman,5,2,2,0,Galip,%63,46,12,6,0,2,621,526,"%84,7",9,3,13,7,5,1,0,"2,43",33,6,10,12,1,0,0
7.11.2022,Sivasspor,Ev Sahibi,1,0,0,0,Galip,%51,58,20,2,0,2,374,305,"%81,6",11,4,12,3,7,2,0,"1,61",16,2,15,18,6,1,0
12.11.2022,Giresunspor,Ev Sahibi,1,1,2,0,Mağlup,%50,68,24,12,1,6,357,275,"%77,0",10,2,14,2,9,3,0,"1,38",22,12,6,16,1,1,0
24.12.2022,Trabzonspor,Deplasman,0,0,2,0,Mağlup,%47,59,20,14,3,2,358,259,"%72,3",11,2,8,0,5,3,1,"0,53",13,14,30,19,4,1,0
27.12.2022,Hatayspor,Ev Sahibi,4,2,0,0,Galip,%66,42,5,11,3,12,568,509,"%89,6",20,8,25,15,4,6,1,"3,98",43,11,5,9,3,0,0
3.01.2023,Antalyaspor,Deplasman,2,0,1,1,Galip,%64,63,23,5,3,8,443,350,"%79,0",21,7,18,4,8,6,3,"3,19",34,5,11,17,2,0,0
8.01.2023,Galatasaray,Ev Sahibi,0,0,3,1,Mağlup,%63,61,13,5,2,8,484,381,"%78,7",22,4,13,4,7,2,0,"0,66",29,5,11,10,3,0,1
15.01.2023,Gaziantep FK,Deplasman,2,1,1,0,Galip,%69,57,11,7,4,11,520,436,"%83,8",25,8,21,6,5,10,0,"3,35",46,7,14,17,3,0,0
23.01.2023,Ümraniyespor,Deplasman,2,0,1,0,Galip,%68,69,24,12,2,6,632,529,"%83,7",18,6,22,7,7,8,0,"2,23",36,12,14,15,4,0,0
29.01.2023,Kasımpaşa,Ev Sahibi,5,2,1,1,Galip,%63,70,11,12,1,6,561,472,"%84,1",17,6,22,11,7,4,2,"3,03",27,12,18,16,2,0,0
2.02.2023,Adana Demirspor,Deplasman,1,0,1,0,Berabere,%63,54,15,11,4,10,530,437,"%82,5",27,12,25,5,10,10,0,"2,55",46,11,14,18,3,0,0
25.02.2023,Konyaspor,Ev Sahibi,4,2,0,0,Galip,%71,60,13,8,0,3,650,590,"%90,8",33,6,14,5,7,2,0,"2,80",38,8,6,19,1,0,0
4.03.2023,Kayserispor,Deplasman,2,1,1,0,Galip,%60,58,18,13,0,7,516,427,"%82,8",11,1,17,4,7,6,0,"1,67",26,13,17,11,1,0,0
19.03.2023,Alanyaspor,Deplasman,3,0,1,1,Galip,%71,54,13,6,4,7,642,566,"%88,2",20,5,14,5,7,2,0,"2,68",37,6,3,7,2,0,0
2.04.2023,Beşiktaş,Ev Sahibi,2,1,4,0,Mağlup,%65,72,14,8,1,8,418,344,"%82,3",26,7,22,7,11,4,1,"3,77",34,8,16,16,3,0,0
10.04.2023,F. Karagümrük,Deplasman,2,0,1,1,Galip,%64,56,11,4,2,4,653,575,"%88,1",20,3,11,4,3,4,0,"1,54",22,4,11,15,1,0,0
15.04.2023,Ankaragücü,Ev Sahibi,2,0,1,0,Galip,%69,92,25,8,3,8,578,485,"%83,9",24,7,19,9,8,2,2,"2,30",36,8,16,14,2,0,0
19.04.2023,Başakşehir,Deplasman,2,0,1,1,Galip,%66,82,21,10,2,4,603,511,"%84,7",24,4,20,5,9,6,1,"1,91",39,10,12,6,0,0,0
24.04.2023,İstanbulspor,Ev Sahibi,3,1,3,0,Berabere,%73,70,21,12,3,6,659,584,"%88,6",25,6,15,5,6,4,0,"1,89",31,12,5,14,3,0,0
29.04.2023,Sivasspor,Deplasman,3,3,1,0,Galip,%47,49,13,17,1,1,391,306,"%78,3",7,3,10,5,2,3,0,"1,26",17,17,19,21,4,0,1
7.05.2023,Giresunspor,Deplasman,1,1,1,0,Berabere,%67,63,21,9,4,11,519,450,"%86,7",21,7,18,5,6,7,0,"2,12",32,9,10,13,2,0,0
18.05.2023,Trabzonspor,Ev Sahibi,3,1,1,0,Galip,%56,69,21,9,2,9,530,445,"%84,0",15,5,14,8,4,2,0,"1,24",22,9,12,10,0,0,0
30.05.2023,Antalyaspor,Ev Sahibi,2,1,0,0,Galip,%61,64,12,8,3,8,507,437,"%86,2",15,9,15,8,5,2,0,"2,00",36,8,16,13,1,0,0
4.06.2023,Galatasaray,Deplasman,0,0,3,1,Mağlup,%48,55,19,13,2,3,354,271,"%76,6",11,2,5,0,3,2,0,"0,16",13,13,19,17,3,0,1
15.08.2021,Adana Demirspor,Deplasman,1,0,0,0,Galip,%52,48,20,11,2,5,459,371,"%80,8",11,5,13,4,7,2,1,"1,80",31,11,20,13,2,0,0
22.08.2021,Antalyaspor,Ev Sahibi,2,0,0,0,Galip,%58,61,14,8,0,13,455,376,"%82,6",28,7,21,7,10,4,0,"2,24",26,8,15,8,1,0,0
29.08.2021,Altay,Deplasman,2,0,0,0,Galip,%59,66,20,11,2,5,444,314,"%70,7",9,2,9,5,3,1,0,"1,41",19,11,13,15,1,0,0
12.09.2021,Sivasspor,Ev Sahibi,1,1,1,1,Berabere,%65,53,14,11,2,2,499,417,"%83,6",25,4,13,5,6,2,0,"0,93",28,11,12,9,2,0,0
19.09.2021,Başakşehir,Deplasman,0,0,2,1,Mağlup,%63,39,12,6,1,6,621,544,"%87,6",38,11,14,5,6,3,0,"1,63",26,6,4,10,1,0,0
23.09.2021,Giresunspor,Ev Sahibi,2,1,1,0,Galip,%51,55,20,9,1,6,486,401,"%82,5",13,2,7,4,1,2,0,"1,09",27,9,18,16,2,0,0
26.09.2021,Hatayspor,Deplasman,2,2,1,0,Galip,%34,37,15,12,1,4,278,199,"%71,6",11,4,15,6,7,2,1,"3,24",30,12,30,15,2,0,0
3.10.2021,Kasımpaşa,Ev Sahibi,2,2,1,0,Galip,%45,52,19,19,3,3,313,240,"%76,7",26,8,10,5,5,0,0,"1,23",17,19,10,20,5,0,0
17.10.2021,Trabzonspor,Deplasman,1,1,3,1,Mağlup,%27,47,7,12,1,2,239,171,"%71,5",6,1,5,4,1,0,0,"0,60",10,12,17,13,4,1,0
24.10.2021,Alanyaspor,Ev Sahibi,1,0,2,0,Mağlup,%59,39,13,11,0,9,555,489,"%88,1",47,7,20,5,7,8,0,"2,23",45,11,15,18,2,0,0
30.10.2021,Konyaspor,Deplasman,1,0,2,2,Mağlup,%61,61,13,8,2,5,483,394,"%81,6",27,5,13,4,5,4,1,"1,68",29,8,15,13,2,0,0
7.11.2021,Kayserispor,Ev Sahibi,2,0,2,1,Berabere,%70,48,10,12,1,8,603,524,"%86,9",28,6,19,5,10,4,4,"2,99",25,12,6,12,0,0,0
21.11.2021,Galatasaray,Deplasman,2,1,1,1,Galip,%42,47,12,8,1,1,349,269,"%77,1",10,3,10,6,3,1,0,"1,00",23,8,24,17,5,1,0
29.11.2021,Göztepe,Deplasman,1,0,1,1,Berabere,%59,67,16,16,2,3,487,374,"%76,8",16,3,4,2,1,1,0,"0,66",15,16,22,14,5,1,0
5.12.2021,Ç. Rizespor,Ev Sahibi,4,1,0,0,Galip,%48,40,8,16,1,5,421,350,"%83,1",19,5,16,8,6,2,1,"3,32",32,16,10,22,1,0,0
13.12.2021,Gaziantep FK,Deplasman,2,1,3,1,Mağlup,%69,61,12,11,2,5,596,501,"%84,1",29,9,14,4,7,3,0,"1,58",25,11,13,13,2,0,0
19.12.2021,Beşiktaş,Ev Sahibi,2,2,2,1,Berabere,%41,47,14,20,2,0,336,256,"%76,2",12,3,11,5,3,3,0,"1,38",21,20,19,20,2,0,0
22.12.2021,F. Karagümrük,Deplasman,1,1,1,1,Berabere,%72,46,13,9,3,5,720,650,"%90,3",38,10,29,14,8,7,0,"3,61",55,9,3,12,1,0,0
26.12.2021,Yeni Malatyaspor,Ev Sahibi,2,1,0,0,Galip,%66,40,2,13,7,3,690,623,"%90,3",10,1,17,8,5,4,0,"1,29",22,13,12,15,1,0,0
10.01.2022,Adana Demirspor,Ev Sahibi,1,1,2,1,Mağlup,%62,56,10,4,3,9,543,489,"%90,1",29,7,16,4,6,6,1,"2,20",40,4,9,17,2,0,0
15.01.2022,Antalyaspor,Deplasman,1,0,1,0,Berabere,%61,60,16,13,4,1,595,510,"%85,7",18,6,4,2,0,2,0,"0,52",14,13,12,10,1,0,0
19.01.2022,Altay,Ev Sahibi,2,1,1,1,Galip,%61,80,18,7,0,4,571,490,"%85,8",16,6,18,5,9,4,0,"1,95",34,7,13,16,2,0,0
22.01.2022,Sivasspor,Deplasman,1,1,1,0,Berabere,%52,64,21,15,1,6,365,270,"%74,0",13,2,9,3,2,4,0,"1,09",24,15,33,19,3,0,0
5.02.2022,Başakşehir,Ev Sahibi,0,0,1,0,Mağlup,%52,52,7,6,2,1,457,397,"%86,9",16,6,13,2,5,6,1,"0,86",12,6,19,17,3,0,0
12.02.2022,Giresunspor,Deplasman,2,1,1,1,Galip,%55,65,21,9,1,8,504,416,"%82,5",15,4,18,2,14,2,0,"1,74",32,9,15,15,4,0,0
20.02.2022,Hatayspor,Ev Sahibi,2,0,0,0,Galip,%56,68,19,7,1,10,453,382,"%84,3",23,6,15,6,6,3,1,"2,72",21,7,15,14,0,0,0
28.02.2022,Kasımpaşa,Deplasman,2,1,1,0,Galip,%44,50,13,11,1,4,395,308,"%78,0",10,4,9,2,5,2,0,"2,15",27,11,33,18,1,0,0
6.03.2022,Trabzonspor,Ev Sahibi,1,0,1,1,Berabere,%41,51,8,13,0,4,415,347,"%83,6",23,5,11,5,5,1,0,"1,26",23,13,8,11,2,0,1
13.03.2022,Alanyaspor,Deplasman,5,1,2,0,Galip,%37,34,8,13,2,4,347,275,"%79,3",10,2,18,9,7,2,3,"4,30",23,13,23,14,2,0,0
20.03.2022,Konyaspor,Ev Sahibi,2,0,1,1,Galip,%67,62,12,18,1,11,645,585,"%90,7",28,3,26,11,6,9,1,"2,48",31,18,17,7,3,0,0
2.04.2022,Kayserispor,Deplasman,4,2,0,0,Galip,%51,56,7,16,1,0,446,373,"%83,6",8,2,17,9,5,3,0,"2,78",21,16,11,15,2,0,0
10.04.2022,Galatasaray,Ev Sahibi,2,1,0,0,Galip,%52,46,7,11,0,4,458,367,"%80,1",8,4,8,3,3,2,0,"1,31",17,11,15,18,3,0,0
16.04.2022,Göztepe,Ev Sahibi,2,1,0,0,Galip,%61,54,6,13,3,2,568,508,"%89,4",7,3,14,3,7,4,0,"1,28",30,13,15,7,0,0,0
22.04.2022,Ç. Rizespor,Deplasman,6,3,0,0,Galip,%69,46,7,8,2,11,643,594,"%92,4",20,6,20,14,2,4,0,"4,32",42,8,14,10,1,0,0
29.04.2022,Gaziantep FK,Ev Sahibi,3,1,2,0,Galip,%50,55,13,16,2,4,412,350,"%85,0",12,1,14,6,5,3,2,"2,33",33,16,14,16,2,0,0
8.05.2022,Beşiktaş,Deplasman,1,1,1,1,Berabere,%59,59,9,16,2,8,387,298,"%77,0",18,4,8,3,4,1,0,"0,80",13,16,21,13,3,0,0
15.05.2022,F. Karagümrük,Ev Sahibi,0,0,0,0,Berabere,%60,46,8,12,0,8,564,512,"%90,8",17,4,16,6,7,3,0,"1,02",32,12,17,11,4,0,0
21.05.2022,Yeni Malatyaspor,Deplasman,5,1,0,0,Galip,%69,43,2,8,2,10,614,571,"%93,0",22,7,29,12,8,9,1,"3,56",43,8,3,8,3,0,0
11.09.2020,Ç. Rizespor,Deplasman,2,0,1,0,Galip,%51,40,17,14,0,11,381,312,"%81,9",32,7,17,8,6,3,0,"2,50",32,14,7,12,2,0,0
21.09.2020,Hatayspor,Ev Sahibi,0,0,0,0,Berabere,%58,43,8,6,2,3,521,453,"%86,9",28,5,12,4,3,5,1,"1,05",24,6,2,15,1,0,0
27.09.2020,Galatasaray,Deplasman,0,0,0,0,Berabere,%41,50,15,14,1,9,270,219,"%81,1",32,7,15,1,8,6,0,"0,59",18,14,12,14,4,0,0
3.10.2020,F. Karagümrük,Ev Sahibi,2,1,1,0,Galip,%51,37,12,15,2,3,449,366,"%81,5",17,6,8,4,4,0,1,"1,21",21,15,16,15,1,1,0
18.10.2020,Göztepe,Deplasman,3,2,2,1,Galip,%54,53,17,14,2,7,422,339,"%80,3",29,5,19,8,10,1,0,"4,51",31,14,19,21,4,0,0
25.10.2020,Trabzonspor,Ev Sahibi,3,0,1,1,Galip,%48,49,12,9,0,6,404,325,"%80,4",25,10,20,6,9,5,2,"3,36",26,9,12,17,2,0,0
2.11.2020,Antalyaspor,Deplasman,2,0,1,0,Galip,%60,58,24,18,2,7,476,415,"%87,2",42,15,28,11,12,5,3,"4,72",47,18,8,14,2,1,0
7.11.2020,Konyaspor,Ev Sahibi,0,0,2,0,Mağlup,%52,51,18,12,1,9,454,369,"%81,3",43,3,13,2,5,6,1,"0,99",36,12,6,15,2,0,0
21.11.2020,Gençlerbirliği,Deplasman,5,2,1,1,Galip,%45,67,19,16,2,3,393,316,"%80,4",16,1,10,5,4,1,1,"2,55",14,16,21,9,1,0,0
29.11.2020,Beşiktaş,Ev Sahibi,3,1,4,2,Mağlup,%60,42,10,12,0,5,491,404,"%82,3",33,9,18,5,9,4,1,"3,86",30,12,9,12,6,0,0
6.12.2020,Denizlispor,Deplasman,2,2,0,0,Galip,%43,48,15,18,3,4,322,240,"%74,5",18,4,10,2,6,2,0,"1,38",13,18,28,11,3,1,0
12.12.2020,Yeni Malatyaspor,Ev Sahibi,0,0,3,2,Mağlup,%65,57,15,14,0,9,538,454,"%84,4",39,9,20,6,9,5,1,"1,14",27,14,5,15,3,0,0
19.12.2020,Gaziantep FK,Deplasman,1,1,3,2,Mağlup,%61,51,14,10,5,4,480,396,"%82,5",23,8,14,4,10,0,1,"1,55",15,10,15,15,3,0,0
23.12.2020,Başakşehir,Ev Sahibi,4,1,1,1,Galip,%53,45,15,15,3,7,417,335,"%80,3",24,9,15,4,6,5,0,"2,65",30,15,21,16,2,0,0
4.01.2021,Kasımpaşa,Deplasman,3,2,0,0,Galip,%52,66,16,14,2,1,461,385,"%83,5",8,4,11,5,3,3,0,"1,31",21,14,19,13,1,0,0
7.01.2021,Alanyaspor,Ev Sahibi,2,1,1,0,Galip,%30,61,21,15,6,2,241,175,"%72,6",13,1,13,5,4,4,1,"1,96",21,15,18,20,4,0,0
11.01.2021,Erzurumspor FK,Deplasman,3,1,0,0,Galip,%53,50,11,15,2,5,384,289,"%75,3",22,3,11,8,3,0,0,"1,37",14,15,14,12,1,0,0
18.01.2021,Ankaragücü,Ev Sahibi,3,2,1,0,Galip,%58,66,21,14,1,4,528,430,"%81,4",14,5,17,8,4,5,0,"2,03",25,14,23,22,2,0,0
