Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2023,Kayserispor,Deplasman,0,0,0,0,Berabere,%61,49,19,7,1,9,494,402,"%81,4",30,7,17,3,12,2,0,"1,27",25,7,11,6,2,0,0
19.08.2023,Trabzonspor,Ev Sahibi,2,1,0,0,Galip,%52,52,21,9,4,7,367,272,"%74,1",22,7,16,6,6,4,0,"2,53",30,9,15,21,4,0,0
2.09.2023,Gaziantep FK,Deplasman,3,1,0,0,Galip,%64,52,21,15,4,7,477,403,"%84,5",19,7,15,4,5,6,0,"2,62",25,15,15,13,0,0,0
16.09.2023,Samsunspor,Ev Sahibi,4,3,2,0,Galip,%59,60,17,8,1,2,485,392,"%80,8",13,4,12,5,5,2,0,"1,06",20,8,17,19,1,0,0
23.09.2023,Başakşehir,Deplasman,2,1,1,0,Galip,%59,67,19,10,1,4,498,411,"%82,5",13,3,16,4,9,3,1,"2,14",26,10,11,15,2,0,0
26.09.2023,İstanbulspor,Deplasman,1,1,0,0,Galip,%70,40,15,17,2,4,597,513,"%85,9",27,7,16,8,5,3,2,"1,99",41,17,10,16,2,0,0
30.09.2023,Ankaragücü,Ev Sahibi,2,0,1,0,Galip,%68,54,15,12,1,12,546,464,"%85,0",38,13,35,13,15,7,1,"3,67",52,12,12,11,0,0,0
7.10.2023,Antalyaspor,Deplasman,2,0,0,0,Galip,%58,60,19,7,3,7,462,379,"%82,0",19,5,13,6,4,3,0,"2,16",21,7,15,21,3,0,0
21.10.2023,Beşiktaş,Ev Sahibi,2,1,1,0,Galip,%52,49,9,8,2,6,407,334,"%82,1",22,6,27,9,9,9,0,"2,17",35,8,10,12,3,0,0
28.10.2023,Ç. Rizespor,Deplasman,1,0,0,0,Galip,%62,68,23,13,1,5,485,395,"%81,4",25,6,21,5,7,9,0,"1,82",37,13,14,11,3,0,0
3.11.2023,Kasımpaşa,Ev Sahibi,2,1,1,0,Galip,%63,62,22,8,5,5,486,388,"%79,8",17,4,14,3,7,4,0,"1,27",38,8,6,11,2,0,0
11.11.2023,Hatayspor,Deplasman,1,1,2,1,Mağlup,%71,52,12,6,1,9,569,478,"%84,0",33,7,18,7,4,7,2,"1,60",29,6,3,11,1,0,0
25.11.2023,Alanyaspor,Ev Sahibi,4,2,0,0,Galip,%63,44,11,8,6,9,548,481,"%87,8",30,7,27,11,10,6,2,"3,81",48,8,6,12,1,0,0
2.12.2023,Pendikspor,Deplasman,2,0,0,0,Galip,%71,37,15,5,1,6,593,522,"%88,0",30,7,16,5,5,6,1,"1,51",34,5,9,12,3,0,0
8.12.2023,Adana Demirspor,Ev Sahibi,3,2,1,1,Galip,%61,46,13,13,1,7,549,476,"%86,7",16,5,22,7,12,3,3,"3,39",37,13,19,15,2,0,0
20.12.2023,F. Karagümrük,Ev Sahibi,1,1,0,0,Galip,%54,50,14,12,3,7,463,367,"%79,3",22,3,18,6,7,5,0,"1,65",26,12,25,10,3,0,0
24.12.2023,Fenerbahçe,Deplasman,0,0,0,0,Berabere,%54,49,15,8,1,6,339,243,"%71,7",16,6,8,1,7,0,0,"0,42",15,8,19,26,4,0,0
7.01.2024,Konyaspor,Ev Sahibi,3,0,0,0,Galip,%66,72,31,16,1,13,489,392,"%80,2",31,13,30,10,14,6,1,"2,80",34,16,15,20,3,0,0
11.01.2024,Sivasspor,Deplasman,1,1,1,0,Berabere,%63,45,14,6,1,8,517,438,"%84,7",16,4,23,8,5,10,2,"1,55",34,6,17,20,2,1,0
15.01.2024,Kayserispor,Ev Sahibi,2,1,1,0,Galip,%59,78,24,10,3,8,453,358,"%79,0",19,7,30,8,11,11,1,"2,85",46,10,13,7,1,0,0
21.01.2024,Trabzonspor,Deplasman,5,1,1,0,Galip,%51,64,22,6,5,6,346,242,"%69,9",22,6,16,9,5,2,2,"2,17",27,6,32,18,4,0,0
25.01.2024,İstanbulspor,Ev Sahibi,3,1,1,1,Galip,%67,61,17,6,2,3,525,442,"%84,2",20,1,16,4,6,6,0,"2,34",34,6,11,11,2,0,0
29.01.2024,Gaziantep FK,Ev Sahibi,2,0,1,1,Galip,%76,58,25,8,5,13,617,512,"%83,0",45,12,33,9,12,12,5,"3,18",65,8,3,7,1,0,0
2.02.2024,Samsunspor,Deplasman,2,2,0,0,Galip,%55,58,25,8,3,4,440,333,"%75,7",16,3,16,5,9,2,0,"2,09",22,8,13,5,1,0,0
10.02.2024,Başakşehir,Ev Sahibi,2,2,0,0,Galip,%53,51,13,5,2,7,395,307,"%77,7",17,3,18,7,8,3,0,"1,36",38,5,13,14,2,0,0
18.02.2024,Ankaragücü,Deplasman,3,3,0,0,Galip,%61,46,17,10,0,16,493,392,"%79,5",26,7,27,11,5,11,1,"2,46",44,10,18,15,1,0,0
26.02.2024,Antalyaspor,Ev Sahibi,2,2,1,1,Galip,%53,50,9,12,5,5,358,287,"%80,2",17,5,14,8,5,1,1,"3,46",23,12,15,14,2,0,0
3.03.2024,Beşiktaş,Deplasman,1,1,0,0,Galip,%52,55,17,12,3,11,381,281,"%73,8",23,9,13,3,4,6,0,"0,60",28,12,17,15,0,0,0
8.03.2024,Ç. Rizespor,Ev Sahibi,6,4,2,1,Galip,%60,52,18,9,1,3,488,399,"%81,8",15,4,14,10,2,2,0,"2,26",24,9,15,18,1,0,0
17.03.2024,Kasımpaşa,Deplasman,4,1,3,1,Galip,%60,44,15,11,1,4,453,343,"%75,7",14,4,17,9,4,4,1,"2,53",34,11,17,9,1,0,0
2.04.2024,Hatayspor,Ev Sahibi,1,1,0,0,Galip,%58,40,12,5,0,8,440,360,"%81,8",24,12,19,2,11,6,1,"1,64",34,5,15,17,2,0,0
15.04.2024,Alanyaspor,Deplasman,4,0,0,0,Galip,%55,43,12,6,3,6,483,409,"%84,7",18,5,20,8,9,3,1,"1,75",36,6,21,14,0,0,0
21.04.2024,Pendikspor,Ev Sahibi,4,2,1,0,Galip,%54,42,16,4,2,4,427,351,"%82,2",19,6,20,9,7,4,0,"2,84",39,4,16,15,1,0,0
26.04.2024,Adana Demirspor,Deplasman,3,0,0,0,Galip,%60,57,13,5,0,6,462,387,"%83,8",19,9,25,9,7,9,1,"1,73",58,5,16,9,0,0,0
05.05.2024,Sivasspor,Ev Sahibi,6,2,1,0,Galip,%69,44,15,11,2,5,625,541,"%86,6",18,4,22,8,12,2,0,"2,62",31,11,7,13,0,0,0
12.05.2024,F. Karagümrük,Deplasman,3,1,2,1,Galip,%65,41,12,6,0,10,545,460,"%84,4",32,10,25,6,13,6,0,"1,29",39,6,15,9,0,0,0
19.05.2024,Fenerbahçe,Ev Sahibi,0,0,1,0,Mağlup,%69,49,17,8,1,1,475,394,"%82,9",12,4,11,0,5,6,0,"0,67",19,8,19,18,4,0,0
26.05.2024,Konyaspor,Deplasman,3,1,1,0,Galip,%66,52,19,9,0,10,501,420,"%83,8",25,13,23,7,8,8,1,"2,31",41,9,16,13,2,0,0
7.08.2022,Antalyaspor,Deplasman,1,0,0,0,Galip,%56,57,11,10,2,6,410,342,"%83,4",16,5,13,4,5,4,1,"1,00",22,10,12,16,4,0,0
13.08.2022,Giresunspor,Ev Sahibi,0,0,1,0,Mağlup,%66,47,14,4,2,10,552,476,"%86,2",36,8,14,2,8,4,1,"0,98",31,4,10,7,3,0,0
19.08.2022,Ümraniyespor,Deplasman,1,0,0,0,Galip,%59,56,15,8,3,5,480,394,"%82,1",14,3,24,10,7,7,2,"1,94",27,8,9,14,2,0,0
28.08.2022,Trabzonspor,Deplasman,0,0,0,0,Berabere,%58,61,16,11,6,5,447,349,"%78,1",12,7,13,4,5,4,0,"1,08",23,11,15,16,2,0,0
5.09.2022,Gaziantep FK,Ev Sahibi,2,1,1,1,Galip,%58,46,12,6,3,7,500,431,"%86,2",16,5,20,12,6,2,2,"2,26",31,6,13,11,3,1,0
11.09.2022,Kasımpaşa,Deplasman,3,1,2,1,Galip,%63,50,15,6,1,8,485,400,"%82,5",23,6,22,6,11,5,1,"2,50",40,6,18,10,0,0,0
16.09.2022,Konyaspor,Ev Sahibi,2,1,1,1,Galip,%55,44,3,5,1,6,495,440,"%88,9",17,4,18,5,6,7,0,"2,37",32,5,10,14,4,0,0
1.10.2022,Adana Demirspor,Deplasman,0,0,0,0,Berabere,%55,45,10,12,2,7,437,356,"%81,5",16,2,23,5,8,10,1,"1,95",43,12,14,15,5,0,0
15.10.2022,Kayserispor,Deplasman,1,0,2,2,Mağlup,%61,49,15,19,0,15,547,454,"%83,0",43,16,12,3,6,3,0,"0,69",37,19,7,10,1,0,0
23.10.2022,Alanyaspor,Ev Sahibi,2,2,2,0,Berabere,%34,32,6,6,4,7,281,208,"%74,0",17,4,18,12,3,3,0,"2,13",27,6,18,12,3,0,2
28.10.2022,F. Karagümrük,Deplasman,2,0,0,0,Galip,%70,43,12,7,2,11,532,469,"%88,2",30,10,35,12,11,12,1,"3,72",46,7,16,13,1,0,0
5.11.2022,Beşiktaş,Ev Sahibi,2,1,1,1,Galip,%54,51,19,8,0,10,326,245,"%75,2",33,5,19,5,12,2,2,"1,69",31,8,28,15,3,0,0
12.11.2022,Başakşehir,Deplasman,7,3,0,0,Galip,%40,51,12,11,1,6,324,245,"%75,6",16,4,16,10,6,0,2,"2,17",30,11,9,15,2,0,0
25.12.2022,İstanbulspor,Ev Sahibi,2,2,1,0,Galip,%48,44,21,13,1,12,462,336,"%72,7",22,7,17,5,8,4,2,"3,67",37,13,17,13,4,0,0
29.12.2022,Sivasspor,Deplasman,2,1,1,0,Galip,%52,70,29,6,2,3,424,293,"%69,1",12,2,12,8,3,1,0,"1,22",22,6,11,14,5,0,0
4.01.2023,Ankaragücü,Ev Sahibi,2,2,1,1,Galip,%44,62,20,11,2,6,367,277,"%75,5",19,7,12,5,6,1,0,"0,98",19,11,21,17,2,0,0
8.01.2023,Fenerbahçe,Deplasman,3,1,0,0,Galip,%37,59,16,11,5,4,284,192,"%67,6",12,2,13,8,2,3,0,"1,01",22,11,26,20,7,0,0
13.01.2023,Hatayspor,Ev Sahibi,4,3,0,0,Galip,%66,41,11,5,3,8,618,551,"%89,2",30,12,28,10,13,5,0,"3,54",48,5,16,11,0,0,0
21.01.2023,Antalyaspor,Ev Sahibi,2,0,1,0,Galip,%60,52,16,15,0,16,482,377,"%78,2",39,8,20,6,6,8,0,"1,49",34,15,10,12,2,0,0
28.01.2023,Giresunspor,Deplasman,4,1,0,0,Galip,%57,59,11,22,0,3,449,344,"%76,6",22,5,16,9,5,2,0,"3,40",37,22,19,16,0,0,0
1.02.2023,Ümraniyespor,Ev Sahibi,3,1,2,2,Galip,%67,54,16,4,0,13,585,492,"%84,1",47,14,30,12,13,5,0,"3,81",51,4,10,13,0,0,0
5.02.2023,Trabzonspor,Ev Sahibi,2,1,1,1,Galip,%52,46,10,11,3,6,453,334,"%73,7",12,3,23,10,8,5,1,"2,02",36,11,13,19,1,0,0
11.03.2023,Kasımpaşa,Ev Sahibi,1,0,0,0,Galip,%69,61,21,10,3,7,572,468,"%81,8",25,6,16,3,8,5,0,"1,52",31,10,8,13,3,0,0
17.03.2023,Konyaspor,Deplasman,1,1,2,0,Mağlup,%64,55,16,13,4,6,466,399,"%85,6",27,6,17,7,7,3,0,"1,87",42,13,10,19,4,0,0
1.04.2023,Adana Demirspor,Ev Sahibi,2,0,0,0,Galip,%59,55,23,10,4,8,473,384,"%81,2",29,5,19,4,11,4,1,"1,91",40,10,13,22,4,0,0
14.04.2023,Kayserispor,Ev Sahibi,6,4,0,0,Galip,%66,48,15,6,1,2,595,536,"%90,1",24,6,29,17,7,5,0,"3,81",44,6,16,11,2,0,0
18.04.2023,Alanyaspor,Deplasman,4,2,1,1,Galip,%56,46,10,6,1,3,559,487,"%87,1",15,5,19,13,3,3,0,"2,38",20,6,15,12,1,0,0
23.04.2023,F. Karagümrük,Ev Sahibi,3,2,3,3,Berabere,%65,42,11,8,2,5,565,477,"%84,4",32,8,24,9,8,7,1,"4,24",42,8,11,14,0,0,0
30.04.2023,Beşiktaş,Deplasman,1,1,3,1,Mağlup,%55,60,13,12,1,1,468,360,"%76,9",18,1,7,1,2,4,0,"0,60",24,12,11,14,2,0,0
8.05.2023,Başakşehir,Ev Sahibi,1,1,0,0,Galip,%60,74,46,7,2,10,575,471,"%81,9",28,9,20,8,3,9,1,"2,56",33,7,21,11,2,0,0
16.05.2023,İstanbulspor,Deplasman,2,1,0,0,Galip,%57,66,19,7,1,9,482,393,"%81,5",25,4,22,4,9,9,1,"2,63",51,7,6,10,1,0,1
20.05.2023,Sivasspor,Ev Sahibi,2,1,0,0,Galip,%65,53,17,13,1,6,565,473,"%83,7",23,4,10,2,4,4,0,"0,87",18,13,9,13,1,0,0
30.05.2023,Ankaragücü,Deplasman,4,2,1,1,Galip,%53,68,17,20,2,7,442,351,"%79,4",18,6,20,11,5,4,0,"2,12",38,20,13,13,0,0,0
4.06.2023,Fenerbahçe,Ev Sahibi,3,1,0,0,Galip,%52,79,20,8,3,6,375,291,"%77,6",23,9,17,6,7,4,0,"1,63",34,8,12,13,1,0,0
16.08.2021,Giresunspor,Deplasman,2,2,0,0,Galip,%64,54,14,13,2,4,595,514,"%86,4",9,1,10,6,4,0,0,"3,16",17,13,16,14,2,0,1
23.08.2021,Hatayspor,Ev Sahibi,2,1,1,1,Galip,%62,54,23,9,1,17,454,358,"%78,9",34,12,14,4,7,3,1,"1,89",34,9,5,11,1,0,0
29.08.2021,Kasımpaşa,Deplasman,2,2,2,1,Berabere,%53,36,9,12,2,2,482,409,"%84,9",12,3,13,6,4,3,0,"2,21",21,12,18,10,0,0,0
12.09.2021,Trabzonspor,Deplasman,2,2,2,1,Berabere,%38,48,14,8,1,3,363,290,"%79,9",14,3,15,6,6,3,0,"1,50",20,8,13,6,1,0,0
19.09.2021,Alanyaspor,Ev Sahibi,0,0,1,0,Mağlup,%60,44,11,12,1,13,532,469,"%88,2",37,6,17,3,8,6,0,"0,95",24,12,11,6,0,0,0
22.09.2021,Kayserispor,Deplasman,0,0,3,2,Mağlup,%62,47,14,6,2,9,469,402,"%85,7",28,7,18,2,10,6,0,"1,15",27,6,11,11,3,0,0
26.09.2021,Göztepe,Ev Sahibi,2,0,1,1,Galip,%55,79,20,8,0,5,444,361,"%81,3",19,4,14,5,6,3,0,"1,16",24,8,15,15,3,0,0
3.10.2021,Ç. Rizespor,Deplasman,3,1,2,2,Galip,%64,63,19,10,1,6,520,433,"%83,3",25,8,21,8,8,5,0,"3,29",29,10,10,11,4,0,1
17.10.2021,Konyaspor,Ev Sahibi,1,1,0,0,Galip,%44,51,18,15,1,3,383,305,"%79,6",10,2,11,5,2,4,0,"1,89",19,15,37,15,3,0,0
25.10.2021,Beşiktaş,Deplasman,1,1,2,1,Mağlup,%41,56,16,7,0,5,310,230,"%74,2",11,3,12,4,6,2,0,"1,35",16,7,26,19,2,0,0
31.10.2021,Gaziantep FK,Ev Sahibi,2,1,0,0,Galip,%58,62,19,9,0,3,550,456,"%82,9",10,2,11,5,4,2,0,"1,02",30,9,18,6,1,0,0
7.11.2021,F. Karagümrük,Deplasman,1,0,1,0,Berabere,%54,31,10,9,0,11,506,445,"%87,9",41,11,20,5,9,6,1,"1,98",32,9,4,15,3,0,0
21.11.2021,Fenerbahçe,Ev Sahibi,1,1,2,1,Mağlup,%58,59,18,9,2,4,473,381,"%80,5",13,4,14,4,4,6,1,"2,31",24,9,19,13,5,0,0
28.11.2021,Yeni Malatyaspor,Deplasman,0,0,0,0,Berabere,%64,50,17,7,4,7,545,484,"%88,8",32,5,13,2,6,5,1,"1,23",23,7,8,13,2,0,0
4.12.2021,Altay,Ev Sahibi,2,1,2,1,Berabere,%64,64,18,12,2,12,458,389,"%84,9",24,8,24,7,9,8,1,"3,03",40,12,24,9,2,0,0
13.12.2021,Sivasspor,Deplasman,0,0,1,0,Mağlup,%65,42,9,9,2,5,559,479,"%85,7",20,2,6,3,3,0,0,"0,23",10,9,21,6,3,0,0
18.12.2021,Başakşehir,Ev Sahibi,1,0,1,1,Berabere,%58,41,11,10,3,5,546,467,"%85,5",26,4,18,4,8,6,0,"1,46",24,10,0,16,4,0,0
21.12.2021,Adana Demirspor,Deplasman,0,0,2,0,Mağlup,%63,71,18,4,0,7,490,393,"%80,2",28,6,15,7,6,2,0,"1,86",27,4,8,14,2,0,0
25.12.2021,Antalyaspor,Ev Sahibi,2,1,0,0,Galip,%50,64,20,16,1,4,407,326,"%80,1",15,6,19,7,10,2,1,"2,20",19,16,29,18,4,0,0
