Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.08.2023,Fenerbahçe,Deplasman,1,1,2,2,Mağlup,%30,42,4,17,0,1,249,172,"%69,1",7,2,4,1,3,0,0,"0,36",10,17,10,12,5,1,0
20.08.2023,Sivasspor,Ev Sahibi,1,0,3,2,Mağlup,%56,66,13,9,1,7,434,354,"%81,6",31,7,13,3,5,5,1,"1,08",32,9,8,19,6,0,0
25.08.2023,Konyaspor,Deplasman,0,0,2,0,Mağlup,%48,42,14,11,1,2,367,292,"%79,6",13,2,8,3,4,1,1,"0,94",14,11,22,8,2,0,0
2.09.2023,Galatasaray,Ev Sahibi,0,0,3,1,Mağlup,%36,46,8,13,4,4,263,190,"%72,2",16,4,16,7,6,3,0,"0,83",23,13,13,11,2,0,0
16.09.2023,Kayserispor,Deplasman,0,0,2,1,Mağlup,%47,56,20,13,0,7,390,312,"%80,0",22,5,17,6,7,4,0,"1,33",36,13,7,9,1,0,0
22.09.2023,İstanbulspor,Ev Sahibi,2,0,0,0,Galip,%37,62,19,12,4,8,258,187,"%72,5",17,4,15,3,7,5,0,"1,43",29,12,16,10,1,0,0
29.09.2023,Samsunspor,Deplasman,2,2,1,0,Galip,%31,52,17,9,1,2,271,190,"%70,1",4,1,4,3,0,1,0,"0,23",14,9,31,12,3,0,0
7.10.2023,Başakşehir,Deplasman,0,0,2,2,Mağlup,%48,49,16,7,2,7,447,373,"%83,4",24,8,15,1,11,3,0,"1,88",22,7,14,10,0,0,0
21.10.2023,Antalyaspor,Ev Sahibi,1,0,0,0,Galip,%39,70,20,5,1,6,279,214,"%76,7",21,6,11,2,5,4,0,"0,77",17,5,18,16,1,0,0
30.10.2023,Beşiktaş,Deplasman,0,0,2,0,Mağlup,%36,55,8,10,1,3,282,200,"%70,9",13,4,12,6,5,1,0,"1,09",16,10,28,16,4,1,0
6.11.2023,Ç. Rizespor,Ev Sahibi,2,1,0,0,Galip,%41,52,9,12,0,3,349,269,"%77,1",5,2,9,5,2,2,1,"2,31",21,12,25,8,3,0,0
11.11.2023,Alanyaspor,Deplasman,3,2,0,0,Galip,%27,58,10,18,0,1,272,192,"%70,6",8,3,10,5,4,1,0,"2,39",18,18,20,10,1,0,0
25.11.2023,Ankaragücü,Ev Sahibi,0,0,1,1,Mağlup,%54,54,14,17,0,2,445,345,"%77,5",17,4,8,2,6,0,0,"0,30",22,17,13,8,4,0,0
3.12.2023,Kasımpaşa,Deplasman,2,0,4,3,Mağlup,%52,54,17,19,3,6,390,287,"%73,6",23,7,16,5,9,2,1,"2,79",32,19,23,14,5,0,0
10.12.2023,Trabzonspor,Ev Sahibi,1,0,3,0,Mağlup,%44,47,16,8,0,2,409,330,"%80,7",11,2,8,4,4,0,1,"0,50",12,8,5,6,1,0,0
19.12.2023,Adana Demirspor,Ev Sahibi,2,1,2,0,Berabere,%33,35,6,12,1,5,282,210,"%74,5",16,5,15,5,4,6,1,"1,11",22,12,17,15,0,0,0
23.12.2023,F. Karagümrük,Deplasman,3,1,0,0,Galip,%32,47,12,14,1,3,301,210,"%69,8",11,3,7,3,2,2,0,"2,05",13,14,15,9,1,0,0
5.01.2024,Pendikspor,Ev Sahibi,2,1,2,0,Berabere,%47,46,10,8,2,1,413,327,"%79,2",7,2,10,2,4,4,1,"0,63",11,8,22,7,2,0,0
10.01.2024,Hatayspor,Deplasman,0,0,0,0,Berabere,%28,41,9,5,1,5,249,184,"%73,9",11,2,7,2,3,2,0,"0,16",10,5,38,4,0,0,0
14.01.2024,Fenerbahçe,Ev Sahibi,0,0,1,0,Mağlup,%36,43,10,14,0,4,288,187,"%64,9",13,4,6,4,2,0,0,"0,62",13,14,34,14,3,0,0
21.01.2024,Sivasspor,Deplasman,2,2,2,2,Berabere,%52,42,7,10,2,5,390,324,"%83,1",15,4,17,7,5,5,0,"2,01",35,10,16,15,4,1,0
