Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
21.08.2016,Gençlerbirliği,Deplasman,0,0,2,1,Mağlup,%49,47,15,14,0,5,362,262,"%72,4",15,3,8,2,4,2,0,0,9,14,20,13,2,0,0
27.08.2016,Trabzonspor,Ev Sahibi,1,0,0,0,Galip,%47,62,18,26,3,3,299,180,"%60,2",14,0,10,2,5,3,1,0,11,26,14,16,3,1,0
10.09.2016,Adanaspor,Deplasman,0,0,0,0,Berabere,%34,42,9,12,1,4,299,217,"%72,6",12,3,6,0,4,2,0,0,13,12,11,17,2,0,0
18.09.2016,Başakşehir,Ev Sahibi,0,0,1,0,Mağlup,%52,37,9,15,1,11,348,234,"%67,2",33,4,24,7,10,7,1,0,32,15,10,13,0,0,0
25.09.2016,Fenerbahçe,Deplasman,1,0,2,1,Mağlup,%47,42,10,21,1,3,396,292,"%73,7",11,2,10,3,4,3,0,0,12,21,27,15,6,0,0
1.10.2016,Bursaspor,Ev Sahibi,3,1,2,1,Galip,%55,50,16,19,3,5,437,336,"%76,9",26,12,18,9,8,1,1,0,32,19,5,15,3,0,0
15.10.2016,Kasımpaşa,Deplasman,0,0,0,0,Berabere,%46,51,13,13,1,1,389,285,"%73,3",7,3,7,1,4,2,0,0,15,13,16,14,4,2,0
21.10.2016,Kayserispor,Ev Sahibi,1,1,2,0,Mağlup,%56,60,19,14,1,6,338,234,"%69,2",22,6,13,6,5,2,0,0,23,14,10,14,1,0,0
29.10.2016,Sincan Bld Ankaraspor,Ev Sahibi,3,1,1,1,Galip,%43,64,20,10,3,7,292,178,"%61,0",16,5,8,2,4,2,1,0,25,10,28,18,2,0,0
5.11.2016,Alanyaspor,Deplasman,3,2,4,1,Mağlup,%42,52,13,16,1,1,318,231,"%72,6",18,5,11,4,5,2,0,0,12,16,17,19,5,0,0
19.11.2016,Konyaspor,Ev Sahibi,0,0,3,1,Mağlup,%53,47,16,16,2,3,516,380,"%73,6",16,2,11,2,4,5,0,0,30,16,11,13,2,0,0
26.11.2016,Karabükspor,Deplasman,0,0,2,2,Mağlup,%37,58,9,15,6,4,331,221,"%66,8",14,1,5,2,1,2,0,0,8,15,13,6,0,0,1
4.12.2016,Akhisarspor,Ev Sahibi,1,1,2,0,Mağlup,%47,61,21,11,2,1,359,237,"%66,0",7,0,7,2,2,3,0,0,14,11,29,18,1,0,0
11.12.2016,Galatasaray,Deplasman,1,0,3,1,Mağlup,%39,38,6,7,7,9,350,275,"%78,6",14,6,8,2,5,1,0,0,24,7,26,13,4,1,0
18.12.2016,Ç. Rizespor,Ev Sahibi,1,1,2,1,Mağlup,%63,49,12,6,3,13,414,295,"%71,3",34,8,20,7,6,7,0,0,29,6,18,12,3,0,0
24.12.2016,Beşiktaş,Deplasman,0,0,1,1,Mağlup,%30,58,6,11,2,0,302,230,"%76,2",6,2,12,2,7,3,0,0,8,11,31,11,2,0,0
15.01.2017,Antalyaspor,Ev Sahibi,0,0,3,2,Mağlup,%37,55,11,10,2,9,293,200,"%68,3",20,3,13,6,7,0,1,0,21,10,18,15,2,1,0
29.01.2017,Trabzonspor,Deplasman,0,0,4,2,Mağlup,%44,69,9,21,0,6,362,280,"%77,3",19,5,8,3,5,0,0,0,10,21,28,17,3,0,0
13.02.2017,Adanaspor,Ev Sahibi,1,0,0,0,Galip,%34,53,19,29,2,2,284,187,"%65,8",8,3,2,1,1,0,0,0,9,29,18,16,5,0,0
18.02.2017,Başakşehir,Deplasman,0,0,0,0,Berabere,%34,49,10,22,1,5,298,202,"%67,8",17,5,9,2,5,2,0,0,13,22,37,20,3,0,0
26.02.2017,Fenerbahçe,Ev Sahibi,1,1,1,1,Berabere,%37,66,19,15,4,3,247,161,"%65,2",17,3,9,5,3,1,0,0,16,15,26,17,5,0,0
4.03.2017,Bursaspor,Deplasman,1,1,2,1,Mağlup,%47,60,18,14,3,4,367,265,"%72,2",15,3,12,6,6,0,1,0,15,14,22,18,2,0,0
11.03.2017,Kasımpaşa,Ev Sahibi,0,0,2,0,Mağlup,%46,43,15,15,4,11,352,271,"%77,0",40,15,19,4,10,5,1,0,26,15,15,9,3,0,0
18.03.2017,Kayserispor,Deplasman,4,2,3,2,Galip,%28,49,17,13,1,2,214,128,"%59,8",15,6,14,6,6,2,0,0,22,13,37,10,2,0,0
2.04.2017,Sincan Bld Ankaraspor,Deplasman,2,1,0,0,Galip,%35,63,17,21,3,4,243,146,"%60,1",11,3,12,4,5,3,1,0,19,21,23,13,0,0,0
