Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.09.2020,Antalyaspor,Deplasman,0,0,2,1,Mağlup,%62,47,11,10,3,3,514,430,"%83,7",19,1,6,1,4,1,0,"0,29",11,10,12,18,1,0,0
19.09.2020,Konyaspor,Ev Sahibi,0,0,0,0,Berabere,%55,42,9,8,2,6,511,441,"%86,3",28,6,13,1,7,5,0,"0,85",32,8,13,10,0,0,0
4.10.2020,Beşiktaş,Deplasman,1,1,0,0,Galip,%37,46,8,19,0,5,360,271,"%75,3",11,3,10,4,4,2,0,"1,42",23,19,15,12,2,0,0
19.10.2020,Denizlispor,Ev Sahibi,1,0,2,2,Mağlup,%64,45,10,10,0,5,573,473,"%82,5",26,4,9,1,5,3,1,"1,18",18,10,7,11,1,0,0
25.10.2020,Yeni Malatyaspor,Deplasman,1,1,2,1,Mağlup,%56,46,11,6,3,3,470,377,"%80,2",24,4,5,1,3,1,0,"0,69",16,6,13,12,0,0,0
31.10.2020,Gaziantep FK,Ev Sahibi,1,0,1,1,Berabere,%57,49,8,9,3,4,431,347,"%80,5",29,7,15,5,7,3,0,"1,80",20,9,17,16,3,0,0
8.11.2020,Başakşehir,Deplasman,1,1,2,0,Mağlup,%29,43,12,22,2,2,258,172,"%66,7",5,2,6,2,4,0,1,"0,29",14,22,42,10,3,0,1
21.11.2020,Fenerbahçe,Ev Sahibi,1,1,5,2,Mağlup,%55,39,10,10,2,4,459,398,"%86,7",32,7,11,5,3,3,0,"0,85",17,10,12,19,3,0,0
29.11.2020,Kasımpaşa,Deplasman,0,0,2,2,Mağlup,%56,51,11,20,2,3,470,376,"%80,0",25,7,20,5,11,4,0,"2,39",17,20,8,8,2,0,0
5.12.2020,Alanyaspor,Ev Sahibi,2,1,1,0,Galip,%33,46,17,8,2,4,248,163,"%65,7",12,2,14,4,6,4,0,"0,79",13,8,21,14,4,0,0
13.12.2020,Erzurumspor FK,Deplasman,1,0,0,0,Galip,%48,51,11,18,1,8,336,255,"%75,9",18,4,11,4,5,2,0,"1,28",17,18,23,14,1,0,0
20.12.2020,Ankaragücü,Ev Sahibi,1,0,1,0,Berabere,%51,61,20,19,2,4,394,278,"%70,6",16,6,9,3,6,0,0,"1,11",16,19,22,12,3,0,1
24.12.2020,Sivasspor,Deplasman,1,0,3,1,Mağlup,%58,33,9,13,1,6,489,410,"%83,8",24,6,10,4,4,2,0,"1,37",17,13,19,13,2,0,0
28.12.2020,Kayserispor,Ev Sahibi,3,1,2,1,Galip,%54,45,8,14,2,5,405,323,"%79,8",21,8,14,5,5,4,0,"1,51",18,14,12,12,2,0,0
3.01.2021,Ç. Rizespor,Deplasman,1,0,1,1,Berabere,%33,49,15,15,1,2,289,194,"%67,1",13,3,17,7,9,1,0,"2,72",15,15,19,10,5,0,0
6.01.2021,Hatayspor,Ev Sahibi,3,1,1,1,Galip,%53,38,9,13,1,6,390,296,"%75,9",25,8,22,8,9,5,0,"3,96",32,13,13,18,5,0,0
9.01.2021,Galatasaray,Deplasman,0,0,6,4,Mağlup,%42,32,4,17,4,4,379,325,"%85,8",13,0,5,2,3,0,0,"0,22",10,17,15,18,3,0,0
15.01.2021,F. Karagümrük,Ev Sahibi,1,0,3,2,Mağlup,%64,37,11,15,1,8,523,442,"%84,5",46,11,17,3,6,8,0,"2,00",33,15,10,21,5,0,0
19.01.2021,Göztepe,Deplasman,0,0,4,3,Mağlup,%43,37,9,11,3,1,446,366,"%82,1",9,1,5,2,3,0,0,"0,26",12,11,16,10,2,0,0
23.01.2021,Trabzonspor,Ev Sahibi,1,0,2,1,Mağlup,%36,53,17,13,6,5,321,233,"%72,6",29,3,13,2,7,4,0,"1,33",18,13,20,10,2,0,0
