Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
7.08.2022,Adana Demirspor,Ev Sahibi,2,0,3,2,Mağlup,%52,63,14,5,3,6,411,326,"%79,3",25,5,14,5,4,5,0,"1,28",24,5,12,21,3,0,0
13.08.2022,Galatasaray,Deplasman,1,0,0,0,Galip,%34,48,9,7,1,3,294,196,"%66,7",3,1,5,4,1,0,0,"1,00",10,7,34,11,2,0,0
20.08.2022,Kasımpaşa,Ev Sahibi,1,0,0,0,Galip,%55,48,16,15,2,8,391,290,"%74,2",23,3,14,7,3,4,0,"1,38",22,15,9,11,3,0,0
28.08.2022,Kayserispor,Deplasman,0,0,3,1,Mağlup,%40,38,10,10,2,7,353,281,"%79,6",15,1,11,6,1,4,0,"0,77",25,10,12,13,2,0,0
3.09.2022,Konyaspor,Ev Sahibi,0,0,1,0,Mağlup,%46,44,13,7,0,7,358,272,"%76,0",17,9,10,3,4,3,0,"0,51",13,7,11,11,3,0,0
10.09.2022,F. Karagümrük,Deplasman,1,0,1,0,Berabere,%41,42,8,9,2,1,411,331,"%80,5",3,1,4,2,0,2,0,"1,05",11,9,17,14,3,0,0
2.10.2022,Alanyaspor,Deplasman,1,0,1,0,Berabere,%30,49,11,9,4,3,257,180,"%70,0",9,2,8,6,1,1,0,"1,62",24,9,27,7,2,0,1
8.10.2022,Beşiktaş,Ev Sahibi,0,0,1,1,Mağlup,%52,45,10,12,3,5,362,285,"%78,7",15,3,8,1,3,4,0,"0,32",11,12,19,20,4,0,0
17.10.2022,Sivasspor,Deplasman,0,0,3,2,Mağlup,%52,44,8,2,5,0,498,416,"%83,5",9,4,11,1,6,4,0,"0,57",20,2,14,10,1,0,0
24.10.2022,Ankaragücü,Ev Sahibi,1,0,1,0,Berabere,%49,62,17,14,1,5,349,245,"%70,2",27,7,17,7,7,3,1,"1,48",36,14,14,12,3,0,0
31.10.2022,Başakşehir,Deplasman,1,0,3,1,Mağlup,%41,45,9,6,4,4,347,265,"%76,4",12,4,11,4,4,3,0,"1,14",14,6,17,13,2,0,0
5.11.2022,İstanbulspor,Ev Sahibi,3,1,2,1,Galip,%56,62,20,10,2,9,493,394,"%79,9",31,5,16,4,8,4,0,"0,61",29,10,11,5,1,0,0
12.11.2022,Fenerbahçe,Deplasman,2,0,1,1,Galip,%50,58,16,10,7,3,355,259,"%73,0",6,2,7,4,1,2,0,"1,07",15,10,17,18,3,0,0
24.12.2022,Hatayspor,Deplasman,1,0,1,0,Berabere,%29,34,9,9,0,4,262,193,"%73,7",11,2,12,4,7,1,1,"0,71",14,9,11,12,3,0,0
29.12.2022,Gaziantep FK,Ev Sahibi,2,1,1,0,Galip,%48,36,8,9,1,6,412,321,"%77,9",29,3,13,6,2,5,0,"2,21",18,9,14,13,5,0,0
5.01.2023,Trabzonspor,Deplasman,0,0,3,1,Mağlup,%33,48,7,15,5,1,364,288,"%79,1",5,2,5,1,2,2,0,"0,40",10,15,18,9,2,0,0
8.01.2023,Ümraniyespor,Ev Sahibi,0,0,1,0,Mağlup,%56,54,16,10,1,14,394,310,"%78,7",46,10,24,5,9,10,0,"1,47",38,10,20,10,2,0,0
14.01.2023,Antalyaspor,Deplasman,2,1,2,1,Berabere,%53,49,14,18,0,4,416,311,"%74,8",15,4,21,9,5,7,0,"2,44",25,18,23,13,4,0,0
20.01.2023,Adana Demirspor,Deplasman,1,1,1,0,Berabere,%25,47,7,14,0,1,202,134,"%66,3",5,1,9,2,3,4,1,"1,23",16,14,31,17,4,0,1
28.01.2023,Galatasaray,Ev Sahibi,0,0,4,1,Mağlup,%43,54,14,9,5,9,331,226,"%68,3",20,5,12,1,7,4,0,"0,66",23,9,30,16,3,0,0
1.02.2023,Kasımpaşa,Deplasman,1,1,5,3,Mağlup,%47,43,10,7,3,6,411,322,"%78,3",13,4,12,6,5,1,0,"1,22",17,7,12,8,2,0,0
25.02.2023,Kayserispor,Ev Sahibi,1,0,2,2,Mağlup,%58,56,18,10,2,9,490,398,"%81,2",36,14,29,6,13,10,2,"3,48",53,10,7,16,3,0,0
5.03.2023,Konyaspor,Deplasman,0,0,0,0,Berabere,%35,51,13,16,1,1,315,233,"%74,0",4,0,6,1,4,1,0,"0,84",15,16,19,13,4,0,0
10.03.2023,F. Karagümrük,Ev Sahibi,2,2,2,1,Berabere,%34,47,5,11,7,2,305,219,"%71,8",9,1,5,3,0,2,0,"1,88",16,11,15,18,2,0,0
2.04.2023,Alanyaspor,Ev Sahibi,2,0,2,1,Berabere,%49,62,14,14,5,7,401,325,"%81,0",29,6,22,7,6,9,0,"2,35",35,14,10,15,2,0,0
9.04.2023,Beşiktaş,Deplasman,1,1,3,2,Mağlup,%46,54,11,14,0,3,402,298,"%74,1",15,7,8,1,6,1,0,"1,06",21,14,14,11,4,0,0
16.04.2023,Sivasspor,Ev Sahibi,1,1,0,0,Galip,%32,63,16,14,1,2,256,171,"%66,8",4,1,9,3,4,2,0,"0,89",12,14,32,13,3,0,0
20.04.2023,Ankaragücü,Deplasman,1,1,3,0,Mağlup,%40,48,17,4,1,2,312,219,"%70,2",14,4,2,0,1,1,0,"0,16",15,4,24,6,2,0,0
24.04.2023,Başakşehir,Ev Sahibi,2,0,4,4,Mağlup,%52,61,15,10,2,9,420,348,"%82,9",35,7,25,8,12,5,3,"2,66",43,10,3,14,2,0,0
1.05.2023,İstanbulspor,Deplasman,0,0,1,1,Mağlup,%70,50,14,5,2,4,624,544,"%87,2",34,10,30,7,11,12,0,"3,01",50,5,6,12,2,0,0
7.05.2023,Fenerbahçe,Ev Sahibi,1,0,1,1,Berabere,%33,61,15,15,0,3,258,183,"%70,9",9,0,9,5,2,2,0,"0,54",14,15,20,15,5,0,0
30.05.2023,Trabzonspor,Ev Sahibi,2,0,4,2,Mağlup,%43,52,13,6,2,1,395,311,"%78,7",21,5,10,3,5,2,0,"1,16",19,6,11,13,1,0,0
3.06.2023,Ümraniyespor,Deplasman,1,1,0,0,Galip,%40,56,14,16,3,4,356,285,"%80,1",13,5,10,4,2,4,0,"0,91",11,16,26,13,1,0,0
07.06.2023,Antalyaspor,Ev Sahibi,2,1,0,0,Galip,%31,59,25,3,2,3,217,146,"%67,3",6,2,6,3,2,1,1,"1,02",15,3,27,13,2,1,0
16.08.2021,Galatasaray,Ev Sahibi,0,0,2,2,Mağlup,%36,53,12,9,4,5,307,229,"%74,6",22,7,7,1,5,1,0,"0,51",17,9,14,12,0,0,1
21.08.2021,Kasımpaşa,Deplasman,0,0,2,1,Mağlup,%57,44,14,6,3,2,549,464,"%84,5",25,4,15,1,9,5,1,"0,99",15,6,15,10,3,0,0
29.08.2021,Trabzonspor,Ev Sahibi,0,0,1,1,Mağlup,%46,45,9,21,2,2,455,372,"%81,8",24,6,11,4,3,4,0,"1,29",15,21,13,8,1,0,0
13.09.2021,Alanyaspor,Deplasman,0,0,1,1,Mağlup,%62,51,17,13,3,11,549,458,"%83,4",38,6,15,6,7,2,0,"1,41",32,13,13,11,4,0,0
19.09.2021,Konyaspor,Ev Sahibi,0,0,0,0,Berabere,%54,40,10,13,1,9,482,417,"%86,5",27,3,16,3,7,6,0,"0,73",11,13,14,12,2,0,0
23.09.2021,Fenerbahçe,Deplasman,1,0,2,1,Mağlup,%49,73,10,13,1,2,446,362,"%81,2",23,3,8,2,5,1,1,"1,16",8,13,12,13,1,0,0
26.09.2021,Kayserispor,Ev Sahibi,1,1,1,1,Berabere,%51,52,14,14,3,7,424,342,"%80,7",27,6,21,5,11,5,1,"2,21",20,14,6,13,3,0,0
2.10.2021,Göztepe,Deplasman,1,0,0,0,Galip,%49,64,15,14,1,3,408,324,"%79,4",13,5,8,5,2,1,0,"1,46",18,14,17,6,6,0,0
16.10.2021,Ç. Rizespor,Ev Sahibi,2,0,0,0,Galip,%62,60,20,8,1,7,559,468,"%83,7",27,4,16,5,8,3,1,"1,81",36,8,12,10,3,0,0
23.10.2021,Gaziantep FK,Deplasman,1,0,1,0,Berabere,%54,48,15,9,6,5,506,402,"%79,4",15,1,15,6,4,5,1,"1,85",31,9,23,6,3,0,0
1.11.2021,Antalyaspor,Ev Sahibi,1,0,2,1,Mağlup,%62,65,17,17,1,2,645,543,"%84,2",24,2,16,3,8,5,0,"1,97",27,17,5,7,4,0,0
6.11.2021,Sivasspor,Deplasman,0,0,0,0,Berabere,%51,47,12,5,2,4,441,333,"%75,5",11,1,13,4,4,5,0,"1,15",14,5,17,10,4,1,0
20.11.2021,Yeni Malatyaspor,Ev Sahibi,1,0,0,0,Galip,%54,49,14,14,4,3,481,398,"%82,7",12,1,8,3,3,2,0,"1,65",16,14,19,15,0,0,0
27.11.2021,Beşiktaş,Deplasman,4,1,0,0,Galip,%31,56,16,7,0,3,283,182,"%64,3",6,2,12,7,3,2,0,"2,80",14,7,23,10,0,0,0
5.12.2021,F. Karagümrük,Ev Sahibi,3,0,1,1,Galip,%49,40,9,10,4,7,481,388,"%80,7",21,3,16,9,5,2,0,"3,12",20,10,9,7,1,0,0
12.12.2021,Adana Demirspor,Deplasman,0,0,1,0,Mağlup,%47,46,9,11,3,3,408,287,"%70,3",14,2,13,3,6,4,0,"1,07",14,11,17,11,2,0,0
17.12.2021,Altay,Ev Sahibi,3,1,1,0,Galip,%47,53,13,13,2,4,352,255,"%72,4",13,5,11,5,5,1,0,"2,03",17,13,22,13,1,0,0
21.12.2021,Başakşehir,Deplasman,1,1,3,1,Mağlup,%36,42,7,11,0,3,377,305,"%80,9",8,3,6,2,3,1,0,"0,54",13,11,15,9,1,0,0
25.12.2021,Hatayspor,Ev Sahibi,0,0,1,0,Mağlup,%52,46,17,6,1,7,442,314,"%71,0",22,6,16,5,4,7,0,"1,86",29,6,17,14,3,0,0
