Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
15.08.2021,Antalyaspor,Deplasman,1,0,1,1,Berabere,%59,66,29,9,3,8,418,344,"%82,3",25,9,12,4,6,2,0,"1,02",21,9,8,13,5,0,0
22.08.2021,Yeni Malatyaspor,Ev Sahibi,0,0,1,0,Mağlup,%68,59,11,11,5,4,534,468,"%87,6",41,8,10,3,5,2,1,"0,95",27,11,11,8,1,0,0
29.08.2021,Sivasspor,Deplasman,2,0,2,1,Berabere,%57,47,11,9,1,7,428,357,"%83,4",20,3,8,5,3,0,0,"1,59",20,9,14,12,1,0,0
12.09.2021,Başakşehir,Ev Sahibi,2,0,1,1,Galip,%51,37,12,20,1,2,491,433,"%88,2",25,6,10,5,5,0,1,"1,49",22,20,14,11,4,0,0
17.09.2021,Altay,Deplasman,1,1,2,0,Mağlup,%42,57,19,18,5,3,273,162,"%59,3",13,6,10,7,1,2,0,"1,86",15,18,21,10,2,0,0
22.09.2021,Hatayspor,Ev Sahibi,0,0,2,1,Mağlup,%55,49,17,6,1,9,427,351,"%82,2",37,9,13,3,9,1,0,"1,24",24,6,19,16,2,0,1
26.09.2021,Galatasaray,Deplasman,1,1,2,0,Mağlup,%45,55,13,14,2,5,358,264,"%73,7",15,1,6,1,4,1,0,"0,87",11,14,17,12,0,0,0
2.10.2021,Giresunspor,Ev Sahibi,0,0,1,0,Mağlup,%51,42,13,13,2,8,414,339,"%81,9",23,5,14,5,4,5,0,"1,86",26,13,10,16,3,0,0
17.10.2021,Kasımpaşa,Deplasman,2,0,1,0,Galip,%45,61,16,19,7,4,318,229,"%72,0",27,5,13,10,2,1,0,"1,11",15,19,27,16,1,0,0
23.10.2021,Trabzonspor,Ev Sahibi,0,0,1,0,Mağlup,%43,67,24,16,3,1,368,250,"%67,9",26,9,18,3,13,2,0,"1,87",34,16,4,17,4,0,0
31.10.2021,Alanyaspor,Deplasman,2,0,2,1,Berabere,%46,50,16,20,1,4,388,306,"%78,9",20,2,11,5,4,2,1,"2,02",22,20,23,19,6,0,0
7.11.2021,Konyaspor,Ev Sahibi,0,0,2,1,Mağlup,%42,38,13,13,1,6,327,250,"%76,5",27,4,16,6,7,3,1,"1,50",31,13,8,9,3,0,1
22.11.2021,Kayserispor,Deplasman,1,0,1,1,Berabere,%55,53,13,8,2,2,457,363,"%79,4",16,4,8,2,6,0,0,"1,36",15,8,25,11,2,0,0
29.11.2021,Fenerbahçe,Ev Sahibi,1,1,1,0,Berabere,%41,57,12,20,2,6,329,224,"%68,1",21,4,12,2,9,1,1,"1,87",19,20,22,9,2,0,0
6.12.2021,Gaziantep FK,Ev Sahibi,2,2,1,0,Galip,%37,46,19,12,3,7,280,173,"%61,8",15,4,11,4,3,4,0,"1,92",13,12,21,13,4,1,0
11.12.2021,Ç. Rizespor,Deplasman,1,0,3,1,Mağlup,%47,52,21,13,2,8,325,218,"%67,1",21,4,14,6,6,2,0,"1,00",15,13,13,11,0,0,1
19.12.2021,F. Karagümrük,Ev Sahibi,0,0,1,0,Mağlup,%45,45,10,22,1,3,390,300,"%76,9",23,7,12,5,6,1,1,"1,64",28,22,21,16,3,0,0
23.12.2021,Beşiktaş,Deplasman,1,1,2,1,Mağlup,%46,58,26,10,3,2,349,236,"%67,6",23,5,19,5,7,7,2,"2,62",42,10,16,17,4,0,0
26.12.2021,Adana Demirspor,Ev Sahibi,1,0,1,1,Berabere,%66,50,14,12,5,7,515,428,"%83,1",46,3,15,4,8,3,1,"0,97",22,12,7,15,2,0,0
9.01.2022,Antalyaspor,Ev Sahibi,4,1,0,0,Galip,%41,61,21,3,3,1,306,225,"%73,5",15,3,6,4,0,2,0,"1,79",17,3,44,17,3,1,0
14.01.2022,Yeni Malatyaspor,Deplasman,2,1,1,1,Galip,%38,60,20,13,4,6,286,178,"%62,2",17,4,11,3,3,5,0,"2,58",20,13,18,14,1,0,0
19.01.2022,Sivasspor,Ev Sahibi,2,1,1,0,Galip,%40,61,21,16,0,5,285,169,"%59,3",12,5,10,3,5,2,0,"0,94",22,16,12,19,4,0,0
22.01.2022,Başakşehir,Deplasman,2,1,1,0,Galip,%29,56,25,18,1,2,280,200,"%71,4",11,4,6,5,1,0,0,"0,76",9,18,35,9,1,0,0
6.02.2022,Altay,Ev Sahibi,0,0,2,1,Mağlup,%55,73,30,8,1,6,369,264,"%71,5",30,8,22,4,10,8,1,"2,95",46,8,14,13,3,0,0
14.02.2022,Hatayspor,Deplasman,1,0,2,2,Mağlup,%48,66,30,11,0,6,379,261,"%68,9",22,1,7,3,2,2,1,"0,88",16,11,28,9,3,0,0
21.02.2022,Galatasaray,Ev Sahibi,2,1,3,1,Mağlup,%59,49,26,8,1,5,376,295,"%78,5",24,7,13,5,6,2,0,"2,22",22,8,16,19,3,0,0
27.02.2022,Giresunspor,Deplasman,1,0,3,1,Mağlup,%57,50,17,11,0,5,488,376,"%77,0",22,2,9,4,3,2,0,"0,62",9,11,12,16,1,0,0
5.03.2022,Kasımpaşa,Ev Sahibi,2,1,3,1,Mağlup,%51,47,20,10,3,4,367,249,"%67,8",16,4,8,3,2,3,0,"1,42",15,10,11,25,4,0,0
12.03.2022,Trabzonspor,Deplasman,2,2,4,2,Mağlup,%44,47,14,14,0,6,443,368,"%83,1",26,4,15,6,5,4,0,"1,57",20,14,9,14,3,0,0
19.03.2022,Alanyaspor,Ev Sahibi,0,0,2,0,Mağlup,%44,50,13,18,5,2,418,341,"%81,6",16,3,7,0,6,1,0,"0,34",20,18,16,15,2,0,0
3.04.2022,Konyaspor,Deplasman,0,0,3,2,Mağlup,%58,40,9,6,1,9,501,436,"%87,0",23,3,7,1,4,2,0,"0,52",18,6,14,7,1,0,1
9.04.2022,Kayserispor,Ev Sahibi,1,1,2,2,Mağlup,%71,44,13,8,2,6,619,536,"%86,6",25,5,19,7,10,2,1,"1,86",29,8,12,17,1,0,0
16.04.2022,Fenerbahçe,Deplasman,0,0,2,1,Mağlup,%39,45,10,13,1,6,343,286,"%83,4",18,3,9,3,5,1,0,"1,15",14,13,11,17,3,0,1
23.04.2022,Gaziantep FK,Deplasman,1,0,1,0,Berabere,%51,36,9,15,2,2,426,356,"%83,6",13,2,13,5,7,1,1,"1,30",17,15,13,11,1,0,0
1.05.2022,Ç. Rizespor,Ev Sahibi,1,1,7,3,Mağlup,%55,42,11,8,4,7,486,419,"%86,2",28,2,19,5,9,5,0,"1,95",26,8,7,8,1,0,0
7.05.2022,F. Karagümrük,Deplasman,1,0,3,1,Mağlup,%41,38,7,9,2,4,350,281,"%80,3",8,1,5,1,2,2,0,"0,65",6,9,20,10,1,0,0
15.05.2022,Beşiktaş,Ev Sahibi,0,0,2,2,Mağlup,%63,34,10,9,3,5,460,388,"%84,3",28,11,18,7,8,3,0,"1,44",25,9,6,20,6,0,1
22.05.2022,Adana Demirspor,Deplasman,0,0,7,5,Mağlup,%42,29,5,14,1,1,390,323,"%82,8",8,2,6,1,5,0,1,"0,27",14,14,11,8,2,0,0
12.09.2020,Denizlispor,Ev Sahibi,5,3,1,0,Galip,%42,43,11,13,0,4,338,280,"%82,8",16,5,11,6,5,0,1,"2,24",15,13,23,15,0,0,0
18.09.2020,Yeni Malatyaspor,Deplasman,1,1,1,1,Berabere,%49,40,12,14,1,6,360,273,"%75,8",18,4,3,1,2,0,0,"1,16",12,14,15,18,3,0,0
26.09.2020,Gaziantep FK,Ev Sahibi,2,0,2,1,Berabere,%53,32,7,11,2,2,413,322,"%78,0",20,3,13,4,7,2,1,"2,50",17,11,14,19,3,0,0
3.10.2020,Başakşehir,Deplasman,0,0,0,0,Berabere,%35,49,17,12,1,3,296,216,"%73,0",14,2,2,0,1,1,0,"0,09",9,12,21,12,2,0,0
18.10.2020,Fenerbahçe,Ev Sahibi,2,1,3,2,Mağlup,%46,59,20,12,1,4,370,285,"%77,0",19,4,8,5,2,1,0,"2,20",21,12,22,10,3,0,0
23.10.2020,Kasımpaşa,Deplasman,0,0,0,0,Berabere,%41,55,12,8,1,4,351,267,"%76,1",14,2,3,0,1,2,0,"0,47",12,8,30,12,1,0,0
7.11.2020,Erzurumspor FK,Deplasman,1,1,1,0,Berabere,%46,49,13,8,1,3,375,290,"%77,3",23,2,11,3,8,0,1,"1,69",19,8,16,11,0,0,0
22.11.2020,Ankaragücü,Ev Sahibi,3,1,1,0,Galip,%54,47,8,7,2,4,429,351,"%81,8",14,0,11,4,4,3,1,"3,33",22,7,10,17,2,0,0
30.11.2020,Sivasspor,Deplasman,1,0,0,0,Galip,%45,36,12,9,2,2,366,288,"%78,7",16,2,6,1,4,1,0,"0,86",12,9,21,13,3,0,0
5.12.2020,Kayserispor,Ev Sahibi,1,0,1,0,Berabere,%66,40,9,8,1,6,564,478,"%84,8",20,6,6,2,3,1,0,"1,15",17,8,9,13,2,0,0
9.12.2020,Alanyaspor,Ev Sahibi,1,0,0,0,Galip,%35,38,7,10,3,4,271,182,"%67,2",12,5,9,5,3,1,0,"1,73",19,10,17,15,2,0,0
12.12.2020,Ç. Rizespor,Deplasman,2,0,3,1,Mağlup,%50,51,16,9,2,4,400,309,"%77,3",18,5,12,5,4,3,0,"1,76",16,9,9,16,5,0,0
19.12.2020,Hatayspor,Ev Sahibi,0,0,1,0,Mağlup,%55,45,9,14,2,2,411,322,"%78,3",17,3,8,2,6,0,2,"1,68",15,14,8,18,3,0,0
22.12.2020,Galatasaray,Deplasman,1,1,3,2,Mağlup,%39,43,20,18,3,7,347,255,"%73,5",19,5,12,5,5,2,0,"1,76",15,18,8,9,1,0,0
26.12.2020,F. Karagümrük,Ev Sahibi,1,1,1,0,Berabere,%41,42,12,12,4,6,385,305,"%79,2",17,7,10,2,6,2,0,"2,39",35,12,27,16,1,0,0
6.01.2021,Trabzonspor,Deplasman,0,0,1,1,Mağlup,%40,63,12,13,0,5,416,334,"%80,3",21,1,7,4,2,1,0,"0,62",19,13,18,15,3,0,0
9.01.2021,Antalyaspor,Ev Sahibi,0,0,1,0,Mağlup,%64,45,9,4,1,8,529,458,"%86,6",25,3,7,2,2,3,0,"1,60",25,4,5,16,3,0,0
16.01.2021,Konyaspor,Deplasman,3,2,2,0,Galip,%37,46,17,10,2,5,288,199,"%69,1",14,3,6,5,1,0,0,"1,09",16,10,32,8,1,0,0
19.01.2021,Gençlerbirliği,Ev Sahibi,4,3,0,0,Galip,%57,51,13,7,0,2,578,500,"%86,5",18,5,12,6,6,0,0,"3,45",25,7,4,9,1,0,0
24.01.2021,Beşiktaş,Deplasman,1,1,2,0,Mağlup,%30,61,15,17,2,2,269,183,"%68,0",11,2,6,3,1,2,0,"0,35",10,17,19,17,3,0,0
31.01.2021,Denizlispor,Deplasman,1,0,2,1,Mağlup,%65,57,15,12,3,5,516,407,"%78,9",16,3,4,2,1,1,0,"0,83",11,12,3,13,1,0,0
4.02.2021,Yeni Malatyaspor,Ev Sahibi,2,1,2,1,Berabere,%66,45,15,14,2,10,511,439,"%85,9",38,9,25,7,10,8,0,"2,74",30,14,4,18,0,0,0
8.02.2021,Gaziantep FK,Deplasman,0,0,2,0,Mağlup,%62,50,11,11,5,2,518,444,"%85,7",15,1,6,4,2,0,0,"0,56",12,11,14,14,0,0,0
14.02.2021,Başakşehir,Ev Sahibi,2,1,1,0,Galip,%41,57,22,13,2,3,356,276,"%77,5",20,7,13,6,5,2,1,"2,02",14,13,22,12,1,0,0
21.02.2021,Fenerbahçe,Deplasman,1,1,0,0,Galip,%32,64,18,10,0,1,268,166,"%61,9",6,0,6,2,3,1,0,"1,09",8,10,35,18,2,0,0
28.02.2021,Kasımpaşa,Ev Sahibi,1,1,0,0,Galip,%52,43,9,19,4,3,547,462,"%84,5",11,2,5,1,3,1,0,"0,70",10,19,20,15,2,1,0
