Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2023,Pendikspor,Deplasman,5,2,1,0,Galip,%41,46,13,7,3,2,368,289,"%78,5",6,0,18,9,4,5,1,"3,08",19,7,9,18,1,0,0
19.08.2023,Kasımpaşa,Ev Sahibi,0,0,0,0,Berabere,%67,51,15,6,3,3,593,515,"%86,8",15,4,10,2,7,1,0,"0,58",24,6,15,8,0,0,0
27.08.2023,Alanyaspor,Deplasman,0,0,0,0,Berabere,%39,36,14,6,1,1,313,232,"%74,1",5,1,6,0,3,3,0,"0,21",11,6,24,17,3,0,0
3.09.2023,Adana Demirspor,Ev Sahibi,3,0,3,1,Berabere,%34,36,7,7,1,3,271,207,"%76,4",7,1,11,6,4,1,0,"1,41",9,7,17,19,6,0,0
18.09.2023,F. Karagümrük,Deplasman,0,0,0,0,Berabere,%55,56,15,3,2,3,511,422,"%82,6",20,10,18,4,11,3,1,"2,44",27,3,23,9,2,0,0
25.09.2023,Trabzonspor,Ev Sahibi,3,0,2,1,Galip,%54,61,18,8,2,9,361,294,"%81,4",24,6,10,3,2,5,1,"0,67",23,8,10,21,6,0,0
30.09.2023,Sivasspor,Deplasman,0,0,0,0,Berabere,%53,38,9,10,1,7,418,354,"%84,7",25,2,4,1,3,0,1,"0,17",18,10,10,20,3,0,0
08.10.2023,Konyaspor,Ev Sahibi,3,1,1,1,Galip,%39,38,9,17,1,3,349,283,"%81,1",12,4,8,4,2,2,0,"1,18",21,17,9,19,2,0,0
22.10.2023,Fenerbahçe,Deplasman,2,0,4,3,Mağlup,%45,42,6,7,1,5,317,231,"%72,9",12,3,8,5,2,1,0,"0,77",11,7,10,14,4,0,0
27.10.2023,Kayserispor,Ev Sahibi,1,0,2,1,Mağlup,%56,56,20,8,0,12,400,306,"%76,5",34,12,19,10,5,4,0,"2,57",43,8,10,9,5,0,0
