Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2017,Gençlerbirliği,Deplasman,1,1,1,1,Berabere,%56,69,31,15,4,1,354,222,"%62,7",11,2,6,1,5,0,1,0,10,15,24,16,3,0,0
19.08.2017,Başakşehir,Ev Sahibi,3,2,1,1,Galip,%37,47,12,14,3,5,332,228,"%68,7",16,5,12,3,6,3,0,0,22,14,12,14,2,0,0
25.08.2017,Alanyaspor,Deplasman,1,1,1,0,Berabere,%50,58,12,17,2,2,433,317,"%73,2",14,4,15,6,6,3,1,0,13,17,30,26,5,0,0
9.09.2017,Beşiktaş,Ev Sahibi,0,0,1,0,Mağlup,%49,57,16,7,1,3,339,228,"%67,3",16,5,15,5,9,1,1,0,18,7,11,20,3,0,0
16.09.2017,Akhisarspor,Deplasman,1,1,2,1,Mağlup,%60,56,21,8,2,3,518,409,"%79,0",13,5,14,5,4,5,0,0,13,8,24,18,3,0,0
24.09.2017,Yeni Malatyaspor,Ev Sahibi,2,0,4,3,Mağlup,%68,65,27,12,3,4,453,357,"%78,8",27,6,18,5,9,4,0,0,19,12,24,25,2,0,0
30.09.2017,Galatasaray,Deplasman,2,1,3,2,Mağlup,%40,50,12,21,2,3,359,266,"%74,1",15,2,7,4,2,1,0,0,19,21,25,9,3,0,0
14.10.2017,Kayserispor,Ev Sahibi,1,0,0,0,Galip,%35,41,18,17,5,4,298,194,"%65,1",11,3,9,5,1,3,0,0,11,17,22,26,4,1,0
21.10.2017,Sincan Bld Ankaraspor,Deplasman,0,0,3,0,Mağlup,%53,43,10,10,3,5,439,343,"%78,1",14,4,13,3,6,4,1,0,20,10,10,17,1,0,0
29.10.2017,Sivasspor,Ev Sahibi,0,0,1,0,Mağlup,%65,44,10,9,5,7,416,359,"%86,3",31,5,10,2,5,3,0,"0,40",20,9,7,6,4,0,0
4.11.2017,Antalyaspor,Deplasman,1,0,2,1,Mağlup,%55,65,18,15,0,9,450,355,"%78,9",23,5,16,5,7,4,0,"1,92",21,15,16,10,2,0,1
20.11.2017,Kasımpaşa,Ev Sahibi,0,0,2,0,Mağlup,%54,58,16,11,2,6,451,360,"%79,8",35,5,14,3,7,4,0,"1,05",31,11,14,12,1,0,0
26.11.2017,Bursaspor,Deplasman,1,0,2,2,Mağlup,%60,57,15,11,8,7,508,433,"%85,2",18,3,16,5,8,3,1,"1,41",17,11,14,16,4,0,0
2.12.2017,Göztepe,Ev Sahibi,0,0,1,0,Mağlup,%60,76,24,10,3,14,450,337,"%74,9",34,10,20,8,7,5,1,"2,48",26,10,11,11,2,0,0
11.12.2017,Konyaspor,Deplasman,0,0,2,1,Mağlup,%58,68,19,9,2,2,465,353,"%75,9",21,4,12,2,6,4,0,"0,92",12,9,17,18,4,0,0
18.12.2017,Fenerbahçe,Deplasman,0,0,2,0,Mağlup,%37,60,18,15,1,6,301,217,"%72,1",19,1,12,4,4,4,0,"0,52",14,15,26,20,6,0,0
24.12.2017,Trabzonspor,Ev Sahibi,1,0,1,0,Berabere,%42,56,16,14,1,5,294,187,"%63,6",23,7,12,4,7,1,0,"1,15",17,14,28,23,6,0,0
20.01.2018,Gençlerbirliği,Ev Sahibi,0,0,2,0,Mağlup,%56,71,13,10,0,7,446,331,"%74,2",31,4,12,4,4,4,0,"0,65",13,10,17,17,2,0,0
29.01.2018,Başakşehir,Deplasman,0,0,5,5,Mağlup,%29,33,1,10,0,0,365,285,"%78,1",12,2,4,2,2,0,0,"0,16",9,10,18,6,1,0,0
3.02.2018,Alanyaspor,Ev Sahibi,1,0,0,0,Galip,%50,54,18,12,2,8,363,275,"%75,8",20,4,11,4,4,3,0,"1,06",22,12,25,13,6,0,0
10.02.2018,Beşiktaş,Deplasman,0,0,5,2,Mağlup,%33,47,9,16,1,5,319,229,"%71,8",17,4,6,0,5,1,0,"0,29",7,16,18,14,1,0,0
18.02.2018,Akhisarspor,Ev Sahibi,0,0,3,1,Mağlup,%50,68,19,21,2,2,418,305,"%73,0",18,6,14,2,8,4,0,"1,26",21,21,16,19,4,0,0
25.02.2018,Yeni Malatyaspor,Deplasman,1,0,3,1,Mağlup,%46,47,9,6,1,5,438,376,"%85,8",15,2,15,6,4,5,0,"1,97",18,6,19,15,4,0,0
3.03.2018,Galatasaray,Ev Sahibi,0,0,7,6,Mağlup,%34,31,4,15,6,4,318,252,"%79,2",12,1,7,1,6,0,0,"0,27",8,15,19,10,2,0,0
11.03.2018,Kayserispor,Deplasman,2,1,3,1,Mağlup,%32,55,13,6,1,2,269,184,"%68,4",9,2,4,3,1,0,0,"0,32",8,6,34,13,2,1,0
16.03.2018,Sincan Bld Ankaraspor,Ev Sahibi,0,0,4,2,Mağlup,%53,59,18,11,3,3,464,374,"%80,6",17,4,16,2,10,4,1,"0,91",13,11,12,11,2,0,0
30.03.2018,Sivasspor,Deplasman,0,0,1,0,Mağlup,%41,58,13,14,1,1,385,296,"%76,9",15,3,6,2,4,0,0,0,9,14,21,15,3,0,0
7.04.2018,Antalyaspor,Ev Sahibi,1,0,2,1,Mağlup,%51,65,18,7,4,3,419,339,"%80,9",24,3,7,4,3,0,0,"1,11",12,7,21,17,1,0,0
14.04.2018,Kasımpaşa,Deplasman,0,0,2,0,Mağlup,%43,62,8,8,0,7,405,331,"%81,7",20,3,8,2,4,2,0,"0,30",6,8,25,17,2,0,0
21.04.2018,Bursaspor,Ev Sahibi,1,1,4,2,Mağlup,%48,68,18,8,2,2,436,345,"%79,1",11,0,8,4,3,1,0,"1,55",12,8,20,15,2,0,1
27.04.2018,Göztepe,Deplasman,0,0,5,2,Mağlup,%44,45,15,11,0,2,466,391,"%83,9",11,3,10,2,6,2,0,"0,40",11,11,22,4,1,0,0
5.05.2018,Konyaspor,Ev Sahibi,0,0,1,1,Mağlup,%45,44,13,8,1,1,404,326,"%80,7",11,0,4,0,2,2,0,"0,18",6,8,25,17,5,0,0
14.05.2018,Fenerbahçe,Ev Sahibi,0,0,7,4,Mağlup,%39,63,7,12,2,2,420,351,"%83,6",15,2,10,3,4,3,0,"0,89",12,12,20,10,2,0,0
18.05.2018,Trabzonspor,Deplasman,0,0,3,0,Mağlup,%47,49,14,13,3,9,379,301,"%79,4",20,2,10,5,4,1,0,"0,80",9,13,22,15,3,0,0
22.08.2016,Galatasaray,Deplasman,0,0,1,0,Mağlup,%32,49,15,25,3,3,300,209,"%69,7",10,2,16,5,11,0,0,0,16,25,8,13,1,0,0
28.08.2016,Ç. Rizespor,Ev Sahibi,3,1,0,0,Galip,%50,51,11,12,4,15,377,286,"%75,9",28,7,22,9,5,8,0,0,30,12,8,22,6,0,0
10.09.2016,Beşiktaş,Deplasman,1,0,3,2,Mağlup,%37,58,14,20,3,5,346,255,"%73,7",14,3,12,2,9,1,0,0,12,20,21,12,5,1,0
16.09.2016,Antalyaspor,Ev Sahibi,3,0,2,0,Galip,%55,57,15,11,1,6,432,333,"%77,1",17,5,8,4,3,1,0,0,23,11,12,20,3,0,0
25.09.2016,Gençlerbirliği,Deplasman,0,0,2,0,Mağlup,%37,47,13,16,0,3,289,193,"%66,8",14,5,8,1,4,3,0,0,10,16,18,25,2,0,1
1.10.2016,Trabzonspor,Ev Sahibi,4,0,0,0,Galip,%50,68,16,22,6,3,338,231,"%68,3",18,3,10,6,2,2,1,0,16,22,23,17,0,0,0
15.10.2016,Adanaspor,Deplasman,2,2,1,0,Galip,%47,47,19,14,0,6,365,279,"%76,4",20,6,16,6,6,4,0,0,26,14,19,25,3,0,0
23.10.2016,Başakşehir,Ev Sahibi,0,0,2,2,Mağlup,%53,76,18,19,2,4,440,326,"%74,1",35,10,11,1,5,5,0,0,27,19,11,17,2,0,0
30.10.2016,Fenerbahçe,Deplasman,0,0,5,2,Mağlup,%51,46,5,21,1,3,458,375,"%81,9",13,6,12,3,5,4,0,0,10,21,11,12,3,1,0
5.11.2016,Bursaspor,Ev Sahibi,0,0,0,0,Berabere,%49,66,26,31,6,5,427,319,"%74,7",22,6,11,2,8,1,0,0,27,31,35,20,2,0,0
20.11.2016,Kasımpaşa,Deplasman,2,2,2,1,Berabere,%47,48,4,16,0,6,381,306,"%80,3",29,7,9,6,2,1,0,0,16,16,21,18,3,0,0
26.11.2016,Gaziantepspor,Ev Sahibi,2,2,0,0,Galip,%63,32,8,15,1,6,575,485,"%84,3",21,6,18,7,8,3,0,0,28,15,24,20,1,0,0
4.12.2016,Sincan Bld Ankaraspor,Deplasman,1,1,2,2,Mağlup,%57,50,13,18,1,7,382,287,"%75,1",33,10,14,5,7,2,0,0,26,18,14,18,3,0,0
