Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2023,Ankaragücü,Ev Sahibi,3,1,2,0,Galip,%48,61,20,14,2,3,370,299,"%80,8",24,7,19,7,10,2,3,"1,40",20,14,28,8,1,0,0
19.08.2023,Hatayspor,Deplasman,0,0,0,0,Berabere,%33,49,11,15,3,1,286,210,"%73,4",6,1,11,2,6,3,1,"0,80",23,15,16,8,0,0,0
26.08.2023,Pendikspor,Ev Sahibi,1,0,1,1,Berabere,%48,60,18,12,3,9,418,326,"%78,0",32,4,10,3,4,3,0,"1,54",29,12,13,11,3,0,0
1.09.2023,Trabzonspor,Ev Sahibi,1,0,5,3,Mağlup,%50,55,16,5,3,9,374,270,"%72,2",27,5,19,6,12,1,1,"1,72",26,5,9,10,3,0,0
17.09.2023,Alanyaspor,Deplasman,3,1,3,2,Berabere,%46,61,27,15,1,7,414,324,"%78,3",22,10,18,5,10,3,0,"2,02",40,15,17,11,0,0,0
24.09.2023,Adana Demirspor,Ev Sahibi,2,1,1,0,Galip,%45,34,6,11,5,6,318,242,"%76,1",10,1,14,6,3,5,0,"1,48",22,11,18,20,4,0,0
1.10.2023,F. Karagümrük,Deplasman,3,3,2,1,Galip,%27,45,12,12,4,0,251,159,"%63,3",3,1,4,2,2,0,0,"0,23",5,12,38,14,3,0,0
8.10.2023,Fenerbahçe,Ev Sahibi,0,0,2,2,Mağlup,%38,41,10,9,0,1,356,239,"%67,1",10,2,5,1,2,2,0,"0,18",8,9,29,13,3,0,0
22.10.2023,Sivasspor,Deplasman,1,0,0,0,Galip,%40,40,9,17,2,8,290,222,"%76,6",19,3,17,6,7,4,0,"1,56",18,17,34,9,2,0,0
27.10.2023,İstanbulspor,Ev Sahibi,3,1,1,0,Galip,%38,54,15,12,1,8,308,222,"%72,1",21,4,19,11,3,5,0,"1,90",24,12,17,13,2,0,0
3.11.2023,Galatasaray,Deplasman,1,0,2,1,Mağlup,%37,51,17,8,3,3,282,179,"%63,5",9,1,12,5,5,2,0,"0,94",13,8,24,12,3,0,0
11.11.2023,Kayserispor,Ev Sahibi,3,1,4,3,Mağlup,%54,59,19,4,4,6,479,386,"%80,6",26,5,19,9,8,2,0,"2,28",30,4,15,4,0,0,0
25.11.2023,Konyaspor,Deplasman,0,0,2,0,Mağlup,%48,46,18,6,1,9,333,239,"%71,8",26,5,10,1,5,4,0,"1,05",26,6,14,13,1,0,0
3.12.2023,Gaziantep FK,Ev Sahibi,4,3,2,0,Galip,%48,55,19,10,3,5,364,270,"%74,2",21,6,25,7,9,9,1,"1,82",46,10,21,19,5,0,1
9.12.2023,Samsunspor,Deplasman,2,0,4,2,Mağlup,%63,60,27,3,5,4,500,358,"%71,6",21,6,11,4,4,3,1,"1,27",25,3,18,9,0,0,0
20.12.2023,Antalyaspor,Deplasman,0,0,0,0,Berabere,%48,57,19,12,0,11,355,251,"%70,7",24,7,8,3,4,1,0,"0,33",21,12,14,11,2,0,0
25.12.2023,Ç. Rizespor,Ev Sahibi,2,1,2,1,Berabere,%53,50,14,11,1,3,432,340,"%78,7",28,9,21,8,9,4,0,"1,77",28,11,20,9,0,0,0
5.01.2024,Beşiktaş,Deplasman,3,1,1,1,Galip,%44,50,14,15,1,3,297,217,"%73,1",20,7,14,7,7,0,3,"1,27",20,15,20,13,2,0,0
9.01.2024,Başakşehir,Ev Sahibi,0,0,3,1,Mağlup,%55,47,19,3,1,6,463,366,"%79,0",25,5,15,0,7,8,0,"0,76",21,3,6,16,2,0,0
13.01.2024,Ankaragücü,Deplasman,1,1,3,1,Mağlup,%64,63,25,4,0,5,531,434,"%81,7",31,8,16,2,13,1,1,"1,47",26,4,15,15,1,0,0
