Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2023,Galatasaray,Ev Sahibi,0,0,0,0,Berabere,%39,40,16,11,3,3,314,224,"%71,3",13,2,13,3,8,2,1,"0,92",14,11,19,13,2,0,0
18.08.2023,İstanbulspor,Deplasman,1,0,1,0,Berabere,%53,39,10,8,1,6,487,415,"%85,2",21,4,9,4,3,2,0,"0,66",21,8,17,11,0,0,0
27.08.2023,Samsunspor,Ev Sahibi,2,2,1,1,Galip,%54,48,17,3,2,3,484,414,"%85,5",14,3,13,4,8,1,0,"1,22",21,3,17,7,0,0,0
2.09.2023,Antalyaspor,Deplasman,1,1,1,1,Berabere,%45,43,12,8,2,3,378,307,"%81,2",8,3,7,2,2,3,0,"0,27",11,8,25,11,3,0,0
16.09.2023,Gaziantep FK,Ev Sahibi,2,1,0,0,Galip,%53,53,15,6,4,3,449,371,"%82,6",15,5,10,4,3,3,0,"2,45",24,6,27,11,0,0,0
24.09.2023,Beşiktaş,Deplasman,1,0,2,0,Mağlup,%37,36,7,15,6,2,341,255,"%74,8",10,4,7,1,5,1,0,"0,85",9,15,21,9,0,0,0
2.10.2023,Başakşehir,Ev Sahibi,0,0,0,0,Berabere,%52,41,8,7,2,10,412,321,"%77,9",30,5,15,2,5,8,1,"1,08",26,7,11,6,2,0,0
7.10.2023,Ankaragücü,Deplasman,0,0,3,0,Mağlup,%53,32,8,18,2,3,544,454,"%83,5",19,5,5,2,3,0,1,"0,27",29,18,6,10,0,0,0
21.10.2023,Ç. Rizespor,Ev Sahibi,3,1,1,0,Galip,%60,48,14,4,3,5,441,370,"%83,9",25,5,20,8,6,6,0,"3,24",34,4,6,13,5,0,0
27.10.2023,Hatayspor,Deplasman,2,1,1,0,Galip,%44,56,24,14,4,1,331,250,"%75,5",11,3,7,2,3,2,0,"0,66",16,14,42,15,0,0,0
6.11.2023,Alanyaspor,Ev Sahibi,1,0,0,0,Galip,%57,34,12,8,3,8,487,423,"%86,9",33,7,12,4,5,3,2,"1,58",25,8,16,17,1,0,0
11.11.2023,Kasımpaşa,Deplasman,4,3,3,1,Galip,%46,37,5,7,2,4,409,324,"%79,2",24,5,9,6,2,1,1,"1,57",21,7,25,15,1,0,0
26.11.2023,Adana Demirspor,Ev Sahibi,1,0,1,1,Berabere,%53,34,8,10,3,9,413,356,"%86,2",32,9,13,4,9,0,1,"1,33",28,10,12,23,3,0,0
3.12.2023,Trabzonspor,Deplasman,1,0,0,0,Galip,%44,47,20,12,3,2,370,280,"%75,7",19,4,9,4,3,2,0,"0,49",17,12,14,15,2,0,0
10.12.2023,Pendikspor,Ev Sahibi,2,0,0,0,Galip,%56,48,16,5,3,4,505,419,"%83,0",21,7,11,4,4,3,0,"1,88",22,5,19,9,0,0,0
20.12.2023,Fenerbahçe,Ev Sahibi,3,1,4,2,Mağlup,%51,47,14,12,2,5,377,272,"%72,1",18,4,14,6,4,4,0,"2,09",20,12,22,22,2,0,0
24.12.2023,Konyaspor,Deplasman,0,0,2,0,Mağlup,%61,50,21,12,1,5,437,361,"%82,6",13,2,13,4,5,4,1,"1,01",14,12,13,19,4,0,0
7.01.2024,Sivasspor,Ev Sahibi,1,1,3,1,Mağlup,%65,47,19,9,0,7,451,380,"%84,3",37,2,17,4,9,4,0,"1,55",26,9,16,9,4,0,0
10.01.2024,F. Karagümrük,Deplasman,1,1,4,3,Mağlup,%60,46,13,7,1,3,537,448,"%83,4",14,6,13,6,6,1,0,"1,81",24,7,29,10,2,0,0
15.01.2024,Galatasaray,Deplasman,1,0,2,1,Mağlup,%41,51,16,8,3,5,311,208,"%66,9",11,4,10,4,3,3,0,"1,85",20,8,18,17,6,0,0
22.01.2024,İstanbulspor,Ev Sahibi,0,0,1,0,Mağlup,%65,51,11,9,1,5,606,512,"%84,5",22,5,9,3,2,4,0,"0,50",18,9,10,15,2,0,0
25.01.2024,Samsunspor,Deplasman,0,0,2,1,Mağlup,%61,45,12,12,4,5,553,435,"%78,7",12,4,8,2,3,3,0,"0,48",16,12,17,12,0,0,0
29.01.2024,Antalyaspor,Ev Sahibi,1,0,1,1,Berabere,%49,58,21,15,2,6,386,283,"%73,3",25,5,15,5,9,1,0,"1,48",23,15,34,13,2,0,0
3.02.2024,Gaziantep FK,Deplasman,1,1,1,0,Berabere,%53,47,10,9,3,4,462,368,"%79,7",19,2,15,4,7,4,1,"0,99",18,9,28,12,4,0,0
12.02.2024,Beşiktaş,Ev Sahibi,0,0,0,0,Berabere,%54,47,11,6,2,7,408,330,"%80,9",23,3,14,4,6,4,1,"1,12",22,6,14,17,3,0,0
19.02.2024,Başakşehir,Deplasman,3,2,2,0,Galip,%43,41,18,7,2,3,328,232,"%70,7",14,3,14,7,4,3,1,"1,56",16,7,28,26,4,0,0
24.02.2024,Ankaragücü,Ev Sahibi,3,0,2,2,Galip,%65,44,13,12,0,4,526,437,"%83,1",24,8,10,4,3,3,0,"0,78",13,12,8,10,4,0,0
2.03.2024,Ç. Rizespor,Deplasman,0,0,3,0,Mağlup,%61,36,13,6,0,2,495,405,"%81,8",12,4,16,6,8,2,0,"1,54",20,6,17,14,4,0,0
10.03.2024,Hatayspor,Ev Sahibi,1,1,1,1,Berabere,%60,51,14,11,3,3,464,374,"%80,6",21,4,21,3,10,8,1,"1,75",23,11,19,10,3,0,1
16.03.2024,Alanyaspor,Deplasman,0,0,1,0,Mağlup,%50,46,16,7,2,3,498,402,"%80,7",10,5,13,3,6,4,1,"0,88",20,7,14,18,3,0,0
3.04.2024,Kasımpaşa,Ev Sahibi,0,0,2,1,Mağlup,%56,34,10,13,2,6,456,362,"%79,4",20,7,15,3,5,7,0,"0,86",21,13,10,14,2,1,0
13.04.2024,Adana Demirspor,Deplasman,0,0,0,0,Berabere,%46,38,9,12,0,2,360,290,"%80,6",9,3,13,4,8,1,0,"0,67",18,12,23,12,1,0,0
20.04.2024,Trabzonspor,Ev Sahibi,1,0,2,1,Mağlup,%55,41,11,5,0,4,433,359,"%82,9",20,6,17,3,7,7,0,"1,57",22,5,5,13,0,0,0
28.04.2024,Pendikspor,Deplasman,2,1,1,1,Galip,%39,39,15,8,1,5,332,243,"%73,2",14,2,10,2,6,2,0,"0,57",12,8,38,14,3,1,0
