Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2023,İstanbulspor,Ev Sahibi,1,0,1,1,Berabere,%59,45,15,11,0,10,428,371,"%86,7",40,10,16,2,13,1,0,"1,60",28,11,5,14,3,0,1
18.08.2023,Antalyaspor,Deplasman,1,0,1,0,Berabere,%36,44,10,16,2,5,302,229,"%75,8",15,4,7,3,2,2,0,"1,02",16,16,25,11,2,0,0
25.08.2023,Gaziantep FK,Ev Sahibi,2,0,0,0,Galip,%52,37,12,11,1,10,388,317,"%81,7",25,8,17,7,7,3,0,"1,88",27,11,13,9,1,0,0
2.09.2023,Başakşehir,Deplasman,1,0,0,0,Galip,%50,38,10,4,0,4,492,427,"%86,8",14,3,12,4,5,3,1,"0,85",15,4,11,12,2,0,0
16.09.2023,Ç. Rizespor,Ev Sahibi,1,1,2,0,Mağlup,%40,54,12,5,1,2,326,245,"%75,2",9,3,7,4,0,3,0,"0,49",13,5,19,12,2,0,0
24.09.2023,Ankaragücü,Deplasman,1,1,1,1,Berabere,%45,50,15,10,2,2,374,275,"%73,5",12,3,6,1,2,3,0,"0,33",15,10,21,9,1,0,0
1.10.2023,Beşiktaş,Ev Sahibi,0,0,2,1,Mağlup,%39,42,13,9,5,2,363,292,"%80,4",16,4,6,3,1,2,0,"0,24",15,9,17,13,1,1,0
08.10.2023,Hatayspor,Deplasman,1,1,3,1,Mağlup,%61,40,6,7,5,2,568,500,"%88,0",13,3,7,4,3,0,0,"0,52",13,7,11,10,0,0,0
21.10.2023,Pendikspor,Ev Sahibi,1,0,2,0,Mağlup,%61,38,7,9,7,5,605,530,"%87,6",23,5,16,7,7,2,0,"1,21",26,9,3,4,2,0,0
28.10.2023,Adana Demirspor,Deplasman,0,0,3,0,Mağlup,%37,45,13,12,4,5,293,228,"%77,8",9,3,14,3,9,2,0,"0,60",14,12,15,9,1,0,0
5.11.2023,F. Karagümrük,Ev Sahibi,1,0,1,0,Berabere,%54,58,23,14,3,2,428,339,"%79,2",19,5,11,3,5,3,1,"1,97",13,14,12,12,2,0,0
10.11.2023,Trabzonspor,Deplasman,1,0,2,0,Mağlup,%39,46,9,10,1,4,288,204,"%70,8",17,3,16,3,11,2,1,"1,70",21,10,16,14,3,0,0
25.11.2023,Kasımpaşa,Ev Sahibi,2,0,0,0,Galip,%52,46,13,5,0,2,370,281,"%75,9",17,2,18,7,8,3,0,"1,86",19,5,30,11,0,0,0
2.12.2023,Alanyaspor,Deplasman,2,1,2,2,Berabere,%41,47,12,6,0,6,322,249,"%77,3",16,4,13,5,4,4,0,"1,29",18,6,24,18,2,0,0
11.12.2023,Sivasspor,Ev Sahibi,0,0,1,1,Mağlup,%65,61,13,12,2,7,595,526,"%88,4",40,10,14,1,7,6,1,"0,83",34,12,14,8,3,0,0
21.12.2023,Samsunspor,Deplasman,1,1,1,0,Berabere,%51,72,29,11,6,8,316,188,"%59,5",20,4,14,2,7,5,0,"1,51",24,11,26,11,0,0,0
