Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
16.08.2015,Beşiktaş,Ev Sahibi,2,1,5,2,Mağlup,%46,28,6,19,1,4,372,305,"%82,0",13,5,18,7,7,4,1,0,20,19,10,21,2,1,0
22.08.2015,Akhisarspor,Deplasman,0,0,2,0,Mağlup,%60,40,12,11,5,5,484,385,"%79,5",26,5,10,3,4,3,0,0,23,11,14,18,2,0,1
29.08.2015,Kayserispor,Ev Sahibi,1,0,2,0,Mağlup,%63,56,9,14,4,6,436,341,"%78,2",22,4,12,4,6,2,0,0,18,14,9,19,2,0,0
12.09.2015,Galatasaray,Deplasman,1,0,1,0,Berabere,%41,70,22,18,7,0,267,178,"%66,7",13,4,11,2,5,4,0,0,11,18,19,22,4,1,0
18.09.2015,Sincan Bld Ankaraspor,Ev Sahibi,0,0,4,2,Mağlup,%62,58,20,15,2,5,462,358,"%77,5",23,5,16,2,9,5,1,0,16,15,6,20,3,0,0
27.09.2015,Konyaspor,Deplasman,0,0,2,1,Mağlup,%52,61,20,19,2,1,413,315,"%76,3",22,6,7,2,5,0,0,0,17,19,6,24,3,0,0
2.10.2015,Sivasspor,Deplasman,2,0,2,2,Berabere,%64,57,24,18,5,4,455,359,"%78,9",20,8,21,4,11,6,0,0,27,18,12,14,2,0,0
19.10.2015,Trabzonspor,Ev Sahibi,3,2,2,0,Galip,%39,45,18,22,1,2,261,169,"%64,8",13,3,8,4,3,1,0,0,8,22,29,14,5,1,0
24.10.2015,Gaziantepspor,Deplasman,0,0,1,0,Mağlup,%42,50,18,14,2,10,337,241,"%71,5",29,5,14,6,6,2,0,0,16,14,6,13,2,0,0
29.10.2015,Başakşehir,Ev Sahibi,1,1,1,0,Berabere,%39,36,8,23,2,3,310,214,"%69,0",15,4,9,3,3,3,0,0,11,23,23,12,3,1,0
