Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2023,Hatayspor,Ev Sahibi,1,0,5,2,Mağlup,%59,50,11,5,4,4,515,435,"%84,5",18,2,7,4,3,0,1,"0,77",10,5,5,10,0,0,0
20.08.2023,Beşiktaş,Deplasman,1,0,1,1,Berabere,%39,43,10,9,3,4,327,246,"%75,2",17,5,12,1,7,4,0,"1,16",16,9,21,9,4,0,0
26.08.2023,Kasımpaşa,Deplasman,1,1,1,0,Berabere,%52,57,19,11,0,2,477,393,"%82,4",12,1,17,6,8,3,0,"1,71",21,11,31,19,1,1,0
2.09.2023,Alanyaspor,Ev Sahibi,1,0,1,0,Berabere,%59,46,11,5,1,8,537,443,"%82,5",33,9,10,2,6,2,0,"0,85",21,5,12,9,3,0,0
16.09.2023,Adana Demirspor,Deplasman,0,0,3,2,Mağlup,%60,38,10,13,2,6,559,492,"%88,0",22,4,15,5,4,6,0,"1,19",26,13,12,6,3,0,0
23.09.2023,F. Karagümrük,Ev Sahibi,1,1,1,0,Berabere,%46,34,3,8,3,5,442,359,"%81,2",14,4,9,4,3,2,0,"1,85",12,8,18,13,0,0,0
30.09.2023,Trabzonspor,Deplasman,1,1,2,2,Mağlup,%63,46,10,7,0,2,565,492,"%87,1",13,4,9,4,4,1,0,"0,98",19,7,7,8,1,0,0
7.10.2023,Sivasspor,Ev Sahibi,2,0,3,1,Mağlup,%68,46,10,4,0,9,608,548,"%90,1",29,5,16,5,7,4,0,"1,43",26,4,10,14,4,0,0
21.10.2023,Konyaspor,Deplasman,2,0,1,0,Galip,%39,35,12,9,4,2,391,317,"%81,1",10,4,8,3,4,1,0,"2,32",15,9,33,13,3,0,0
29.10.2023,Fenerbahçe,Ev Sahibi,0,0,5,2,Mağlup,%38,41,5,7,4,0,352,275,"%78,1",3,1,2,0,2,0,0,"0,55",4,7,21,7,1,0,0
4.11.2023,İstanbulspor,Deplasman,4,2,2,1,Galip,%46,56,12,7,1,7,318,255,"%80,2",25,6,26,11,9,6,1,"3,03",30,7,33,8,3,0,0
12.11.2023,Samsunspor,Ev Sahibi,1,0,0,0,Galip,%50,68,14,5,2,4,356,273,"%76,7",21,2,9,4,3,2,0,"0,93",9,5,32,9,1,0,0
27.11.2023,Başakşehir,Deplasman,1,1,4,1,Mağlup,%44,43,13,10,2,4,405,335,"%82,7",18,2,13,3,6,4,0,"1,04",18,10,12,14,2,0,0
2.12.2023,Galatasaray,Ev Sahibi,0,0,2,0,Mağlup,%29,38,8,11,3,2,226,145,"%64,2",15,5,8,0,6,2,1,"0,46",10,11,23,8,2,0,0
10.12.2023,Kayserispor,Deplasman,0,0,2,0,Mağlup,%44,45,9,10,0,5,383,293,"%76,5",26,5,10,4,4,2,0,"1,40",21,10,23,9,1,0,0
21.12.2023,Ç. Rizespor,Deplasman,1,1,5,3,Mağlup,%45,31,4,6,0,6,392,321,"%81,9",19,3,10,5,4,1,0,"1,13",9,6,13,10,2,1,0
25.12.2023,Ankaragücü,Ev Sahibi,1,0,1,1,Berabere,%54,54,10,9,4,5,426,341,"%80,0",32,11,13,3,5,5,0,"1,52",22,9,13,10,0,0,0
5.01.2024,Gaziantep FK,Deplasman,2,0,2,1,Berabere,%53,54,17,5,7,5,452,376,"%83,2",27,5,8,3,3,2,0,"2,10",17,5,16,17,5,0,0
9.01.2024,Antalyaspor,Ev Sahibi,0,0,1,1,Mağlup,%56,62,16,9,3,5,445,339,"%76,2",27,4,14,3,9,2,0,"1,31",21,9,14,10,2,0,0
13.01.2024,Hatayspor,Deplasman,1,0,1,0,Berabere,%51,52,16,8,0,6,428,348,"%81,3",22,4,12,2,7,3,0,"1,66",32,8,21,10,1,0,0
20.01.2024,Beşiktaş,Ev Sahibi,4,1,0,0,Galip,%35,42,11,4,4,1,293,216,"%73,7",6,2,9,5,4,0,0,"1,24",13,4,31,10,1,0,0
23.01.2024,Kasımpaşa,Ev Sahibi,3,2,2,2,Galip,%54,38,12,10,6,6,422,336,"%79,6",26,3,10,5,2,3,0,"1,82",18,10,15,12,2,0,0
27.01.2024,Alanyaspor,Deplasman,1,0,1,0,Berabere,%45,45,18,8,3,5,357,270,"%75,6",20,2,10,3,4,3,0,"0,73",21,8,19,15,1,0,0
4.02.2024,Adana Demirspor,Ev Sahibi,2,2,1,0,Galip,%45,54,14,11,1,7,349,255,"%73,1",19,7,17,6,7,4,0,"1,48",29,11,28,20,3,0,1
10.02.2024,F. Karagümrük,Deplasman,0,0,2,1,Mağlup,%44,39,11,14,1,9,327,217,"%66,4",27,3,8,1,4,3,0,"0,42",15,14,10,17,0,0,0
18.02.2024,Trabzonspor,Ev Sahibi,0,0,2,0,Mağlup,%44,51,17,13,2,4,353,242,"%68,6",21,10,11,0,7,4,0,"0,76",19,13,20,12,0,0,0
25.02.2024,Sivasspor,Deplasman,1,1,4,1,Mağlup,%62,46,14,8,1,3,464,374,"%80,6",16,2,12,6,4,2,1,"1,04",23,8,12,14,4,0,0
3.03.2024,Konyaspor,Ev Sahibi,0,0,2,1,Mağlup,%54,48,20,13,1,4,428,341,"%79,7",17,6,9,0,7,2,0,"1,25",16,13,14,16,5,0,0
10.03.2024,Fenerbahçe,Deplasman,1,1,4,0,Mağlup,%33,70,24,14,0,1,250,154,"%61,6",10,3,4,2,2,0,0,"0,57",5,14,33,29,6,2,0
15.03.2024,İstanbulspor,Ev Sahibi,1,0,0,0,Galip,%64,71,31,9,3,6,484,375,"%77,5",28,7,20,4,8,8,0,"1,66",28,9,12,12,1,0,0
