Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.08.2023,Sivasspor,Deplasman,1,0,1,1,Berabere,%49,43,7,9,1,5,421,370,"%87,9",16,3,11,3,2,6,0,"1,09",19,9,7,11,1,0,0
21.08.2023,Fenerbahçe,Ev Sahibi,0,0,2,0,Mağlup,%40,38,15,6,3,2,312,233,"%74,7",8,1,5,1,3,1,0,"0,12",10,6,20,11,1,0,0
27.08.2023,Kayserispor,Deplasman,1,1,2,2,Mağlup,%46,37,12,9,2,2,400,328,"%82,0",18,4,6,1,4,1,0,"1,42",21,9,19,8,0,0,0
16.09.2023,Galatasaray,Deplasman,2,0,4,3,Mağlup,%41,50,11,9,1,6,331,253,"%76,4",16,4,9,4,3,2,1,"1,21",25,9,13,16,3,0,0
23.09.2023,Antalyaspor,Deplasman,0,0,2,2,Mağlup,%58,54,9,8,0,4,490,416,"%84,9",23,4,8,1,4,3,0,"0,84",17,8,16,11,1,0,0
29.09.2023,Gaziantep FK,Ev Sahibi,1,0,2,2,Mağlup,%69,51,19,8,0,9,578,496,"%85,8",37,12,19,2,9,8,0,"1,48",27,8,12,13,2,0,0
8.10.2023,Ç. Rizespor,Deplasman,0,0,1,0,Mağlup,%70,53,20,7,1,8,527,456,"%86,5",27,5,12,3,7,2,0,"0,58",36,7,9,15,3,0,0
22.10.2023,Başakşehir,Ev Sahibi,0,0,0,0,Berabere,%40,45,18,6,1,8,313,244,"%78,0",25,3,17,2,8,7,0,"0,81",23,6,10,17,2,0,0
29.10.2023,Ankaragücü,Deplasman,0,0,2,0,Mağlup,%42,37,15,12,1,6,351,271,"%77,2",15,2,4,2,1,1,0,"0,20",12,12,18,14,2,0,0
4.11.2023,Hatayspor,Ev Sahibi,2,0,1,1,Galip,%55,61,30,9,4,12,386,281,"%72,8",31,5,19,7,7,5,0,"2,04",31,9,16,7,3,0,0
8.11.2023,İstanbulspor,Ev Sahibi,2,0,1,1,Galip,%53,64,26,7,4,7,379,275,"%72,6",20,6,15,4,6,5,1,"1,49",26,7,20,17,3,0,0
12.11.2023,Pendikspor,Deplasman,0,0,1,0,Mağlup,%50,66,25,10,4,3,346,272,"%78,6",20,8,16,7,7,2,0,"1,35",26,10,17,18,3,0,0
26.11.2023,Beşiktaş,Ev Sahibi,1,1,2,1,Mağlup,%38,47,17,13,4,9,275,178,"%64,7",21,7,15,5,5,5,1,"1,07",29,13,18,16,2,0,0
2.12.2023,Adana Demirspor,Deplasman,3,2,2,1,Galip,%35,38,13,17,1,4,252,170,"%67,5",14,2,10,6,2,2,0,"2,32",23,17,27,15,2,0,0
9.12.2023,Kasımpaşa,Ev Sahibi,4,2,2,0,Galip,%37,51,25,13,5,3,297,169,"%56,9",14,3,11,6,4,1,1,"2,35",20,13,20,17,1,0,0
21.12.2023,Konyaspor,Ev Sahibi,1,0,1,1,Berabere,%49,64,34,13,0,4,304,179,"%58,9",14,3,8,3,4,1,0,"1,20",13,13,23,18,3,0,0
25.12.2023,Alanyaspor,Deplasman,1,0,3,2,Mağlup,%45,51,19,8,2,4,384,292,"%76,0",21,6,17,3,11,3,1,"0,75",17,8,10,18,4,0,0
6.01.2024,F. Karagümrük,Ev Sahibi,1,0,0,0,Galip,%45,56,25,14,2,3,353,249,"%70,5",13,5,13,4,4,5,0,"1,56",15,14,28,22,2,0,0
11.01.2024,Trabzonspor,Deplasman,1,0,2,2,Mağlup,%39,52,11,12,3,1,316,221,"%69,9",7,1,19,8,5,6,1,"2,35",29,12,13,17,1,0,0
14.01.2024,Sivasspor,Ev Sahibi,2,2,0,0,Galip,%49,50,19,12,1,5,445,356,"%80,0",16,5,16,9,3,4,0,"1,65",26,12,18,22,4,1,0
21.01.2024,Fenerbahçe,Deplasman,1,0,1,1,Berabere,%34,44,12,10,0,1,300,201,"%67,0",6,0,7,4,1,2,0,"0,34",7,10,25,14,3,0,0
25.01.2024,Kayserispor,Ev Sahibi,2,1,0,0,Galip,%39,70,23,12,1,3,362,247,"%68,2",8,3,12,5,5,2,0,"0,97",26,12,19,3,0,0,0
29.01.2024,İstanbulspor,Deplasman,1,0,1,0,Berabere,%46,51,22,7,3,4,333,228,"%68,5",39,5,12,3,5,4,0,"0,83",23,7,16,13,1,0,0
2.02.2024,Galatasaray,Ev Sahibi,0,0,2,2,Mağlup,%45,49,16,12,2,4,363,260,"%71,6",18,4,17,5,7,5,0,"1,06",25,12,12,14,2,0,0
12.02.2024,Antalyaspor,Ev Sahibi,2,0,0,0,Galip,%39,49,15,12,2,3,318,216,"%67,9",11,3,11,6,3,2,0,"0,92",18,12,9,18,2,0,0
18.02.2024,Gaziantep FK,Deplasman,1,0,1,0,Berabere,%54,72,29,12,4,4,432,298,"%69,0",14,3,9,4,4,1,0,"0,88",20,12,25,16,3,0,0
23.02.2024,Ç. Rizespor,Ev Sahibi,3,1,0,0,Galip,%45,58,23,19,0,2,332,245,"%73,8",15,0,15,3,7,5,0,"1,54",14,19,21,19,2,0,0
3.03.2024,Başakşehir,Deplasman,0,0,1,0,Mağlup,%33,38,9,4,1,5,278,196,"%70,5",15,5,8,1,6,1,1,"0,74",13,4,22,13,3,0,1
10.03.2024,Ankaragücü,Ev Sahibi,2,1,1,1,Galip,%49,62,33,8,1,2,379,275,"%72,6",13,1,21,3,12,6,1,"1,72",32,8,23,13,1,0,0
17.03.2024,Hatayspor,Deplasman,0,0,3,1,Mağlup,%58,54,19,5,0,7,398,280,"%70,4",20,4,12,3,6,3,0,"0,44",20,5,9,9,1,0,0
4.04.2024,Pendikspor,Ev Sahibi,0,0,0,0,Berabere,%48,47,23,8,3,10,351,237,"%67,5",20,4,6,2,2,2,1,"0,44",18,8,34,12,1,0,0
13.04.2024,Beşiktaş,Deplasman,1,0,1,1,Berabere,%48,57,26,13,4,2,355,238,"%67,0",9,2,11,3,5,3,0,"0,68",13,13,17,17,2,0,0
20.04.2024,Adana Demirspor,Ev Sahibi,1,0,1,1,Berabere,%47,43,18,13,2,7,365,279,"%76,4",25,6,18,6,9,3,3,"2,04",28,13,18,17,2,0,0
27.04.2024,Kasımpaşa,Deplasman,0,0,1,1,Mağlup,%62,69,22,7,2,8,475,358,"%75,4",27,6,16,3,6,7,0,"0,83",20,7,21,17,3,0,0
4.05.2024,Trabzonspor,Ev Sahibi,3,3,1,1,Galip,%35,52,6,9,2,3,289,197,"%68,2",14,2,8,4,4,0,0,"1,97",19,9,14,21,5,0,0
12.05.2024,Konyaspor,Deplasman,0,0,3,3,Mağlup,%62,54,20,2,0,6,486,381,"%78,4",16,4,5,0,2,3,0,"0,25",11,2,13,16,3,0,0
18.05.2024,Alanyaspor,Ev Sahibi,1,0,1,1,Berabere,%34,40,14,11,1,5,312,243,"%77,9",18,4,9,2,3,4,0,"1,12",11,11,8,9,1,0,0
25.05.2024,F. Karagümrük,Deplasman,1,0,3,1,Mağlup,%61,43,5,13,3,7,516,429,"%83,1",21,6,12,5,2,5,0,"1,21",31,13,9,9,1,0,1
