Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.08.2017,Yeni Malatyaspor,Deplasman,1,0,3,1,Mağlup,%62,49,15,10,1,5,494,409,"%82,8",21,5,16,5,4,7,0,0,19,10,8,14,3,0,1
19.08.2017,Galatasaray,Ev Sahibi,1,0,3,2,Mağlup,%37,45,5,16,1,4,358,276,"%77,1",12,1,12,4,6,2,0,0,17,16,16,16,2,0,0
26.08.2017,Kayserispor,Deplasman,2,1,2,1,Berabere,%40,52,16,9,1,3,324,247,"%76,2",12,4,16,4,9,3,0,0,16,9,27,12,2,0,1
10.09.2017,Göztepe,Ev Sahibi,0,0,2,2,Mağlup,%55,61,27,8,4,3,436,342,"%78,4",27,6,20,7,9,4,1,0,28,8,13,14,1,0,0
17.09.2017,Sivasspor,Ev Sahibi,2,2,4,4,Mağlup,%49,50,13,11,3,6,316,238,"%75,3",31,10,19,4,9,6,2,0,28,11,21,10,2,0,0
25.09.2017,Antalyaspor,Deplasman,0,0,3,2,Mağlup,%37,43,5,11,2,3,327,261,"%79,8",9,1,13,4,5,4,0,0,19,11,15,15,3,0,0
30.09.2017,Kasımpaşa,Ev Sahibi,3,2,0,0,Galip,%48,68,9,18,1,4,415,348,"%83,9",17,8,13,6,5,2,1,0,34,18,21,20,2,0,0
16.10.2017,Bursaspor,Deplasman,1,1,3,2,Mağlup,%61,59,13,6,1,8,522,452,"%86,6",19,3,12,4,5,3,0,0,15,6,15,13,4,0,0
21.10.2017,Karabükspor,Ev Sahibi,3,0,0,0,Galip,%47,47,8,8,5,2,396,311,"%78,5",13,2,10,4,5,1,0,0,11,8,17,12,2,0,0
4.11.2017,Fenerbahçe,Ev Sahibi,1,0,1,1,Berabere,%47,59,15,22,9,6,373,275,"%73,7",23,4,18,5,9,4,1,"2,29",18,22,25,8,2,0,0
19.11.2017,Trabzonspor,Deplasman,3,2,4,2,Mağlup,%44,70,16,17,1,4,319,228,"%71,5",13,4,13,6,3,4,0,"0,53",17,17,32,13,4,0,0
24.11.2017,Gençlerbirliği,Ev Sahibi,2,1,0,0,Galip,%45,62,19,19,3,1,370,263,"%71,1",9,2,5,4,1,0,0,"1,11",13,19,47,19,1,0,0
03.12.2017,Başakşehir,Deplasman,0,0,1,0,Mağlup,%31,38,4,14,0,2,312,228,"%73,1",13,5,12,2,6,4,0,"0,80",14,14,24,19,3,0,0
10.12.2017,Alanyaspor,Ev Sahibi,3,3,0,0,Galip,%45,41,7,25,3,1,432,349,"%80,8",7,2,11,7,4,0,1,"3,62",17,25,19,24,3,0,0
17.12.2017,Beşiktaş,Deplasman,1,0,5,2,Mağlup,%39,67,13,9,3,3,304,240,"%78,9",7,3,11,4,5,2,0,"0,95",14,9,29,14,3,0,0
25.12.2017,Akhisarspor,Ev Sahibi,3,1,2,1,Galip,%55,53,19,21,3,2,439,334,"%76,1",13,3,20,11,5,4,3,"2,91",15,21,14,20,2,0,0
20.01.2018,Yeni Malatyaspor,Ev Sahibi,0,0,0,0,Berabere,%61,53,13,13,1,5,505,397,"%78,6",29,5,11,4,5,2,1,"0,50",12,13,22,16,1,0,0
27.01.2018,Galatasaray,Deplasman,0,0,2,1,Mağlup,%37,42,10,10,2,6,327,251,"%76,8",18,3,11,1,6,4,0,"0,86",13,10,22,10,1,0,0
4.02.2018,Kayserispor,Ev Sahibi,0,0,1,1,Mağlup,%48,68,25,14,3,8,385,268,"%69,6",29,8,17,4,9,4,0,"0,95",31,14,17,19,2,0,0
10.02.2018,Göztepe,Deplasman,3,1,3,2,Berabere,%39,63,18,20,8,6,276,191,"%69,2",24,5,16,6,7,3,1,"2,75",25,20,29,15,4,0,0
17.02.2018,Sivasspor,Deplasman,2,0,3,1,Mağlup,%39,75,20,13,3,4,301,221,"%73,4",15,3,10,3,3,4,0,"1,62",22,13,30,24,4,0,0
25.02.2018,Antalyaspor,Ev Sahibi,0,0,0,0,Berabere,%56,75,22,11,3,4,385,277,"%71,9",22,2,8,2,4,2,0,"1,53",14,11,21,14,3,0,0
