Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.08.2023,Samsunspor,Ev Sahibi,1,1,1,0,Berabere,%51,43,4,5,2,4,449,391,"%87,1",11,2,6,2,2,2,0,"0,93",10,5,10,11,2,0,0
20.08.2023,Gaziantep FK,Deplasman,3,2,1,0,Galip,%44,62,21,9,1,4,355,277,"%78,0",8,3,12,6,5,1,0,"1,44",15,9,34,18,3,0,0
26.08.2023,Antalyaspor,Ev Sahibi,1,1,1,1,Berabere,%54,49,8,7,7,3,458,395,"%86,2",10,2,6,2,2,2,0,"0,84",9,7,9,12,3,0,0
3.09.2023,Beşiktaş,Deplasman,0,0,2,2,Mağlup,%35,59,12,3,2,2,274,205,"%74,8",6,2,6,1,3,2,0,"0,18",17,3,29,17,4,0,0
18.09.2023,Ankaragücü,Ev Sahibi,1,1,3,1,Mağlup,%51,45,10,7,0,5,405,338,"%83,5",23,6,14,9,4,1,1,"1,25",16,7,16,7,2,1,0
23.09.2023,Ç. Rizespor,Deplasman,1,1,1,1,Berabere,%42,55,16,5,1,4,317,256,"%80,8",19,3,14,5,4,5,1,"0,85",20,5,19,17,3,0,0
30.09.2023,Hatayspor,Ev Sahibi,0,0,0,0,Berabere,%47,43,11,5,3,6,371,308,"%83,0",14,5,12,4,5,3,1,"1,04",21,5,15,9,3,0,0
7.10.2023,Pendikspor,Deplasman,3,1,2,0,Galip,%32,42,15,10,3,4,293,223,"%76,1",7,2,16,8,8,0,0,"2,85",22,10,27,13,2,0,0
22.10.2023,Kasımpaşa,Ev Sahibi,0,0,1,0,Mağlup,%60,49,11,5,4,7,443,376,"%84,9",31,6,17,9,6,2,0,"0,97",32,5,14,10,0,0,0
28.10.2023,Alanyaspor,Deplasman,2,0,1,0,Galip,%49,62,22,10,1,2,404,332,"%82,2",13,4,16,4,10,2,0,"0,70",23,10,18,12,1,0,0
5.11.2023,Adana Demirspor,Ev Sahibi,1,1,1,0,Berabere,%38,54,14,5,3,5,330,267,"%80,9",10,1,19,10,7,2,0,"2,31",29,5,23,14,1,0,0
11.11.2023,F. Karagümrük,Deplasman,0,0,3,1,Mağlup,%52,49,11,6,2,4,493,402,"%81,5",11,3,13,3,8,2,0,"0,73",12,6,7,4,2,0,0
27.11.2023,Trabzonspor,Ev Sahibi,3,2,3,2,Berabere,%41,36,10,9,0,5,362,287,"%79,3",19,6,17,9,6,2,1,"1,26",18,9,13,11,1,0,0
4.12.2023,Fenerbahçe,Deplasman,1,0,4,2,Mağlup,%51,53,9,7,0,2,441,350,"%79,4",17,3,10,4,5,1,0,"0,83",8,7,22,12,1,0,0
11.12.2023,Konyaspor,Deplasman,1,1,0,0,Galip,%35,58,18,7,0,2,342,261,"%76,3",7,1,9,3,3,3,0,"0,83",8,7,39,13,4,0,0
19.12.2023,Başakşehir,Deplasman,1,1,3,1,Mağlup,%36,54,12,10,3,1,340,271,"%79,7",11,0,7,4,3,0,0,"0,41",13,10,16,11,2,0,0
23.12.2023,İstanbulspor,Ev Sahibi,1,0,0,0,Galip,%48,50,14,9,0,9,395,302,"%76,5",18,7,16,6,8,2,0,"1,34",20,9,25,7,0,0,0
7.01.2024,Kayserispor,Deplasman,3,1,1,1,Galip,%35,55,19,13,3,7,243,172,"%70,8",16,2,10,5,4,1,0,"2,17",17,13,35,11,3,0,0
11.01.2024,Galatasaray,Ev Sahibi,1,0,1,1,Berabere,%37,57,13,14,2,4,293,217,"%74,1",23,8,16,4,9,3,0,"1,56",19,14,28,9,0,0,0
14.01.2024,Samsunspor,Deplasman,0,0,2,2,Mağlup,%51,61,15,14,2,2,464,368,"%79,3",16,2,6,2,4,0,0,"0,23",11,14,10,9,0,0,1
21.01.2024,Gaziantep FK,Ev Sahibi,2,2,2,2,Berabere,%48,38,5,2,0,3,350,284,"%81,1",18,3,15,6,4,5,0,"1,98",16,2,19,9,3,0,0
