Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
11.08.2023,Antalyaspor,Ev Sahibi,1,1,0,0,Galip,%48,46,13,10,1,6,392,323,"%82,4",15,4,14,4,6,4,1,"1,41",16,10,18,18,0,0,0
19.08.2023,Galatasaray,Deplasman,0,0,2,1,Mağlup,%48,49,13,8,2,1,357,242,"%67,8",6,1,5,1,2,2,0,"0,26",8,8,18,7,3,0,0
26.08.2023,Ç. Rizespor,Ev Sahibi,2,0,3,2,Mağlup,%68,69,23,1,0,9,532,447,"%84,0",30,5,21,5,7,9,0,"2,08",28,1,12,10,1,0,0
1.09.2023,Kasımpaşa,Deplasman,5,3,1,0,Galip,%50,38,16,10,0,3,393,303,"%77,1",12,1,7,6,1,0,1,"1,4",13,10,25,17,3,0,0
17.09.2023,Beşiktaş,Ev Sahibi,3,2,0,0,Galip,%29,53,12,9,1,2,196,112,"%57,1",9,1,8,5,3,0,1,"1,48",12,9,36,15,4,0,0
25.09.2023,Hatayspor,Deplasman,2,1,3,0,Mağlup,%46,69,20,10,2,1,329,256,"%77,8",8,2,6,3,1,2,0,"0,45",12,10,22,13,2,0,0
30.09.2023,Pendikspor,Ev Sahibi,2,2,1,1,Galip,%37,42,9,11,1,4,332,270,"%81,3",10,3,11,3,6,2,0,"0,93",13,11,8,19,1,1,0
6.10.2023,Adana Demirspor,Deplasman,0,0,1,1,Mağlup,%55,54,11,16,0,3,463,390,"%84,2",19,6,18,3,8,7,0,"0,78",24,16,8,10,3,0,0
23.10.2023,Alanyaspor,Ev Sahibi,1,0,0,0,Galip,%44,46,12,9,2,7,393,304,"%77,4",16,2,14,3,8,3,0,"1,15",20,9,10,15,1,0,0
29.10.2023,F. Karagümrük,Deplasman,0,0,0,0,Berabere,%55,37,18,12,2,3,452,372,"%82,3",16,4,13,0,12,1,1,"1,03",17,12,18,11,1,0,0
4.11.2023,Fenerbahçe,Deplasman,3,1,2,0,Galip,%35,60,16,15,3,4,268,194,"%72,4",8,3,7,4,1,2,0,"0,64",15,15,18,25,4,0,0
10.11.2023,Konyaspor,Ev Sahibi,2,0,1,0,Galip,%61,59,24,7,0,6,472,392,"%83,1",17,2,15,5,6,4,0,"1,03",21,7,23,16,1,0,0
27.11.2023,Sivasspor,Deplasman,3,2,3,2,Berabere,%59,52,19,7,0,2,528,451,"%85,4",17,4,13,5,6,2,1,"1,3",21,7,15,10,1,0,0
3.12.2023,Kayserispor,Ev Sahibi,0,0,1,0,Mağlup,%56,61,24,11,2,4,475,392,"%82,5",21,7,14,1,11,2,1,"0,78",36,11,14,7,3,0,0
10.12.2023,Gaziantep FK,Deplasman,3,0,1,0,Galip,%56,44,20,9,4,3,521,453,"%86,9",14,10,19,11,6,2,1,"2,62",19,9,9,11,2,0,0
19.12.2023,İstanbulspor,Deplasman,3,1,0,0,Berabere,%59,36,20,5,1,3,416,353,"%84,9",12,3,15,4,6,5,0,0,12,5,8,8,0,0,0
23.12.2023,Başakşehir,Ev Sahibi,1,1,1,1,Berabere,%56,55,20,6,1,5,477,401,"%84,1",14,5,18,4,7,7,1,"1,25",20,6,5,13,0,0,0
6.01.2024,Ankaragücü,Deplasman,1,1,0,0,Galip,%44,47,19,4,1,3,426,353,"%82,9",10,1,10,2,3,5,0,"0,94",15,4,18,8,1,0,0
11.01.2024,Samsunspor,Ev Sahibi,2,2,1,0,Galip,%61,57,19,5,3,5,491,393,"%80,0",12,3,14,8,6,0,0,"1,25",20,5,16,13,3,0,0
14.01.2024,Antalyaspor,Deplasman,1,1,1,0,Berabere,%35,56,14,12,0,2,298,225,"%75,5",9,1,4,3,1,0,0,"0,29",7,12,29,11,0,0,0
21.01.2024,Galatasaray,Ev Sahibi,1,0,5,1,Mağlup,%49,53,15,9,1,11,312,216,"%69,2",35,5,16,2,7,7,0,"0,98",15,9,18,14,1,0,0
25.01.2024,Ç. Rizespor,Deplasman,0,0,1,0,Mağlup,%57,69,24,7,0,3,416,324,"%77,9",20,2,13,3,8,2,0,"0,73",17,7,18,12,1,0,0
29.01.2024,Kasımpaşa,Ev Sahibi,2,1,3,0,Mağlup,%57,57,20,3,1,7,472,371,"%78,6",29,7,21,8,7,6,1,"1,86",32,3,12,16,1,0,0
04.02.2024,Beşiktaş,Deplasman,0,0,2,1,Mağlup,%55,66,17,5,1,6,417,326,"%78,2",27,11,13,2,8,3,0,"1,45",27,5,14,10,0,0,0
12.02.2024,Hatayspor,Ev Sahibi,2,0,0,0,Galip,%61,54,19,3,3,10,537,477,"%88,8",26,6,24,9,6,9,1,"1,99",53,3,15,10,2,0,0
18.02.2024,Pendikspor,Deplasman,2,0,0,0,Galip,%56,48,18,9,1,6,456,356,"%78,1",23,6,12,4,3,5,0,"1,41",22,9,24,12,1,0,0
25.02.2024,Adana Demirspor,Ev Sahibi,1,1,0,0,Galip,%48,49,14,11,3,4,368,292,"%79,3",16,6,19,8,7,4,1,"1,09",27,11,24,16,2,0,0
4.03.2024,Alanyaspor,Deplasman,1,0,3,2,Mağlup,%65,38,12,9,1,9,580,491,"%84,7",29,5,24,7,7,10,0,"1,44",39,9,11,8,0,0,0
9.03.2024,F. Karagümrük,Ev Sahibi,5,1,1,1,Galip,%67,43,8,13,0,8,601,522,"%86,9",25,11,26,10,10,6,1,"3,09",43,13,8,10,0,0,0
17.03.2024,Fenerbahçe,Ev Sahibi,2,0,3,2,Mağlup,%58,41,11,8,0,10,443,377,"%85,1",23,2,7,3,3,1,0,"1,17",16,8,12,13,5,0,0
3.04.2024,Konyaspor,Deplasman,3,1,1,0,Galip,%40,44,17,9,0,3,373,276,"%74,0",8,0,10,3,3,4,1,"1,20",10,9,29,10,3,0,0
12.04.2024,Sivasspor,Ev Sahibi,0,0,1,0,Mağlup,%71,40,14,13,3,14,673,593,"%88,1",31,5,21,5,8,8,0,"1,33",44,13,11,14,3,0,0
20.04.2024,Kayserispor,Deplasman,2,1,1,0,Galip,%45,62,17,10,2,1,355,286,"%80,6",10,3,9,3,5,1,1,"1,46",13,10,9,5,3,0,0
28.04.2024,Gaziantep FK,Ev Sahibi,4,0,2,2,Galip,%60,42,12,4,2,4,584,510,"%87,3",26,9,12,7,5,0,0,"2,15",23,4,14,12,2,0,0
4.05.2024,Samsunspor,Deplasman,1,1,3,3,Mağlup,%65,56,20,9,0,2,539,453,"%84,0",13,1,6,3,2,1,1,"0,31",6,9,19,12,2,0,0
12.05.2024,İstanbulspor,Ev Sahibi,3,2,0,0,Galip,%51,46,6,9,1,7,488,425,"%87,1",17,2,13,5,3,5,0,"0,66",19,9,20,10,0,0,0
