Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
16.08.2021,Trabzonspor,Ev Sahibi,1,1,5,4,Mağlup,%40,33,8,6,2,8,349,299,"%85,7",27,9,16,3,10,3,0,"1,55",22,6,6,7,2,0,0
22.08.2021,Göztepe,Deplasman,1,0,0,0,Galip,%32,49,14,12,1,1,265,197,"%74,3",10,4,12,3,7,2,0,"0,85",15,12,29,11,1,0,0
28.08.2021,Gaziantep FK,Ev Sahibi,2,1,0,0,Galip,%46,44,9,11,4,1,374,301,"%80,5",8,0,9,3,5,1,0,"1,57",19,11,28,5,1,0,0
11.09.2021,Beşiktaş,Deplasman,0,0,3,2,Mağlup,%32,52,5,4,0,3,286,217,"%75,9",9,0,6,2,2,2,1,"0,33",7,4,17,10,0,0,0
17.09.2021,F. Karagümrük,Ev Sahibi,3,3,4,2,Mağlup,%32,53,10,13,3,2,245,176,"%71,8",11,5,8,4,3,1,0,"0,92",10,13,14,13,6,1,0
21.09.2021,Sivasspor,Ev Sahibi,0,0,1,0,Mağlup,%54,55,17,2,0,5,516,423,"%82,0",23,4,9,3,4,2,1,"0,46",21,2,17,7,2,0,0
25.09.2021,Antalyaspor,Deplasman,0,0,1,0,Mağlup,%48,54,9,12,1,2,420,334,"%79,5",7,2,9,2,6,1,0,"0,71",15,12,16,10,1,0,0
3.10.2021,Hatayspor,Ev Sahibi,0,0,2,1,Mağlup,%53,51,26,7,5,7,410,335,"%81,7",24,8,15,2,9,4,0,"1,24",24,7,22,9,2,0,0
16.10.2021,Adana Demirspor,Deplasman,2,1,0,0,Galip,%34,37,10,3,2,3,289,197,"%68,2",6,0,9,6,1,2,0,"1,10",9,3,37,12,2,0,0
22.10.2021,Altay,Ev Sahibi,2,0,1,0,Galip,%54,63,22,12,0,6,435,350,"%80,5",16,5,13,5,5,3,0,"2,36",16,12,20,18,2,0,0
30.10.2021,Kasımpaşa,Deplasman,0,0,2,0,Mağlup,%45,42,12,20,6,5,397,303,"%76,3",19,2,5,4,1,0,0,"0,71",22,20,16,17,0,0,0
6.11.2021,Başakşehir,Ev Sahibi,1,0,3,1,Mağlup,%33,36,9,5,1,6,357,288,"%80,7",21,7,5,1,4,0,0,"0,56",17,5,9,11,3,0,0
20.11.2021,Giresunspor,Deplasman,0,0,1,0,Mağlup,%46,51,17,14,1,7,393,312,"%79,4",27,6,10,3,3,4,1,"0,70",24,14,10,16,2,0,0
28.11.2021,Galatasaray,Ev Sahibi,0,0,0,0,Berabere,%36,43,7,8,0,4,311,241,"%77,5",14,2,7,2,4,1,0,"0,43",12,8,35,8,5,0,0
6.12.2021,Konyaspor,Deplasman,0,0,0,0,Berabere,%45,50,14,9,2,2,440,376,"%85,5",12,4,8,4,4,0,0,"0,33",16,9,20,9,2,0,0
