Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
13.08.2023,Adana Demirspor,Deplasman,1,0,2,1,Mağlup,%42,40,7,12,2,5,283,215,"%76,0",24,4,10,2,6,2,1,"0,47",21,12,12,15,6,0,0
19.08.2023,Alanyaspor,Ev Sahibi,0,0,0,0,Berabere,%50,58,14,4,0,3,382,310,"%81,2",19,3,12,3,3,6,0,"0,60",10,4,17,12,3,0,0
26.08.2023,Trabzonspor,Deplasman,3,2,2,0,Galip,%32,39,6,7,2,2,251,173,"%68,9",15,8,13,7,4,2,1,"1,77",16,7,34,18,2,0,0
1.09.2023,F. Karagümrük,Ev Sahibi,1,1,0,0,Galip,%45,53,12,4,2,1,343,247,"%72,0",10,5,13,4,8,1,0,"1,81",17,4,22,12,3,0,0
16.09.2023,Konyaspor,Deplasman,2,0,1,1,Galip,%60,44,10,5,2,4,493,417,"%84,6",14,3,11,2,5,4,0,"2,09",11,5,16,14,1,0,0
23.09.2023,Sivasspor,Ev Sahibi,1,1,1,1,Berabere,%58,57,16,6,3,5,437,368,"%84,2",23,5,14,4,7,3,0,"1,05",16,6,24,12,6,0,0
1.10.2023,Fenerbahçe,Deplasman,0,0,5,1,Mağlup,%34,47,9,24,1,2,319,254,"%79,6",5,2,5,1,3,1,0,"0,24",10,24,28,15,3,0,0
8.10.2023,Samsunspor,Ev Sahibi,1,0,0,0,Galip,%30,50,7,16,1,4,231,158,"%68,4",12,3,8,4,3,1,0,"1,09",15,16,36,9,3,0,1
21.10.2023,Kayserispor,Deplasman,1,0,3,1,Mağlup,%40,54,10,6,3,2,305,242,"%79,3",9,4,14,3,6,5,0,"0,86",18,6,25,10,2,0,0
28.10.2023,Galatasaray,Ev Sahibi,0,0,1,0,Mağlup,%38,53,11,12,2,6,299,198,"%66,2",19,6,12,3,6,3,0,"0,66",23,12,22,15,3,0,0
6.11.2023,Gaziantep FK,Deplasman,0,0,2,1,Mağlup,%59,56,16,5,1,5,496,427,"%86,1",29,6,14,2,7,5,1,"1,00",26,5,7,9,1,0,0
