Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
8.08.2022,Fenerbahçe,Deplasman,3,1,3,2,Berabere,%47,47,12,11,2,5,284,193,"%68,0",14,4,10,5,2,3,0,"1,33",16,11,33,13,2,0,0
14.08.2022,Antalyaspor,Ev Sahibi,0,0,1,0,Mağlup,%46,46,9,9,2,4,392,316,"%80,6",21,7,14,2,8,4,0,"1,22",23,9,11,15,1,0,0
19.08.2022,Galatasaray,Ev Sahibi,0,0,1,0,Mağlup,%41,40,17,11,1,3,321,225,"%70,1",14,8,15,3,7,5,0,"0,80",18,11,16,18,6,0,0
27.08.2022,Adana Demirspor,Deplasman,0,0,1,1,Mağlup,%55,45,12,7,4,1,494,411,"%83,2",23,4,15,2,11,2,0,"1,32",16,7,16,12,2,0,0
2.09.2022,Trabzonspor,Ev Sahibi,0,0,1,0,Mağlup,%42,52,22,9,0,7,367,293,"%79,8",19,5,7,2,4,1,0,"0,21",22,9,17,10,0,0,0
11.09.2022,Gaziantep FK,Deplasman,1,0,1,0,Berabere,%56,48,21,16,3,3,477,412,"%86,4",32,14,18,6,10,2,1,"2,22",41,16,12,11,3,0,0
17.09.2022,Kasımpaşa,Ev Sahibi,1,0,2,1,Mağlup,%51,40,13,11,1,11,337,251,"%74,5",28,9,20,7,8,5,1,"2,81",27,11,23,14,4,0,0
2.10.2022,Konyaspor,Deplasman,0,0,1,1,Mağlup,%44,46,10,7,0,8,316,245,"%77,5",25,5,16,6,3,7,0,"0,69",19,7,12,18,1,0,0
9.10.2022,Kayserispor,Ev Sahibi,2,0,2,1,Berabere,%48,53,22,14,1,3,410,321,"%78,3",15,4,10,5,3,2,1,"0,76",12,14,8,11,3,0,1
22.10.2022,F. Karagümrük,Ev Sahibi,1,1,3,1,Mağlup,%52,44,12,16,3,5,422,335,"%79,4",24,5,9,1,6,2,2,"0,57",17,16,14,13,0,0,0
30.10.2022,Beşiktaş,Deplasman,2,1,5,2,Mağlup,%52,45,11,10,3,4,420,342,"%81,4",24,4,9,3,3,3,0,"0,95",14,10,19,10,3,0,0
4.11.2022,Alanyaspor,Ev Sahibi,3,2,1,0,Galip,%33,50,19,16,6,4,284,201,"%70,8",13,7,12,6,4,2,1,"1,22",17,16,21,7,1,0,0
12.11.2022,Sivasspor,Deplasman,2,1,2,1,Berabere,%47,49,19,11,1,5,383,300,"%78,3",21,5,15,6,7,2,0,"2,02",16,11,20,16,0,0,0
