Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
12.08.2023,Konyaspor,Deplasman,1,1,1,0,Berabere,%41,41,15,7,2,2,313,248,"%79,2",6,0,4,2,1,1,0,"1,06",7,7,37,11,4,1,1
18.08.2023,Kayserispor,Ev Sahibi,1,0,1,0,Berabere,%47,32,5,9,2,4,430,366,"%85,1",16,4,8,3,3,2,0,"0,53",18,9,18,11,1,0,0
17.09.2023,Başakşehir,Ev Sahibi,0,0,2,0,Mağlup,%42,36,7,13,0,0,416,332,"%79,8",9,3,7,0,5,2,0,"0,16",18,13,16,15,4,0,0
22.09.2023,Gaziantep FK,Deplasman,0,0,2,0,Mağlup,%63,41,14,3,2,4,478,395,"%82,6",6,3,6,0,4,2,0,"1,12",12,3,18,14,5,0,0
26.09.2023,Galatasaray,Ev Sahibi,0,0,1,1,Mağlup,%30,48,11,8,2,3,262,174,"%66,4",6,2,5,3,2,0,0,"0,45",4,8,20,13,1,0,0
30.09.2023,Antalyaspor,Ev Sahibi,1,1,2,0,Mağlup,%47,57,11,9,2,4,439,356,"%81,1",19,3,4,3,0,1,0,"0,44",16,9,26,8,2,0,0
8.10.2023,Beşiktaş,Deplasman,0,0,2,1,Mağlup,%35,53,7,11,1,4,345,252,"%73,0",11,1,4,2,1,1,0,"0,38",9,11,25,10,2,0,0
22.10.2023,Ankaragücü,Ev Sahibi,2,1,1,1,Galip,%47,44,9,8,2,2,442,375,"%84,8",15,2,8,3,2,3,0,"1,19",17,8,32,14,0,0,0
27.10.2023,Kasımpaşa,Deplasman,1,0,3,1,Mağlup,%62,36,9,11,2,5,504,415,"%82,3",22,6,19,6,9,4,1,"2,05",28,11,16,11,2,0,0
4.11.2023,Pendikspor,Ev Sahibi,2,1,4,2,Mağlup,%54,32,10,11,3,4,391,319,"%81,6",12,3,14,5,7,2,0,"2,43",22,11,23,13,2,0,0
